LR999927.1 1 100000 
LR999927.1 1.06e+07 1.07e+07 170
LR999927.1 1.07e+07 1.08e+07 539
LR999927.1 1.08e+07 1.09e+07 10240
LR999927.1 1.09e+07 1.1e+07 1594
LR999927.1 1.1e+07 1.11e+07 305
LR999927.1 1.11e+07 1.12e+07 1050
LR999927.1 1.12e+07 1.13e+07 449
LR999927.1 1.13e+07 1.14e+07 472
LR999927.1 1.14e+07 1.15e+07 4607
LR999927.1 1.15e+07 1.16e+07 1624
LR999927.1 1.16e+07 1.17e+07 745
LR999927.1 1.17e+07 1.18e+07 61
LR999927.1 1.18e+07 1.19e+07 391
LR999927.1 1.19e+07 1.2e+07 471
LR999927.1 1.2e+07 1.21e+07 
LR999927.1 1.21e+07 1.22e+07 570
LR999927.1 1.22e+07 1.23e+07 13375
LR999927.1 1.23e+07 1.24e+07 513
LR999927.1 1.24e+07 1.25e+07 1875
LR999927.1 1.25e+07 1.26e+07 45
LR999927.1 1.26e+07 1.27e+07 327
LR999927.1 1.27e+07 1.28e+07 1190
LR999927.1 1.28e+07 1.29e+07 2758
LR999927.1 1.29e+07 1.3e+07 
LR999927.1 1.3e+07 1.31e+07 256
LR999927.1 1.31e+07 1.32e+07 781
LR999927.1 1.32e+07 1.33e+07 358
LR999927.1 1.33e+07 1.34e+07 983
LR999927.1 1.34e+07 1.35e+07 410
LR999927.1 1.35e+07 1.36e+07 428
LR999927.1 1.36e+07 1.37e+07 362
LR999927.1 1.37e+07 1.38e+07 834
LR999927.1 1.38e+07 1.39e+07 225
LR999927.1 1.39e+07 1.4e+07 566
LR999927.1 1.4e+07 1.41e+07 345
LR999927.1 1.41e+07 1.42e+07 845
LR999927.1 1.42e+07 1.43e+07 1357
LR999927.1 1.43e+07 1.44e+07 11892
LR999927.1 1.44e+07 1.45e+07 2044
LR999927.1 1.45e+07 1.46e+07 959
LR999927.1 1.46e+07 1.47e+07 6540
LR999927.1 1.47e+07 1.48e+07 944
LR999927.1 1.48e+07 1.49e+07 264
LR999927.1 1.49e+07 1.5e+07 4885
LR999927.1 1.5e+07 1.51e+07 692
LR999927.1 1.51e+07 1.52e+07 880
LR999927.1 1.52e+07 1.53e+07 568
LR999927.1 1.53e+07 1.54e+07 532
LR999927.1 1.54e+07 1.55e+07 6921
LR999927.1 1.55e+07 1.56e+07 7273
LR999927.1 1.56e+07 1.57e+07 557
LR999927.1 1.57e+07 1.58e+07 6216
LR999927.1 1.58e+07 1.59e+07 2520
LR999927.1 1.59e+07 1.6e+07 3125
LR999927.1 1.6e+07 16090551 5397
