LR999946.1 1 100000 
LR999946.1 5.2e+06 5.3e+06 6173
LR999946.1 5.3e+06 5.4e+06 705
LR999946.1 5.4e+06 5.5e+06 1262
LR999946.1 5.5e+06 5.6e+06 572
LR999946.1 5.6e+06 5.7e+06 1875
LR999946.1 5.7e+06 5.8e+06 273
LR999946.1 5.8e+06 5.9e+06 838
LR999946.1 5.9e+06 6e+06 708
LR999946.1 6e+06 6.1e+06 220
LR999946.1 6.1e+06 6.2e+06 10181
LR999946.1 6.2e+06 6.3e+06 4097
LR999946.1 6.3e+06 6.4e+06 710
LR999946.1 6.4e+06 6.5e+06 976
LR999946.1 6.5e+06 6.6e+06 954
LR999946.1 6.6e+06 6.7e+06 2620
LR999946.1 6.7e+06 6.8e+06 874
LR999946.1 6.8e+06 6.9e+06 320
LR999946.1 6.9e+06 7e+06 534
LR999946.1 7e+06 7.1e+06 386
LR999946.1 7.1e+06 7.2e+06 70
LR999946.1 7.2e+06 7.3e+06 1597
LR999946.1 7.3e+06 7.4e+06 2654
LR999946.1 7.4e+06 7.5e+06 1647
LR999946.1 7.5e+06 7.6e+06 4304
LR999946.1 7.6e+06 7.7e+06 138
LR999946.1 7.7e+06 7.8e+06 908
LR999946.1 7.8e+06 7.9e+06 520
LR999946.1 7.9e+06 8e+06 5941
LR999946.1 8e+06 8.1e+06 616
LR999946.1 8.1e+06 8.2e+06 904
LR999946.1 8.2e+06 8.3e+06 574
LR999946.1 8.3e+06 8.4e+06 3640
LR999946.1 8.4e+06 8.5e+06 45
LR999946.1 8.5e+06 8.6e+06 444
LR999946.1 8.6e+06 8.7e+06 4236
LR999946.1 8.7e+06 8.8e+06 8549
LR999946.1 8.8e+06 8.9e+06 976
LR999946.1 8.9e+06 9e+06 965
LR999946.1 9e+06 9.1e+06 216
LR999946.1 9.1e+06 9.2e+06 455
LR999946.1 9.2e+06 9.3e+06 756
LR999946.1 9.3e+06 9.4e+06 1238
LR999946.1 9.4e+06 9.5e+06 36
LR999946.1 9.5e+06 9.6e+06 274
LR999946.1 9.6e+06 9.7e+06 3026
LR999946.1 9.7e+06 9.8e+06 1020
LR999946.1 9.8e+06 9.9e+06 10625
LR999946.1 9.9e+06 1e+07 1268
LR999946.1 1e+07 1.01e+07 1433
LR999946.1 1.01e+07 1.02e+07 851
LR999946.1 1.02e+07 1.03e+07 1519
LR999946.1 1.03e+07 1.04e+07 41
LR999946.1 1.04e+07 1.05e+07 515
LR999946.1 1.05e+07 1.06e+07 1350
LR999946.1 1.06e+07 1.07e+07 719
LR999946.1 1.07e+07 1.08e+07 1869
LR999946.1 1.08e+07 1.09e+07 124
LR999946.1 1.09e+07 1.1e+07 331
LR999946.1 1.1e+07 1.11e+07 1399
LR999946.1 1.11e+07 1.12e+07 1020
LR999946.1 1.12e+07 1.13e+07 673
LR999946.1 1.13e+07 1.14e+07 328
LR999946.1 1.14e+07 1.15e+07 6109
LR999946.1 1.15e+07 1.16e+07 639
LR999946.1 1.16e+07 1.17e+07 1984
LR999946.1 1.17e+07 1.18e+07 324
LR999946.1 1.18e+07 1.19e+07 721
LR999946.1 1.19e+07 1.2e+07 8981
LR999946.1 1.2e+07 1.21e+07 431
LR999946.1 1.21e+07 1.22e+07 360
LR999946.1 1.22e+07 1.23e+07 1417
LR999946.1 1.23e+07 1.24e+07 725
LR999946.1 1.24e+07 1.25e+07 1416
LR999946.1 1.25e+07 12594674 2749
