"chrom" "begin" "end" "markers" "rec_rate" "chr_length" "rec_sd" "GC" "chr_type" "rel_pos" "count_rpt" "count_SINE" "count_DNA" "count_TcM" "count_LINE" "count_LTR" "count_nonLTR" "count_genes" "count_CDS" "length_rpt" "length_SINE" "length_DNA" "length_TcM" "length_LINE" "length_LTR" "length_nonLTR" "length_genes" "length_CDS" "density_rpt" "density_SINE" "density_DNA" "density_TcM" "density_LINE" "density_LTR" "density_nonLTR" "density_genes" "density_CDS" "prop_rpt" "prop_SINE" "prop_DNA" "prop_TcM" "prop_LINE" "prop_LTR" "prop_nonLTR" "prop_genes" "prop_CDS"
"18" "LR999925.1" 16000001 16607008 2 1.09 16607008 0.212132034 0.354608 "Autosome" 0.981724372024148 847 110 43 7 57 5 115 15 15 131807 20102 6098 1733 19901 340 43580 42134 13493 1.39536875955506 0.181216722020138 0.0708392640624176 0.0115319732194633 0.0939032105013443 0.0082371237281881 0.189453845748326 0.0247113711845643 0.0247113711845643 0.217142113448258 0.0331165322368074 0.0100459960988982 0.00285498708418999 0.0327853998629343 0.000560124413516791 0.0717947704148875 0.0694125942326955 0.0222287020928884
"19" "LR999926.1" 1 2000000 7 1.834285714 16362069 1.861243824 0.343466 "Autosome" 0.0611169956562339 2551 327 164 9 110 50 267 91 91 336522 60281 19317 977 29317 18102 80142 340792 86996 1.2755 0.1635 0.082 0.0045 0.055 0.025 0.1335 0.0455 0.0455 0.168261 0.0301405 0.0096585 0.0004885 0.0146585 0.009051 0.040071 0.170396 0.043498
"20" "LR999926.1" 2000001 4000000 11 2.250909091 16362069 1.61022641 0.330335 "Autosome" 0.183350925851737 3609 617 264 12 190 67 369 51 51 508698 116867 40442 3934 53654 27973 97435 243077 48809 1.8045 0.3085 0.132 0.006 0.095 0.0335 0.1845 0.0255 0.0255 0.254349 0.0584335 0.020221 0.001967 0.026827 0.0139865 0.0487175 0.1215385 0.0244045
"21" "LR999926.1" 4000001 6000000 14 0.963571429 16362069 1.427157515 0.322006 "Autosome" 0.30558485604724 2569 349 198 14 111 38 220 88 88 311394 65918 27285 5292 19541 14622 60419 328903 90479 1.2845 0.1745 0.099 0.007 0.0555 0.019 0.11 0.044 0.044 0.155697 0.032959 0.0136425 0.002646 0.0097705 0.007311 0.0302095 0.1644515 0.0452395
"22" "LR999926.1" 6000001 8000000 14 1.767142857 16362069 1.447004484 0.327111 "Autosome" 0.427818786242742 2833 389 234 11 160 70 244 90 90 394868 71425 31184 2896 46917 38644 60073 392337 96643 1.4165 0.1945 0.117 0.0055 0.08 0.035 0.122 0.045 0.045 0.197434 0.0357125 0.015592 0.001448 0.0234585 0.019322 0.0300365 0.1961685 0.0483215
"23" "LR999926.1" 8000001 10000000 8 4.695 16362069 0.958540557 0.328157 "Autosome" 0.550052716438245 2682 418 220 9 118 32 210 116 116 335113 79384 27143 1035 21598 5411 62117 461470 113194 1.341 0.209 0.11 0.0045 0.059 0.016 0.105 0.058 0.058 0.1675565 0.039692 0.0135715 0.0005175 0.010799 0.0027055 0.0310585 0.230735 0.056597
"24" "LR999926.1" 10000001 12000000 10 2.482 16362069 0.19395303 0.33031 "Autosome" 0.672286646633748 3102 455 228 14 149 50 283 108 108 418273 85750 32504 2618 42764 24402 67578 461149 106684 1.551 0.2275 0.114 0.007 0.0745 0.025 0.1415 0.054 0.054 0.2091365 0.042875 0.016252 0.001309 0.021382 0.012201 0.033789 0.2305745 0.053342
"25" "LR999926.1" 12000001 14000000 5 2.84 16362069 0.293428015 0.335146 "Autosome" 0.794520576829251 4019 632 316 16 182 84 406 57 57 554898 120075 42272 4176 47213 30447 102560 309630 57410 2.0095 0.316 0.158 0.008 0.091 0.042 0.203 0.0285 0.0285 0.277449 0.0600375 0.021136 0.002088 0.0236065 0.0152235 0.05128 0.154815 0.028705
"26" "LR999926.1" 14000001 16000000 7 1.225714286 16362069 1.235244337 0.33011 "Autosome" 0.916754507024753 3894 695 239 13 227 49 469 11 11 564572 127023 41953 1852 52653 25703 124011 64862 8633 1.947 0.3475 0.1195 0.0065 0.1135 0.0245 0.2345 0.0055 0.0055 0.282286 0.0635115 0.0209765 0.000926 0.0263265 0.0128515 0.0620055 0.032431 0.0043165
"27" "LR999926.1" 16000001 16362069 3 0 16362069 0 0.361437 "Autosome" 0.988935751340494 409 63 22 0 11 5 44 14 14 54750 9048 1688 0 1608 328 21145 43127 14972 1.12961894003629 0.173999983428573 0.0607618989750572 0 0.0303809494875286 0.0138095224943312 0.121523797950114 0.0386666629841273 0.0386666629841273 0.151214271312927 0.0249897119057417 0.00466209479408621 0 0.00444114243417691 0.000905904675628126 0.0584004706285266 0.119112655322604 0.0413512341570253
"28" "LR999927.1" 1 2000000 3 1.966666667 16090551 0.548482756 0.373176 "Autosome" 0.06214830679198 3215 451 234 40 178 64 469 71 71 528466 83226 29235 4005 45418 23552 191980 268204 66179 1.6075 0.2255 0.117 0.02 0.089 0.032 0.2345 0.0355 0.0355 0.264233 0.041613 0.0146175 0.0020025 0.022709 0.011776 0.09599 0.134102 0.0330895
"29" "LR999927.1" 2000001 4000000 2 1.47 16090551 2.078893937 0.332586 "Autosome" 0.186444858227664 3898 564 328 10 185 88 416 47 47 623800 104623 69298 2334 61445 40972 128523 273465 51305 1.949 0.282 0.164 0.005 0.0925 0.044 0.208 0.0235 0.0235 0.3119 0.0523115 0.034649 0.001167 0.0307225 0.020486 0.0642615 0.1367325 0.0256525
"30" "LR999927.1" 4000001 6000000 4 1.58 16090551 0.215870331 0.322847 "Autosome" 0.310741409663348 2896 247 298 34 188 70 261 70 70 472474 43800 64034 8391 71244 29923 95055 234588 62443 1.448 0.1235 0.149 0.017 0.094 0.035 0.1305 0.035 0.035 0.236237 0.0219 0.032017 0.0041955 0.035622 0.0149615 0.0475275 0.117294 0.0312215
"31" "LR999927.1" 6000001 8000000 10 2.04 16090551 0.114406682 0.312304 "Autosome" 0.435037961099033 2134 266 172 11 137 44 173 53 53 294487 49944 36073 2771 25171 30619 45663 204956 48711 1.067 0.133 0.086 0.0055 0.0685 0.022 0.0865 0.0265 0.0265 0.1472435 0.024972 0.0180365 0.0013855 0.0125855 0.0153095 0.0228315 0.102478 0.0243555
"32" "LR999927.1" 8000001 10000000 24 1.898333333 16090551 0.537738151 0.320019 "Autosome" 0.559334512534717 2958 471 221 9 186 49 258 55 55 423801 89154 43273 3666 47594 18091 77057 226353 54444 1.479 0.2355 0.1105 0.0045 0.093 0.0245 0.129 0.0275 0.0275 0.2119005 0.044577 0.0216365 0.001833 0.023797 0.0090455 0.0385285 0.1131765 0.027222
"33" "LR999927.1" 10000001 12000000 18 3.549444444 16090551 2.003110734 0.320206 "Autosome" 0.683631063970401 3360 510 255 13 179 56 343 34 34 449314 95794 39482 2101 32208 13617 95997 138383 36754 1.68 0.255 0.1275 0.0065 0.0895 0.028 0.1715 0.017 0.017 0.224657 0.047897 0.019741 0.0010505 0.016104 0.0068085 0.0479985 0.0691915 0.018377
"34" "LR999927.1" 12000001 14000000 13 7.354615385 16090551 1.748154338 0.323384 "Autosome" 0.807927615406085 3148 596 189 11 161 43 297 10 10 393467 109643 25885 1458 35964 6855 65320 38305 7875 1.574 0.298 0.0945 0.0055 0.0805 0.0215 0.1485 0.005 0.005 0.1967335 0.0548215 0.0129425 0.000729 0.017982 0.0034275 0.03266 0.0191525 0.0039375
"35" "LR999927.1" 14000001 16000000 12 3.843333333 16090551 1.755046404 0.33842 "Autosome" 0.932224166841769 3753 704 283 15 213 49 436 67 67 519781 122092 42518 3474 58055 21502 101622 384174 70983 1.8765 0.352 0.1415 0.0075 0.1065 0.0245 0.218 0.0335 0.0335 0.2598905 0.061046 0.021259 0.001737 0.0290275 0.010751 0.050811 0.192087 0.0354915
"36" "LR999927.1" 16000001 16090551 0 NA 16090551 NA 0.410233 "Autosome" 0.997186236816875 114 5 9 0 11 16 15 9 9 19076 504 1472 0 3727 3697 2745 24738 8495 1.25895903965721 0.0552175017393513 0.0993915031308324 0 0.121478503826573 0.176696005565924 0.165652505218054 0.0993915031308324 0.0993915031308324 0.210665812635973 0.00556592417532661 0.016256032512065 0 0.0411591257965125 0.0408278207860764 0.0303144084549039 0.273194111605615 0.0938145354551579
"37" "LR999928.1" 1 2000000 10 1.584 16000791 1.019239368 0.337216 "Autosome" 0.0624969415574518 3748 657 261 9 185 104 372 44 44 532088 122879 39470 2928 52477 38747 84904 245607 40957 1.874 0.3285 0.1305 0.0045 0.0925 0.052 0.186 0.022 0.022 0.266044 0.0614395 0.019735 0.001464 0.0262385 0.0193735 0.042452 0.1228035 0.0204785
"38" "LR999928.1" 2000001 4000000 11 2.951818182 16000791 0.732267959 0.325036 "Autosome" 0.187490762175445 3085 537 207 13 173 32 350 33 33 440585 95011 37496 4629 60697 5716 93936 154923 33313 1.5425 0.2685 0.1035 0.0065 0.0865 0.016 0.175 0.0165 0.0165 0.2202925 0.0475055 0.018748 0.0023145 0.0303485 0.002858 0.046968 0.0774615 0.0166565
"39" "LR999928.1" 4000001 6000000 6 4.695 16000791 0.824663568 0.323987 "Autosome" 0.312484582793438 3065 504 243 14 172 54 310 56 56 441764 94865 44306 5710 42998 15118 88446 274322 56009 1.5325 0.252 0.1215 0.007 0.086 0.027 0.155 0.028 0.028 0.220882 0.0474325 0.022153 0.002855 0.021499 0.007559 0.044223 0.137161 0.0280045
"40" "LR999928.1" 6000001 8000000 11 1.297272727 16000791 0.490858247 0.324204 "Autosome" 0.437478403411431 2032 244 132 7 113 24 180 100 100 261676 47563 23298 2329 31464 6625 55867 497572 104143 1.016 0.122 0.066 0.0035 0.0565 0.012 0.09 0.05 0.05 0.130838 0.0237815 0.011649 0.0011645 0.015732 0.0033125 0.0279335 0.248786 0.0520715
"41" "LR999928.1" 8000001 10000000 9 1.873333333 16000791 1.017877694 0.322981 "Autosome" 0.562472224029425 2286 350 163 12 116 46 187 71 71 297329 63580 26259 2224 30282 21878 49991 296968 79278 1.143 0.175 0.0815 0.006 0.058 0.023 0.0935 0.0355 0.0355 0.1486645 0.03179 0.0131295 0.001112 0.015141 0.010939 0.0249955 0.148484 0.039639
"42" "LR999928.1" 10000001 12000000 12 5.4325 16000791 2.521893679 0.322307 "Autosome" 0.687466044647418 2844 473 179 5 158 53 291 37 37 393390 90145 25169 472 49427 11891 82140 188176 41928 1.422 0.2365 0.0895 0.0025 0.079 0.0265 0.1455 0.0185 0.0185 0.196695 0.0450725 0.0125845 0.000236 0.0247135 0.0059455 0.04107 0.094088 0.020964
"43" "LR999928.1" 12000001 14000000 8 6.73 16000791 3.416435068 0.325651 "Autosome" 0.812459865265411 3356 574 194 8 207 36 338 33 33 488989 104271 34118 3069 52989 11983 107732 143674 36153 1.678 0.287 0.097 0.004 0.1035 0.018 0.169 0.0165 0.0165 0.2444945 0.0521355 0.017059 0.0015345 0.0264945 0.0059915 0.053866 0.071837 0.0180765
"44" "LR999928.1" 14000001 16000000 10 2.88 16000791 0.69988888 0.33514 "Autosome" 0.937453685883404 3085 543 175 10 150 49 346 66 66 392909 94015 21363 1592 31379 16793 77132 385307 73414 1.5425 0.2715 0.0875 0.005 0.075 0.0245 0.173 0.033 0.033 0.1964545 0.0470075 0.0106815 0.000796 0.0156895 0.0083965 0.038566 0.1926535 0.036707
"45" "LR999928.1" 16000001 16000791 0 NA 16000791 NA 0.379267 "Autosome" 0.999975313720428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" "LR999929.1" 1 2000000 3 0.88 15952094 0.22627417 0.337126 "Autosome" 0.062687726138023 3494 595 250 18 190 55 401 51 51 491085 111347 39076 4527 60101 22404 97802 244057 54056 1.747 0.2975 0.125 0.009 0.095 0.0275 0.2005 0.0255 0.0255 0.2455425 0.0556735 0.019538 0.0022635 0.0300505 0.011202 0.048901 0.1220285 0.027028
"47" "LR999929.1" 2000001 4000000 6 4.31 15952094 2.577339714 0.33066 "Autosome" 0.188063115726374 3387 566 234 16 175 65 349 34 34 486272 101385 34190 1961 46739 21667 109132 187444 30484 1.6935 0.283 0.117 0.008 0.0875 0.0325 0.1745 0.017 0.017 0.243136 0.0506925 0.017095 0.0009805 0.0233695 0.0108335 0.054566 0.093722 0.015242
"48" "LR999929.1" 4000001 6000000 10 1.997 15952094 0.869866529 0.322365 "Autosome" 0.313438505314725 3155 455 289 14 140 52 302 66 66 449088 86715 52304 5429 33837 22351 89739 270384 62557 1.5775 0.2275 0.1445 0.007 0.07 0.026 0.151 0.033 0.033 0.224544 0.0433575 0.026152 0.0027145 0.0169185 0.0111755 0.0448695 0.135192 0.0312785
"49" "LR999929.1" 6000001 8000000 11 5.637272727 15952094 1.474090166 0.321537 "Autosome" 0.438813894903077 3362 570 248 13 197 38 320 51 51 457765 111368 40527 2460 45248 8581 82171 230956 50504 1.681 0.285 0.124 0.0065 0.0985 0.019 0.16 0.0255 0.0255 0.2288825 0.055684 0.0202635 0.00123 0.022624 0.0042905 0.0410855 0.115478 0.025252
"50" "LR999929.1" 8000001 10000000 9 0.575555556 15952094 0.518823455 0.321394 "Autosome" 0.564189284491428 2968 441 248 17 145 40 253 97 97 428754 83788 46880 4443 33953 21198 89362 520973 99303 1.484 0.2205 0.124 0.0085 0.0725 0.02 0.1265 0.0485 0.0485 0.214377 0.041894 0.02344 0.0022215 0.0169765 0.010599 0.044681 0.2604865 0.0496515
"51" "LR999929.1" 10000001 12000000 5 2.516 15952094 1.052154932 0.330909 "Autosome" 0.689564674079779 3949 601 299 8 202 72 448 41 41 576725 111187 48092 850 50828 24750 125309 188115 41955 1.9745 0.3005 0.1495 0.004 0.101 0.036 0.224 0.0205 0.0205 0.2883625 0.0555935 0.024046 0.000425 0.025414 0.012375 0.0626545 0.0940575 0.0209775
"52" "LR999929.1" 12000001 14000000 7 1.7 15952094 1.296546695 0.327603 "Autosome" 0.81494006366813 2948 410 252 25 147 52 285 94 94 384418 76500 34687 4577 35546 20653 67602 414019 98023 1.474 0.205 0.126 0.0125 0.0735 0.026 0.1425 0.047 0.047 0.192209 0.03825 0.0173435 0.0022885 0.017773 0.0103265 0.033801 0.2070095 0.0490115
"53" "LR999929.1" 14000001 15952094 7 4.558571429 15952094 0.530359267 0.343727 "Autosome" 0.938813894903077 3882 699 212 7 200 60 461 53 53 540384 130424 25912 1383 50833 22178 116950 250252 52316 1.98863374407175 0.358077018832085 0.108601327600003 0.00358589289245292 0.102454082641512 0.0307362247924536 0.236156660488685 0.0271503319000007 0.0271503319000007 0.276822734970754 0.0668123563721829 0.0132739509470343 0.000708469981466056 0.0260402419145799 0.0113611332241173 0.0599100248246242 0.128196695446018 0.0267999389373667
"54" "LR999930.1" 1 2000000 9 0.62 15715213 0.605784615 0.332994 "Autosome" 0.0636326405502744 3309 509 232 12 185 51 412 31 31 476990 94785 32321 3581 47193 17848 120870 156463 28584 1.6545 0.2545 0.116 0.006 0.0925 0.0255 0.206 0.0155 0.0155 0.238495 0.0473925 0.0161605 0.0017905 0.0235965 0.008924 0.060435 0.0782315 0.014292
"55" "LR999930.1" 2000001 4000000 7 1.742857143 15715213 0.553314687 0.31773 "Autosome" 0.190897858018215 2329 380 148 5 130 18 229 62 62 299257 69462 18547 1355 33190 5152 61325 274739 59408 1.1645 0.19 0.074 0.0025 0.065 0.009 0.1145 0.031 0.031 0.1496285 0.034731 0.0092735 0.0006775 0.016595 0.002576 0.0306625 0.1373695 0.029704
"56" "LR999930.1" 4000001 6000000 3 0.55 15715213 0.507444578 0.321131 "Autosome" 0.318163075486155 3043 441 196 13 168 49 250 61 61 402298 80799 32447 3647 39451 13721 66421 262543 53886 1.5215 0.2205 0.098 0.0065 0.084 0.0245 0.125 0.0305 0.0305 0.201149 0.0403995 0.0162235 0.0018235 0.0197255 0.0068605 0.0332105 0.1312715 0.026943
"57" "LR999930.1" 6000001 8000000 7 2.99 15715213 1.720959035 0.313787 "Autosome" 0.445428292954095 2462 294 174 12 120 43 246 99 99 324854 55000 36964 3979 28071 14105 62498 407518 94271 1.231 0.147 0.087 0.006 0.06 0.0215 0.123 0.0495 0.0495 0.162427 0.0275 0.018482 0.0019895 0.0140355 0.0070525 0.031249 0.203759 0.0471355
"58" "LR999930.1" 8000001 10000000 6 3.146666667 15715213 1.722018196 0.318904 "Autosome" 0.572693510422035 2504 331 199 20 134 51 226 72 72 324156 62039 33001 4806 31577 24718 56586 251171 75016 1.252 0.1655 0.0995 0.01 0.067 0.0255 0.113 0.036 0.036 0.162078 0.0310195 0.0165005 0.002403 0.0157885 0.012359 0.028293 0.1255855 0.037508
"59" "LR999930.1" 10000001 12000000 7 4.088571429 15715213 2.172214144 0.324445 "Autosome" 0.699958727889975 3555 579 250 14 197 59 355 40 40 496474 101721 42920 3366 52893 21700 94394 186407 38312 1.7775 0.2895 0.125 0.007 0.0985 0.0295 0.1775 0.02 0.02 0.248237 0.0508605 0.02146 0.001683 0.0264465 0.01085 0.047197 0.0932035 0.019156
"60" "LR999930.1" 12000001 14000000 11 6.585454545 15715213 1.932068134 0.334594 "Autosome" 0.827223945357915 3801 646 293 11 175 53 414 73 73 514353 119163 41624 2927 46032 22154 95655 334149 76947 1.9005 0.323 0.1465 0.0055 0.0875 0.0265 0.207 0.0365 0.0365 0.2571765 0.0595815 0.020812 0.0014635 0.023016 0.011077 0.0478275 0.1670745 0.0384735
"61" "LR999930.1" 14000001 15715213 6 1.085 15715213 1.230280456 0.339553 "Autosome" 0.945428292954095 3242 550 214 10 156 61 353 20 20 440484 97793 26691 3603 43828 29706 82198 166131 23327 1.89014425613612 0.320659883058256 0.124765845408121 0.00583017969196829 0.0909508031947053 0.0355640961210065 0.20580534312648 0.0116603593839366 0.0116603593839366 0.256810087143696 0.0570150762616655 0.0155613326158326 0.00210061374301617 0.0255525115539586 0.017319131792961 0.0479229110320409 0.0968573582406383 0.0136000601674544
"62" "LR999931.1" 1 2000000 7 1.631428571 15572524 1.114800858 0.344759 "Autosome" 0.0642156981103384 3292 543 218 11 215 50 370 71 71 483066 98166 33254 1624 65014 23681 98923 399256 67342 1.646 0.2715 0.109 0.0055 0.1075 0.025 0.185 0.0355 0.0355 0.241533 0.049083 0.016627 0.000812 0.032507 0.0118405 0.0494615 0.199628 0.033671
"63" "LR999931.1" 2000001 4000000 9 6.885555556 15572524 1.810629111 0.330118 "Autosome" 0.192647030115349 3709 676 256 6 164 35 351 31 31 458399 119886 34542 1970 28854 17035 70434 146716 24871 1.8545 0.338 0.128 0.003 0.082 0.0175 0.1755 0.0155 0.0155 0.2291995 0.059943 0.017271 0.000985 0.014427 0.0085175 0.035217 0.073358 0.0124355
"64" "LR999931.1" 4000001 6000000 7 5.412857143 15572524 3.053040639 0.328829 "Autosome" 0.32107836212036 2481 416 175 9 107 33 192 72 72 287676 73304 24139 2864 20857 8574 41007 316895 76192 1.2405 0.208 0.0875 0.0045 0.0535 0.0165 0.096 0.036 0.036 0.143838 0.036652 0.0120695 0.001432 0.0104285 0.004287 0.0205035 0.1584475 0.038096
"65" "LR999931.1" 6000001 8000000 6 3.881666667 15572524 1.924218456 0.323777 "Autosome" 0.449509694125371 2332 278 181 13 125 46 196 103 103 318893 48057 34051 3640 26059 17268 69688 363889 98305 1.166 0.139 0.0905 0.0065 0.0625 0.023 0.098 0.0515 0.0515 0.1594465 0.0240285 0.0170255 0.00182 0.0130295 0.008634 0.034844 0.1819445 0.0491525
"66" "LR999931.1" 8000001 10000000 14 1.886428571 15572524 0.620342426 0.323491 "Autosome" 0.577941026130382 2121 284 147 10 105 23 165 79 79 243328 49118 24951 1819 24501 5936 36036 249731 80767 1.0605 0.142 0.0735 0.005 0.0525 0.0115 0.0825 0.0395 0.0395 0.121664 0.024559 0.0124755 0.0009095 0.0122505 0.002968 0.018018 0.1248655 0.0403835
"67" "LR999931.1" 10000001 12000000 7 1.76 15572524 1.307465742 0.328862 "Autosome" 0.706372358135393 2125 273 152 11 107 30 206 122 122 295280 51369 23909 3482 23929 11700 78902 468853 132824 1.0625 0.1365 0.076 0.0055 0.0535 0.015 0.103 0.061 0.061 0.14764 0.0256845 0.0119545 0.001741 0.0119645 0.00585 0.039451 0.2344265 0.066412
