"chrom" "begin" "end" "markers" "rec_rate" "chr_length" "rec_sd" "GC" "chr_type" "gene_ex_bin" "gen_feat" "count_var" "length_var" "density_var" "prop_var" "rel_pos" "pos_group"
"38" "LR999928.1" 2000001 4000000 11 2.951818182 16000791 0.732267959 0.325036 "Autosome" "1" "rpt" 3085 440585 1.5425 0.2202925 0.187490762175445 "4"
"39" "LR999928.1" 4000001 6000000 6 4.695 16000791 0.824663568 0.323987 "Autosome" "1" "rpt" 3065 441764 1.5325 0.220882 0.312484582793438 "2"
"40" "LR999928.1" 6000001 8000000 11 1.297272727 16000791 0.490858247 0.324204 "Autosome" "0" "rpt" 2032 261676 1.016 0.130838 0.437478403411431 "1"
"41" "LR999928.1" 8000001 10000000 9 1.873333333 16000791 1.017877694 0.322981 "Autosome" "1" "rpt" 2286 297329 1.143 0.1486645 0.562472224029425 "1"
"42" "LR999928.1" 10000001 12000000 12 5.4325 16000791 2.521893679 0.322307 "Autosome" "1" "rpt" 2844 393390 1.422 0.196695 0.687466044647418 "2"
"43" "LR999928.1" 12000001 14000000 8 6.73 16000791 3.416435068 0.325651 "Autosome" "0" "rpt" 3356 488989 1.678 0.2444945 0.812459865265411 "4"
"44" "LR999928.1" 14000001 16000000 10 2.88 16000791 0.69988888 0.33514 "Autosome" "1" "rpt" 3085 392909 1.5425 0.1964545 0.937453685883404 "5"
"45" "LR999928.1" 16000001 16000791 0 NA 16000791 NA 0.379267 "Autosome" "0" "rpt" 0 0 0 0 0.999975313720428 "5"
"46" "LR999929.1" 1 2000000 3 0.88 15952094 0.22627417 0.337126 "Autosome" "1" "rpt" 3494 491085 1.747 0.2455425 0.062687726138023 "5"
"47" "LR999929.1" 2000001 4000000 6 4.31 15952094 2.577339714 0.33066 "Autosome" "1" "rpt" 3387 486272 1.6935 0.243136 0.188063115726374 "4"
"48" "LR999929.1" 4000001 6000000 10 1.997 15952094 0.869866529 0.322365 "Autosome" "1" "rpt" 3155 449088 1.5775 0.224544 0.313438505314725 "2"
"49" "LR999929.1" 6000001 8000000 11 5.637272727 15952094 1.474090166 0.321537 "Autosome" "1" "rpt" 3362 457765 1.681 0.2288825 0.438813894903077 "1"
"50" "LR999929.1" 8000001 10000000 9 0.575555556 15952094 0.518823455 0.321394 "Autosome" "1" "rpt" 2968 428754 1.484 0.214377 0.564189284491428 "1"
"51" "LR999929.1" 10000001 12000000 5 2.516 15952094 1.052154932 0.330909 "Autosome" "1" "rpt" 3949 576725 1.9745 0.2883625 0.689564674079779 "2"
"52" "LR999929.1" 12000001 14000000 7 1.7 15952094 1.296546695 0.327603 "Autosome" "1" "rpt" 2948 384418 1.474 0.192209 0.81494006366813 "4"
"53" "LR999929.1" 14000001 15952094 7 4.558571429 15952094 0.530359267 0.343727 "Autosome" "0" "rpt" 3882 540384 1.98863374407175 0.276822734970754 0.938813894903077 "5"
"54" "LR999930.1" 1 2000000 9 0.62 15715213 0.605784615 0.332994 "Autosome" "1" "rpt" 3309 476990 1.6545 0.238495 0.0636326405502744 "5"
"55" "LR999930.1" 2000001 4000000 7 1.742857143 15715213 0.553314687 0.31773 "Autosome" "1" "rpt" 2329 299257 1.1645 0.1496285 0.190897858018215 "4"
"56" "LR999930.1" 4000001 6000000 3 0.55 15715213 0.507444578 0.321131 "Autosome" "1" "rpt" 3043 402298 1.5215 0.201149 0.318163075486155 "2"
"57" "LR999930.1" 6000001 8000000 7 2.99 15715213 1.720959035 0.313787 "Autosome" "1" "rpt" 2462 324854 1.231 0.162427 0.445428292954095 "1"
"58" "LR999930.1" 8000001 10000000 6 3.146666667 15715213 1.722018196 0.318904 "Autosome" "1" "rpt" 2504 324156 1.252 0.162078 0.572693510422035 "1"
"59" "LR999930.1" 10000001 12000000 7 4.088571429 15715213 2.172214144 0.324445 "Autosome" "1" "rpt" 3555 496474 1.7775 0.248237 0.699958727889975 "2"
"60" "LR999930.1" 12000001 14000000 11 6.585454545 15715213 1.932068134 0.334594 "Autosome" "1" "rpt" 3801 514353 1.9005 0.2571765 0.827223945357915 "4"
"61" "LR999930.1" 14000001 15715213 6 1.085 15715213 1.230280456 0.339553 "Autosome" "0" "rpt" 3242 440484 1.89014425613612 0.256810087143696 0.945428292954095 "5"
"62" "LR999931.1" 1 2000000 7 1.631428571 15572524 1.114800858 0.344759 "Autosome" "1" "rpt" 3292 483066 1.646 0.241533 0.0642156981103384 "5"
"63" "LR999931.1" 2000001 4000000 9 6.885555556 15572524 1.810629111 0.330118 "Autosome" "0" "rpt" 3709 458399 1.8545 0.2291995 0.192647030115349 "4"
"64" "LR999931.1" 4000001 6000000 7 5.412857143 15572524 3.053040639 0.328829 "Autosome" "0" "rpt" 2481 287676 1.2405 0.143838 0.32107836212036 "2"
"65" "LR999931.1" 6000001 8000000 6 3.881666667 15572524 1.924218456 0.323777 "Autosome" "0" "rpt" 2332 318893 1.166 0.1594465 0.449509694125371 "1"
"66" "LR999931.1" 8000001 10000000 14 1.886428571 15572524 0.620342426 0.323491 "Autosome" "0" "rpt" 2121 243328 1.0605 0.121664 0.577941026130382 "1"
"67" "LR999931.1" 10000001 12000000 7 1.76 15572524 1.307465742 0.328862 "Autosome" "1" "rpt" 2125 295280 1.0625 0.14764 0.706372358135393 "3"
"68" "LR999931.1" 12000001 14000000 17 0.461176471 15572524 0.250671158 0.325357 "Autosome" "1" "rpt" 3089 396636 1.5445 0.198318 0.834803690140404 "4"
"69" "LR999931.1" 14000001 15572524 6 1.85 15572524 0 0.338565 "Autosome" "1" "rpt" 2153 302510 1.3691364964859 0.192372262680888 0.949509694125371 "5"
"70" "LR999932.1" 1 2000000 7 11.71142857 15426761 1.490004794 0.336339 "Autosome" "1" "rpt" 3699 493377 1.8495 0.2466885 0.0648224536569925 "5"
"71" "LR999932.1" 2000001 4000000 6 4.566666667 15426761 1.561661508 0.339295 "Autosome" "0" "rpt" 4373 601547 2.1865 0.3007735 0.194467296148556 "4"
"72" "LR999932.1" 4000001 6000000 4 2.2625 15426761 2.615509829 0.328986 "Autosome" "0" "rpt" 3538 466644 1.769 0.233322 0.32411213864012 "2"
"73" "LR999932.1" 6000001 8000000 8 1.5225 15426761 0.480825184 0.321742 "Autosome" "1" "rpt" 2653 366279 1.3265 0.1831395 0.453756981131684 "1"
"74" "LR999932.1" 8000001 10000000 8 1.08 15426761 0.70652065 0.310988 "Autosome" "1" "rpt" 2526 331207 1.263 0.1656035 0.583401823623248 "1"
"75" "LR999932.1" 10000001 12000000 6 0 15426761 0 0.321043 "Autosome" "0" "rpt" 2651 347307 1.3255 0.1736535 0.713046666114812 "3"
"76" "LR999932.1" 12000001 14000000 3 10.93 15426761 1.541525219 0.327094 "Autosome" "1" "rpt" 3594 496108 1.797 0.248054 0.842691508606376 "4"
"77" "LR999932.1" 14000001 15426761 6 4.751666667 15426761 2.977169237 0.351394 "Autosome" "1" "rpt" 2459 321216 1.72348417149053 0.225136515506101 0.953756981131684 "5"
"78" "LR999933.1" 1 2000000 6 3.393333333 15296561 1.269719129 0.338157 "Autosome" "0" "rpt" 4105 578912 2.0525 0.289456 0.0653742040449484 "5"
"79" "LR999933.1" 2000001 4000000 5 6.796 15296561 2.022740715 0.326144 "Autosome" "1" "rpt" 3470 463407 1.735 0.2317035 0.196122546760674 "4"
"80" "LR999933.1" 4000001 6000000 11 2.125454545 15296561 0.045025245 0.320224 "Autosome" "1" "rpt" 3250 424628 1.625 0.212314 0.326870889476399 "2"
"81" "LR999933.1" 6000001 8000000 7 1.434285714 15296561 2.159937168 0.315228 "Autosome" "1" "rpt" 2374 307874 1.187 0.153937 0.457619232192125 "1"
"82" "LR999933.1" 8000001 10000000 13 1.035384615 15296561 0.196325214 0.317506 "Autosome" "1" "rpt" 2620 355343 1.31 0.1776715 0.58836757490785 "1"
"83" "LR999933.1" 10000001 12000000 9 2.204444444 15296561 0.962939654 0.328555 "Autosome" "1" "rpt" 2974 388762 1.487 0.194381 0.719115917623576 "3"
"84" "LR999933.1" 12000001 14000000 12 4.063333333 15296561 2.008764131 0.328822 "Autosome" "1" "rpt" 3834 512768 1.917 0.256384 0.849864260339301 "4"
"85" "LR999933.1" 14000001 15296561 7 1.86 15296561 1.309350984 0.340802 "Autosome" "1" "rpt" 1786 266893 1.3774901450838 0.205846851787151 0.957619232192125 "5"
"86" "LR999934.1" 1 2000000 3 0 14945938 0 0.334681 "Autosome" "1" "rpt" 4020 522004 2.01 0.261002 0.0669078447936824 "5"
"87" "LR999934.1" 2000001 4000000 3 0 14945938 0 0.34593 "Autosome" "1" "rpt" 3982 709931 1.991 0.3549655 0.200723467473236 "3"
"88" "LR999934.1" 4000001 6000000 2 12.01 14945938 0 0.3371 "Autosome" "1" "rpt" 4165 670321 2.0825 0.3351605 0.334539090152789 "2"
"89" "LR999934.1" 6000001 8000000 7 4.85 14945938 3.64248084 0.330473 "Autosome" "1" "rpt" 4151 591299 2.0755 0.2956495 0.468354712832343 "1"
"90" "LR999934.1" 8000001 10000000 5 4.736 14945938 0.498628118 0.327718 "Autosome" "1" "rpt" 3516 455523 1.758 0.2277615 0.602170335511896 "2"
"91" "LR999934.1" 10000001 12000000 11 3.816363636 14945938 1.781725415 0.337467 "Autosome" "1" "rpt" 3590 462941 1.795 0.2314705 0.73598595819145 "3"
"92" "LR999934.1" 12000001 14000000 7 2.151428571 14945938 1.179483341 0.340871 "Autosome" "1" "rpt" 4191 547000 2.0955 0.2735 0.869801580871003 "4"
"93" "LR999934.1" 14000001 14945938 1 3.08 14945938 NA 0.348981 "Autosome" "0" "rpt" 1655 239886 1.74958612509488 0.253595901634145 0.968354712832343 "5"
"94" "LR999935.1" 1 2000000 6 2.91 14868897 0 0.345508 "Autosome" "1" "rpt" 2857 398720 1.4285 0.19936 0.0672545179376789 "5"
"95" "LR999935.1" 2000001 4000000 4 2.62 14868897 0 0.326293 "Autosome" "0" "rpt" 2893 391726 1.4465 0.195863 0.201763486558552 "3"
"96" "LR999935.1" 4000001 6000000 12 3.628333333 14868897 1.772598674 0.325335 "Autosome" "1" "rpt" 2587 313498 1.2935 0.156749 0.336272455179426 "2"
"97" "LR999935.1" 6000001 8000000 6 3.21 14868897 1.035895748 0.326796 "Autosome" "1" "rpt" 2253 276299 1.1265 0.1381495 0.470781423800299 "1"
"98" "LR999935.1" 8000001 10000000 10 3.682 14868897 0.601309682 0.322991 "Autosome" "1" "rpt" 2991 366736 1.4955 0.183368 0.605290392421173 "2"
"99" "LR999935.1" 10000001 12000000 15 3.51 14868897 0.772389613 0.327179 "Autosome" "1" "rpt" 2978 381816 1.489 0.190908 0.739799361042046 "3"
"100" "LR999935.1" 12000001 14000000 6 5.875 14868897 1.149986956 0.333681 "Autosome" "0" "rpt" 2978 353155 1.489 0.1765775 0.87430832966292 "4"
"101" "LR999935.1" 14000001 14868897 7 3.277142857 14868897 0.585540044 0.338626 "Autosome" "0" "rpt" 1303 170584 1.4996023694408 0.196322463997459 0.970781423800299 "5"
"102" "LR999936.1" 1 2000000 11 0.859090909 14774369 0.537223502 0.339898 "Autosome" "1" "rpt" 3172 399605 1.586 0.1998025 0.0676848195682672 "5"
"103" "LR999936.1" 2000001 4000000 12 1.4225 14774369 0.378684925 0.332372 "Autosome" "1" "rpt" 3788 502838 1.894 0.251419 0.203054391020016 "3"
"104" "LR999936.1" 4000001 6000000 4 4.11 14774369 0.635085296 0.323536 "Autosome" "1" "rpt" 2603 340038 1.3015 0.170019 0.338423962471764 "2"
"105" "LR999936.1" 6000001 8000000 12 4.32 14774369 0.830892182 0.326384 "Autosome" "1" "rpt" 2703 390332 1.3515 0.195166 0.473793533923513 "1"
"106" "LR999936.1" 8000001 10000000 6 2.986666667 14774369 0.554496769 0.325262 "Autosome" "1" "rpt" 3374 481417 1.687 0.2407085 0.609163105375262 "2"
"107" "LR999936.1" 10000001 12000000 8 3.155 14774369 1.302283708 0.326252 "Autosome" "1" "rpt" 3670 482468 1.835 0.241234 0.74453267682701 "3"
"108" "LR999936.1" 12000001 14000000 11 3.156363636 14774369 1.038212625 0.336177 "Autosome" "1" "rpt" 4019 542057 2.0095 0.2710285 0.879902248278759 "4"
"109" "LR999936.1" 14000001 14774369 2 3.48 14774369 0 0.354929 "Autosome" "1" "rpt" 1536 287559 1.98355047787295 0.371346218663195 0.973793533923513 "5"
"110" "LR999937.1" 1 2000000 13 3.892307692 14615999 0.801728901 0.34601 "Autosome" "1" "rpt" 4097 607468 2.0485 0.303734 0.0684182107565826 "5"
"111" "LR999937.1" 2000001 4000000 6 6.363333333 14615999 1.572229839 0.33239 "Autosome" "1" "rpt" 4180 612648 2.09 0.306324 0.205254563851571 "3"
"112" "LR999937.1" 4000001 6000000 4 3.2275 14615999 0.317424532 0.328733 "Autosome" "1" "rpt" 2970 353545 1.485 0.1767725 0.34209091694656 "2"
"113" "LR999937.1" 6000001 8000000 17 5.264117647 14615999 1.867113611 0.320783 "Autosome" "0" "rpt" 2965 419094 1.4825 0.209547 0.478927270041548 "1"
"114" "LR999937.1" 8000001 10000000 7 2.905714286 14615999 2.448147988 0.319205 "Autosome" "1" "rpt" 3159 473723 1.5795 0.2368615 0.615763623136537 "2"
"115" "LR999937.1" 10000001 12000000 12 2.033333333 14615999 1.920119946 0.322204 "Autosome" "0" "rpt" 2640 350824 1.32 0.175412 0.752599976231525 "3"
"116" "LR999937.1" 12000001 14000000 7 5.767142857 14615999 2.136950431 0.338391 "Autosome" "1" "rpt" 3857 526439 1.9285 0.2632195 0.889436329326514 "4"
"117" "LR999937.1" 14000001 14615999 3 4.733333333 14615999 2.361362601 0.344682 "Autosome" "1" "rpt" 1024 160301 1.66234036094214 0.260229318554089 0.978927270041548 "5"
"118" "LR999938.1" 1 2000000 7 1.46 14605406 0.67955868 0.341935 "Autosome" "1" "rpt" 3780 538152 1.89 0.269076 0.0684678330749587 "5"
"119" "LR999938.1" 2000001 4000000 2 3.55 14605406 0.014142136 0.33198 "Autosome" "0" "rpt" 3578 485519 1.789 0.2427595 0.205403430757077 "3"
"120" "LR999938.1" 4000001 6000000 15 1.609333333 14605406 0.517210467 0.323533 "Autosome" "1" "rpt" 3475 484865 1.7375 0.2424325 0.342339028439196 "2"
"121" "LR999938.1" 6000001 8000000 6 2.663333333 14605406 0.704320003 0.317859 "Autosome" "1" "rpt" 2846 420483 1.423 0.2102415 0.479274626121314 "1"
"122" "LR999938.1" 8000001 10000000 14 0.914285714 14605406 0.892228966 0.318713 "Autosome" "1" "rpt" 1993 262063 0.9965 0.1310315 0.616210223803433 "2"
"123" "LR999938.1" 10000001 12000000 15 1.365333333 14605406 1.294338588 0.320241 "Autosome" "0" "rpt" 2428 308642 1.214 0.154321 0.753145821485551 "3"
"124" "LR999938.1" 12000001 14000000 9 3.84 14605406 2.256091753 0.334888 "Autosome" "1" "rpt" 3637 493096 1.8185 0.246548 0.89008141916767 "4"
"125" "LR999938.1" 14000001 14605406 0 NA 14605406 NA 0.354574 "Autosome" "0" "rpt" 1003 125049 1.65673944427376 0.206553948920229 0.979274626121314 "5"
"126" "LR999939.1" 1 2000000 4 6.71 13916383 0 0.335182 "Autosome" "0" "rpt" 3544 453732 1.772 0.226866 0.0718577880473683 "5"
"127" "LR999939.1" 2000001 4000000 7 3.295714286 13916383 1.560543251 0.324288 "Autosome" "1" "rpt" 3712 517886 1.856 0.258943 0.215573292284353 "3"
"128" "LR999939.1" 4000001 6000000 12 3.285 13916383 0.384080957 0.319077 "Autosome" "1" "rpt" 2967 381528 1.4835 0.190764 0.359288796521337 "2"
"129" "LR999939.1" 6000001 8000000 9 3.59 13916383 0.93682976 0.317629 "Autosome" "1" "rpt" 2319 320750 1.1595 0.160375 0.503004300758322 "1"
"130" "LR999939.1" 8000001 10000000 12 3.171666667 13916383 0.551524059 0.316262 "Autosome" "0" "rpt" 2618 326987 1.309 0.1634935 0.646719804995307 "2"
"131" "LR999939.1" 10000001 12000000 15 3.164666667 13916383 0.409683966 0.327677 "Autosome" "0" "rpt" 3495 440669 1.7475 0.2203345 0.790435309232291 "3"
"132" "LR999939.1" 12000001 13916383 6 1.766666667 13916383 1.408029356 0.347651 "Autosome" "1" "rpt" 4031 576646 2.10344174416074 0.300903316299508 0.93114654863983 "5"
"133" "LR999940.1" 1 2000000 0 0 13819298 0 0.373277 "W" "1" "rpt" 3752 1431431 1.876 0.7157155 0.0723626120516397 "5"
"134" "LR999940.1" 2000001 4000000 0 0 13819298 0 0.375773 "W" "1" "rpt" 3558 1353948 1.779 0.676974 0.217087763792343 "3"
"135" "LR999940.1" 4000001 6000000 0 0 13819298 0 0.368288 "W" "1" "rpt" 3360 1277808 1.68 0.638904 0.361812915533047 "2"
"136" "LR999940.1" 6000001 8000000 0 0 13819298 0 0.364058 "W" "1" "rpt" 3005 1135531 1.5025 0.5677655 0.50653806727375 "1"
"137" "LR999940.1" 8000001 10000000 0 0 13819298 0 0.369714 "W" "1" "rpt" 3410 1328476 1.705 0.664238 0.651263219014454 "2"
"138" "LR999940.1" 10000001 12000000 0 0 13819298 0 0.365091 "W" "1" "rpt" 3844 1364438 1.922 0.682219 0.795988370755157 "3"
"139" "LR999940.1" 12000001 13819298 0 0 13819298 0 0.373158 "W" "1" "rpt" 3392 1271744 1.8644554108233 0.699030065442825 0.934175491403398 "5"
"140" "LR999941.1" 1 2000000 13 9.013846154 13774036 1.40978449 0.334347 "Autosome" "1" "rpt" 3126 366118 1.563 0.183059 0.0726003983146262 "5"
"141" "LR999941.1" 2000001 4000000 12 4.800833333 13774036 1.129066053 0.328401 "Autosome" "1" "rpt" 3564 476063 1.782 0.2380315 0.217801122343516 "3"
"142" "LR999941.1" 4000001 6000000 9 3.232222222 13774036 2.831178102 0.324996 "Autosome" "1" "rpt" 2969 387629 1.4845 0.1938145 0.363001846372407 "2"
"143" "LR999941.1" 6000001 8000000 5 3.052 13774036 1.351321575 0.325381 "Autosome" "1" "rpt" 2866 394619 1.433 0.1973095 0.508202570401297 "1"
"144" "LR999941.1" 8000001 10000000 10 1.76 13774036 0.425754233 0.322799 "Autosome" "1" "rpt" 2448 292763 1.224 0.1463815 0.653403294430187 "2"
"145" "LR999941.1" 10000001 12000000 4 2.9125 13774036 0.709712383 0.325976 "Autosome" "1" "rpt" 3279 418510 1.6395 0.209255 0.798604018459078 "3"
"146" "LR999941.1" 12000001 13774036 6 1.37 13774036 0.996373424 0.341165 "Autosome" "1" "rpt" 3033 405148 1.70966090879779 0.22837642528111 0.935602208386852 "5"
"147" "LR999942.1" 1 2000000 8 3.63875 13550656 3.378750562 0.337422 "Autosome" "1" "rpt" 3668 523372 1.834 0.261686 0.0737972021428335 "5"
"148" "LR999942.1" 2000001 4000000 6 3.745 13550656 0.89103872 0.331106 "Autosome" "1" "rpt" 3624 464403 1.812 0.2322015 0.221391532631335 "3"
"149" "LR999942.1" 4000001 6000000 13 4.073076923 13550656 1.456968226 0.325684 "Autosome" "1" "rpt" 2254 281429 1.127 0.1407145 0.368985863119837 "2"
"150" "LR999942.1" 6000001 8000000 12 0.610833333 13550656 0.816015356 0.31927 "Autosome" "1" "rpt" 2632 359197 1.316 0.1795985 0.516580193608339 "1"
"151" "LR999942.1" 8000001 10000000 5 5.562 13550656 0.77370537 0.327381 "Autosome" "1" "rpt" 3549 466002 1.7745 0.233001 0.664174524096841 "2"
"152" "LR999942.1" 10000001 12000000 8 4.72625 13550656 0.16715583 0.33404 "Autosome" "1" "rpt" 3724 466220 1.862 0.23311 0.811768854585343 "4"
"153" "LR999942.1" 12000001 13550656 8 3.0675 13550656 2.153726007 0.343497 "Autosome" "0" "rpt" 2627 344722 1.69412171364893 0.222307204176813 0.942783028364088 "5"
"154" "LR999943.1" 1 2000000 9 2.692222222 13236624 1.136659335 0.344968 "Autosome" "0" "rpt" 3916 553415 1.958 0.2767075 0.0755480022700652 "5"
"155" "LR999943.1" 2000001 4000000 4 3.115 13236624 0.152424845 0.328371 "Autosome" "1" "rpt" 3674 438875 1.837 0.2194375 0.226643931262231 "3"
"156" "LR999943.1" 4000001 6000000 9 2.602222222 13236624 0.788999014 0.325788 "Autosome" "1" "rpt" 2936 385136 1.468 0.192568 0.377739860254397 "2"
"157" "LR999943.1" 6000001 8000000 10 5.358 13236624 0.635256729 0.320642 "Autosome" "1" "rpt" 3228 445091 1.614 0.2225455 0.528835789246563 "1"
"158" "LR999943.1" 8000001 10000000 11 3.914545455 13236624 0.619328082 0.326297 "Autosome" "0" "rpt" 3019 367558 1.5095 0.183779 0.679931718238729 "2"
"159" "LR999943.1" 10000001 12000000 3 1.9 13236624 0.370270172 0.329942 "Autosome" "1" "rpt" 3778 481614 1.889 0.240807 0.831027647230895 "4"
"160" "LR999943.1" 12000001 13236624 3 13.13 13236624 4.13960143 0.3394 "Autosome" "1" "rpt" 2097 292002 1.69574583705314 0.236128362380158 0.95328782475048 "5"
"161" "LR999944.1" 1 2000000 4 0 12933853 0 0.349288 "Autosome" "1" "rpt" 4316 651869 2.158 0.3259345 0.077316519679016 "5"
"162" "LR999944.1" 2000001 4000000 5 5.154 12933853 0.756723199 0.335411 "Autosome" "1" "rpt" 4003 582090 2.0015 0.291045 0.231949481720567 "3"
"163" "LR999944.1" 4000001 6000000 5 4.918 12933853 1.5920804 0.327038 "Autosome" "1" "rpt" 3720 442967 1.86 0.2214835 0.386582443762118 "2"
