"row.names" "chrom" "begin" "end" "count_rpt" "length_rpt" "count_SINE" "length_SINE" "count_DNA" "length_DNA" "count_TcM" "length_TcM" "count_LINE" "length_LINE" "count_LTR" "length_LTR" "count_nonLTR" "length_nonLTR" "count_simple" "length_simple" "count_gene" "length_gene" "count_gene_ex" "length_gene_ex" "chr_type" "gene_ex_bin"
"25" "24" "LR999924.1" 2400000 2500000 176 20284 32 5421 11 1460 0 0 11 1372 1 32 14 3048 25 1052 0 0 0 0 "Z" "0"
"26" "25" "LR999924.1" 2500000 2600000 131 13982 22 3753 8 450 0 0 4 349 1 134 18 2990 30 1279 7 23013 0 0 "Z" "0"
"27" "26" "LR999924.1" 2600000 2700000 146 16023 24 4580 7 548 1 87 10 1630 1 14 18 2514 30 1191 2 8645 0 0 "Z" "0"
"28" "27" "LR999924.1" 2700000 2800000 184 22757 31 5678 7 1048 0 0 13 5549 3 232 18 2058 38 1498 2 11919 0 0 "Z" "0"
"29" "28" "LR999924.1" 2800000 2900000 169 23130 31 5227 10 780 0 0 13 2844 4 4786 15 2128 35 1285 1 104 0 0 "Z" "0"
"30" "29" "LR999924.1" 2900000 3e+06 154 21973 21 3950 5 401 0 0 13 4119 5 3783 19 3079 33 1417 0 0 0 0 "Z" "0"
"31" "30" "LR999924.1" 3e+06 3100000 152 22520 37 5563 5 3729 0 0 7 949 0 0 9 4922 30 1361 0 0 0 0 "Z" "0"
"32" "31" "LR999924.1" 3100000 3200000 161 23427 26 5092 13 2674 1 152 9 4389 2 151 14 1643 29 1181 1 203 0 0 "Z" "0"
"33" "32" "LR999924.1" 3200000 3300000 171 17833 40 7204 14 1487 1 72 13 1850 2 141 9 1054 37 1552 2 14879 0 0 "Z" "0"
"34" "33" "LR999924.1" 3300000 3400000 150 19642 21 3882 9 1884 1 161 10 3483 0 0 12 2118 29 1286 4 30817 0 0 "Z" "0"
"35" "34" "LR999924.1" 3400000 3500000 184 28289 32 5627 14 2127 0 0 15 6533 3 207 16 4511 32 1388 0 0 0 0 "Z" "0"
"36" "35" "LR999924.1" 3500000 3600000 169 20565 26 5023 19 3164 0 0 7 772 1 40 18 2749 29 1201 1 5582 0 0 "Z" "0"
"37" "36" "LR999924.1" 3600000 3700000 146 15760 28 5171 16 1910 3 569 7 723 3 291 13 1788 30 1109 7 37313 0 0 "Z" "0"
"38" "37" "LR999924.1" 3700000 3800000 149 23372 21 4229 6 864 0 0 14 6352 1 47 19 6383 47 1858 0 0 0 0 "Z" "0"
"39" "38" "LR999924.1" 3800000 3900000 165 21813 32 5927 14 2723 0 0 4 1221 1 116 13 2034 34 1657 0 0 0 0 "Z" "0"
"40" "39" "LR999924.1" 3900000 4e+06 158 20280 29 5073 15 2532 0 0 8 1749 0 0 16 3589 26 1023 3 21032 0 0 "Z" "0"
"41" "40" "LR999924.1" 4e+06 4100000 149 20850 24 4866 11 3344 2 1139 3 304 0 0 10 4133 40 1838 6 30581 0 0 "Z" "0"
"42" "41" "LR999924.1" 4100000 4200000 135 14449 26 4299 9 914 0 0 7 808 0 0 11 1417 36 1534 4 14380 0 0 "Z" "0"
"43" "42" "LR999924.1" 4200000 4300000 169 22846 26 4745 13 7021 0 0 7 1000 2 159 3 319 33 1403 3 15343 0 0 "Z" "0"
"44" "43" "LR999924.1" 4300000 4400000 201 23798 33 6089 14 2829 0 0 12 1474 1 88 14 2003 39 1461 1 866 1 4667 "Z" "1"
"45" "44" "LR999924.1" 4400000 4500000 138 13659 22 3388 4 211 1 56 3 383 9 979 19 1996 28 1163 1 8231 0 0 "Z" "0"
"46" "45" "LR999924.1" 4500000 4600000 115 11620 21 4229 11 1347 2 404 1 168 0 0 11 1519 28 1111 4 11665 0 0 "Z" "0"
"47" "46" "LR999924.1" 4600000 4700000 102 15108 19 4139 9 3233 2 359 4 954 3 344 11 2287 25 1113 2 24545 0 0 "Z" "0"
"48" "47" "LR999924.1" 4700000 4800000 155 17404 20 4171 8 358 0 0 11 2620 1 68 9 1427 35 1457 4 19896 0 0 "Z" "0"
"49" "48" "LR999924.1" 4800000 4900000 161 22414 24 5053 14 1867 1 96 20 4024 3 185 11 4430 34 1356 2 7286 0 0 "Z" "0"
"50" "49" "LR999924.1" 4900000 5e+06 165 18205 33 6260 8 541 1 48 7 1215 0 0 14 2231 29 1146 0 0 0 0 "Z" "0"
"51" "50" "LR999924.1" 5e+06 5100000 167 19354 31 4616 20 1935 0 0 5 808 4 2715 7 1063 38 1604 1 1577 0 0 "Z" "0"
"52" "51" "LR999924.1" 5100000 5200000 121 18198 15 3332 16 4500 0 0 1 287 2 165 14 3420 28 1438 4 17603 0 0 "Z" "0"
"53" "52" "LR999924.1" 5200000 5300000 106 17275 12 2806 9 1884 2 264 4 3635 2 118 5 3630 38 1462 5 8158 0 0 "Z" "0"
"54" "53" "LR999924.1" 5300000 5400000 134 13959 32 6599 4 270 0 0 3 341 0 0 11 1272 51 2190 1 614 0 0 "Z" "0"
"55" "54" "LR999924.1" 5400000 5500000 128 13387 27 5241 8 794 0 0 9 990 0 0 7 1185 30 1155 1 15144 0 0 "Z" "0"
"56" "55" "LR999924.1" 5500000 5600000 137 18395 11 2700 11 821 1 103 7 2400 2 197 18 5535 38 1536 5 26306 0 0 "Z" "0"
"57" "56" "LR999924.1" 5600000 5700000 129 16337 21 3254 4 937 0 0 13 3256 1 85 10 3235 36 1503 1 1723 0 0 "Z" "0"
"58" "57" "LR999924.1" 5700000 5800000 111 9804 19 4063 5 436 1 96 3 409 3 117 7 869 36 1321 1 878 0 0 "Z" "0"
"59" "58" "LR999924.1" 5800000 5900000 148 18784 19 3123 16 4754 1 509 9 996 2 147 14 3247 46 1999 3 12974 0 0 "Z" "0"
"60" "59" "LR999924.1" 5900000 6e+06 94 15691 15 3387 3 408 0 0 3 1189 10 4618 7 1763 22 914 2 3726 0 0 "Z" "0"
"61" "60" "LR999924.1" 6e+06 6100000 116 11447 14 2186 16 2650 1 125 5 567 0 0 12 1787 32 1411 9 40555 0 0 "Z" "0"
"62" "61" "LR999924.1" 6100000 6200000 78 11452 10 2691 6 2757 0 0 5 688 4 2191 4 594 30 1368 5 10552 0 0 "Z" "0"
"63" "62" "LR999924.1" 6200000 6300000 110 11278 13 2757 15 1582 1 94 1 69 1 99 10 2099 36 1501 2 7537 0 0 "Z" "0"
"64" "63" "LR999924.1" 6300000 6400000 134 14876 23 4775 15 2156 0 0 9 1402 2 100 3 407 44 1883 3 9695 0 0 "Z" "0"
"65" "64" "LR999924.1" 6400000 6500000 131 17267 24 4720 13 2075 1 403 6 586 1 73 10 2315 27 1105 2 9517 0 0 "Z" "0"
"66" "65" "LR999924.1" 6500000 6600000 144 26365 16 3149 28 9544 0 0 9 2640 4 414 16 5193 36 1377 2 6340 0 0 "Z" "0"
"67" "66" "LR999924.1" 6600000 6700000 157 19394 14 2446 19 3741 2 306 6 1605 3 1128 12 1924 35 1592 6 21759 0 0 "Z" "0"
"68" "67" "LR999924.1" 6700000 6800000 121 11753 13 2267 7 1653 0 0 4 559 2 76 2 286 38 1658 5 13262 0 0 "Z" "0"
"69" "68" "LR999924.1" 6800000 6900000 115 11568 17 3106 9 786 1 48 2 216 0 0 4 595 28 1091 0 0 0 0 "Z" "0"
"70" "69" "LR999924.1" 6900000 7e+06 102 13086 17 3446 10 2335 4 619 3 193 0 0 6 2751 35 1373 4 23872 0 0 "Z" "0"
"71" "70" "LR999924.1" 7e+06 7100000 157 18025 30 6263 16 1799 0 0 4 321 0 0 14 1523 22 903 9 33743 0 0 "Z" "0"
"72" "71" "LR999924.1" 7100000 7200000 104 11624 6 1017 4 229 1 59 8 1022 2 144 6 2411 36 1625 4 18813 0 0 "Z" "0"
"73" "72" "LR999924.1" 7200000 7300000 142 14377 19 3459 14 1515 2 346 3 640 1 44 15 1582 37 1539 1 810 2 7199 "Z" "1"
"74" "73" "LR999924.1" 7300000 7400000 113 11293 18 3180 7 1624 0 0 8 961 2 131 8 533 34 1447 6 23272 0 0 "Z" "0"
"75" "74" "LR999924.1" 7400000 7500000 123 20431 28 5760 8 1433 0 0 6 834 4 3048 15 4729 26 997 1 4057 0 0 "Z" "0"
"76" "75" "LR999924.1" 7500000 7600000 132 20448 19 3795 15 2249 2 150 15 4971 0 0 6 2967 24 989 0 0 0 0 "Z" "0"
"77" "76" "LR999924.1" 7600000 7700000 141 15628 18 3479 7 885 0 0 7 1292 0 0 12 1965 33 1345 2 6855 0 0 "Z" "0"
"78" "77" "LR999924.1" 7700000 7800000 137 13987 21 3705 13 1683 1 42 9 862 1 107 11 2549 39 1583 0 0 0 0 "Z" "0"
"79" "78" "LR999924.1" 7800000 7900000 148 15034 17 2817 12 1134 0 0 4 1670 0 0 7 1081 49 1838 5 19454 0 0 "Z" "0"
"80" "79" "LR999924.1" 7900000 8e+06 106 15911 13 2159 5 436 0 0 5 544 0 0 15 5657 26 1122 2 11364 0 0 "Z" "0"
"81" "80" "LR999924.1" 8e+06 8100000 97 9836 20 4057 4 518 0 0 6 753 0 0 7 628 38 1511 1 4987 1 1047 "Z" "1"
"82" "81" "LR999924.1" 8100000 8200000 88 7887 11 1358 2 251 0 0 1 56 1 75 8 946 31 1277 1 836 0 0 "Z" "0"
"83" "82" "LR999924.1" 8200000 8300000 109 14809 12 2645 9 643 0 0 11 2454 1 76 8 3564 30 1297 10 21924 0 0 "Z" "0"
"84" "83" "LR999924.1" 8300000 8400000 102 11252 13 2150 11 1104 0 0 1 172 1 92 7 1742 29 1305 6 42512 0 0 "Z" "0"
"85" "84" "LR999924.1" 8400000 8500000 106 9675 8 1793 8 842 0 0 6 749 2 105 4 559 43 1898 9 47728 0 0 "Z" "0"
"86" "85" "LR999924.1" 8500000 8600000 120 12709 23 4256 17 1564 1 105 5 901 1 128 9 1111 23 789 4 25685 0 0 "Z" "0"
"87" "86" "LR999924.1" 8600000 8700000 108 9072 8 1858 8 615 0 0 1 128 1 49 3 465 49 2109 4 17484 0 0 "Z" "0"
"88" "87" "LR999924.1" 8700000 8800000 162 21246 23 4608 10 1079 2 565 11 1981 0 0 16 5244 35 1456 3 7462 0 0 "Z" "0"
"89" "88" "LR999924.1" 8800000 8900000 142 16522 28 4381 11 2570 1 1586 9 1057 1 68 9 1400 25 996 2 14571 0 0 "Z" "0"
"90" "89" "LR999924.1" 8900000 9e+06 123 12791 27 5338 10 819 0 0 5 746 0 0 9 1093 27 1078 2 607 0 0 "Z" "0"
"91" "90" "LR999924.1" 9e+06 9100000 187 26932 30 5257 20 2799 0 0 10 1718 4 5447 15 2379 39 1395 1 5359 0 0 "Z" "0"
"92" "91" "LR999924.1" 9100000 9200000 186 31418 29 5117 12 2633 0 0 18 9032 1 149 23 5535 35 1532 0 0 0 0 "Z" "0"
"93" "92" "LR999924.1" 9200000 9300000 207 23934 38 6346 18 1503 1 37 10 1527 2 100 15 2668 39 1692 2 21684 0 0 "Z" "0"
"94" "93" "LR999924.1" 9300000 9400000 128 16361 14 2351 15 1480 0 0 4 1540 1 78 5 2871 28 1076 6 22712 0 0 "Z" "0"
"95" "94" "LR999924.1" 9400000 9500000 161 15796 28 5131 8 708 0 0 7 460 2 175 14 1713 35 1583 6 24944 0 0 "Z" "0"
"96" "95" "LR999924.1" 9500000 9600000 177 18433 18 3410 17 1598 0 0 6 806 1 125 9 1338 29 1233 0 0 0 0 "Z" "0"
"97" "96" "LR999924.1" 9600000 9700000 158 16967 45 6807 8 1076 0 0 8 1198 0 0 24 2897 34 1135 2 33028 0 0 "Z" "0"
"98" "97" "LR999924.1" 9700000 9800000 104 9476 10 2634 5 424 0 0 1 186 0 0 5 918 38 1563 3 22413 0 0 "Z" "0"
"99" "98" "LR999924.1" 9800000 9900000 145 13505 11 1713 8 346 0 0 5 448 2 560 8 1798 40 1731 1 2947 0 0 "Z" "0"
"100" "99" "LR999924.1" 9900000 1e+07 85 14823 4 629 8 885 0 0 3 322 1 161 6 8834 36 1415 4 29424 0 0 "Z" "0"
"101" "100" "LR999924.1" 1e+07 10100000 167 16355 24 3570 8 708 0 0 8 1150 3 141 9 1499 42 1820 1 1874 0 0 "Z" "0"
"102" "101" "LR999924.1" 10100000 10200000 179 24055 26 4330 12 1499 3 733 7 960 2 184 26 6894 31 1240 0 0 0 0 "Z" "0"
"103" "102" "LR999924.1" 10200000 10300000 143 26467 12 3094 5 1298 1 624 17 5644 1 64 20 9462 37 1655 0 0 0 0 "Z" "0"
"104" "103" "LR999924.1" 10300000 10400000 100 14269 10 2000 7 1649 0 0 3 349 3 3872 5 2192 45 2067 0 0 0 0 "Z" "0"
"105" "104" "LR999924.1" 10400000 10500000 160 23199 12 2585 15 1147 0 0 7 1213 1 42 20 8409 38 1552 4 19500 0 0 "Z" "0"
"106" "105" "LR999924.1" 10500000 10600000 85 7600 6 1213 4 310 0 0 0 0 1 36 10 1910 38 1813 3 34314 0 0 "Z" "0"
"107" "106" "LR999924.1" 10600000 10700000 117 13131 14 2378 8 1091 0 0 6 738 3 895 14 1940 34 1478 3 32454 0 0 "Z" "0"
"108" "107" "LR999924.1" 10700000 10800000 116 10904 11 1995 14 2301 1 59 2 244 1 66 5 610 40 1624 4 18992 0 0 "Z" "0"
"109" "108" "LR999924.1" 10800000 10900000 77 8033 7 1524 9 1846 0 0 1 240 0 0 2 100 29 1196 10 28047 0 0 "Z" "0"
"110" "109" "LR999924.1" 10900000 1.1e+07 128 12255 14 2618 17 1971 3 366 6 872 1 35 10 924 34 1353 8 21351 0 0 "Z" "0"
"111" "110" "LR999924.1" 1.1e+07 11100000 129 15961 9 2031 13 1404 2 342 14 1801 3 3122 12 1692 38 1631 5 23588 0 0 "Z" "0"
"112" "111" "LR999924.1" 11100000 11200000 106 11362 17 2828 9 2101 3 524 11 1529 0 0 2 151 26 1029 3 9187 0 0 "Z" "0"
"113" "112" "LR999924.1" 11200000 11300000 133 17024 24 4241 11 2295 2 191 8 1184 3 281 16 4260 34 1377 2 3290 0 0 "Z" "0"
"114" "113" "LR999924.1" 11300000 11400000 139 16887 16 3128 7 2192 1 139 12 2026 0 0 6 608 35 1294 4 11632 0 0 "Z" "0"
"115" "114" "LR999924.1" 11400000 11500000 94 9898 16 2312 0 0 0 0 5 470 3 2378 6 791 35 1612 3 19708 0 0 "Z" "0"
"116" "115" "LR999924.1" 11500000 11600000 157 17525 27 5095 6 817 1 369 4 483 1 144 16 2638 26 1031 0 0 0 0 "Z" "0"
"117" "116" "LR999924.1" 11600000 11700000 116 14757 12 2424 5 339 1 79 5 778 1 83 17 5919 41 1630 1 11125 0 0 "Z" "0"
"118" "117" "LR999924.1" 11700000 11800000 131 14153 16 3449 14 3345 0 0 6 726 3 205 4 673 46 2077 5 43365 0 0 "Z" "0"
"119" "118" "LR999924.1" 11800000 11900000 146 19629 17 3323 12 1995 0 0 12 1444 1 88 13 4039 26 1149 0 0 0 0 "Z" "0"
"120" "119" "LR999924.1" 11900000 1.2e+07 117 14650 9 1835 9 1676 2 637 10 1784 3 288 7 1728 38 1718 3 5314 0 0 "Z" "0"
"121" "120" "LR999924.1" 1.2e+07 12100000 124 14771 6 744 15 3500 0 0 5 1853 0 0 9 2591 38 1598 0 0 0 0 "Z" "0"
"122" "121" "LR999924.1" 12100000 12200000 84 7910 9 1059 9 1252 0 0 5 664 1 103 6 1758 32 1432 2 4083 0 0 "Z" "0"
"123" "122" "LR999924.1" 12200000 12300000 99 12584 18 3686 3 358 0 0 4 425 6 3767 3 371 39 1695 1 1506 0 0 "Z" "0"
"124" "123" "LR999924.1" 12300000 12400000 167 18552 24 3645 14 2355 1 39 10 1391 0 0 13 1931 34 1382 0 0 0 0 "Z" "0"
"125" "124" "LR999924.1" 12400000 12500000 102 8440 9 1699 5 511 0 0 4 452 0 0 5 339 37 1562 4 37556 0 0 "Z" "0"
"126" "125" "LR999924.1" 12500000 12600000 101 13811 10 1691 8 1026 2 570 3 474 0 0 9 3586 31 1397 7 36505 0 0 "Z" "0"
"127" "126" "LR999924.1" 12600000 12700000 101 13570 10 1996 6 360 0 0 4 668 2 4238 8 1416 37 1603 3 21573 0 0 "Z" "0"
"128" "127" "LR999924.1" 12700000 12800000 92 9360 13 2455 4 531 0 0 3 1114 1 42 7 577 28 1255 5 38838 0 0 "Z" "0"
"129" "128" "LR999924.1" 12800000 12900000 147 17033 29 5791 8 1950 1 1068 3 474 2 238 8 1067 40 1543 4 33462 0 0 "Z" "0"
"130" "129" "LR999924.1" 12900000 1.3e+07 114 12744 20 3368 8 1117 0 0 6 792 3 176 8 1874 31 1206 1 7083 0 0 "Z" "0"
"131" "130" "LR999924.1" 1.3e+07 13100000 117 12351 18 2979 7 1114 0 0 9 1558 1 27 4 754 36 1493 0 0 0 0 "Z" "0"
"132" "131" "LR999924.1" 13100000 13200000 134 20204 15 2725 5 624 0 0 10 3235 1 194 13 6443 39 1768 0 0 0 0 "Z" "0"
"133" "132" "LR999924.1" 13200000 13300000 140 15225 18 2902 16 3415 0 0 2 328 2 287 16 1359 39 1566 0 0 0 0 "Z" "0"
"134" "133" "LR999924.1" 13300000 13400000 152 20845 13 1741 20 2585 0 0 4 2904 2 149 26 6653 34 1306 3 9151 0 0 "Z" "0"
"135" "134" "LR999924.1" 13400000 13500000 157 17156 24 3998 13 2232 0 0 9 2062 1 141 12 1213 41 1682 1 22823 0 0 "Z" "0"
"136" "135" "LR999924.1" 13500000 13600000 127 11827 21 4050 8 559 0 0 7 587 1 69 10 1327 29 1075 1 6979 1 2516 "Z" "1"
"137" "136" "LR999924.1" 13600000 13700000 82 9535 6 1340 3 214 0 0 3 335 4 2728 1 265 28 1248 0 0 0 0 "Z" "0"
"138" "137" "LR999924.1" 13700000 13800000 96 8429 6 1196 3 276 0 0 5 669 0 0 4 456 46 1873 2 3009 0 0 "Z" "0"
"139" "138" "LR999924.1" 13800000 13900000 131 13724 22 3915 5 465 0 0 3 463 0 0 7 1299 35 1569 3 7379 2 12483 "Z" "1"
"140" "139" "LR999924.1" 13900000 1.4e+07 125 15638 23 3595 9 724 0 0 11 2280 0 0 14 3820 29 1149 0 0 0 0 "Z" "0"
"141" "140" "LR999924.1" 1.4e+07 14100000 106 13222 8 1565 7 2135 0 0 5 545 1 100 14 3535 23 908 1 3640 0 0 "Z" "0"
"142" "141" "LR999924.1" 14100000 14200000 149 18054 17 2154 18 3579 0 0 7 1073 2 143 13 2273 31 1318 1 3245 0 0 "Z" "0"
"143" "142" "LR999924.1" 14200000 14300000 107 13954 18 3331 4 349 0 0 4 601 3 111 7 2061 27 1284 3 13988 0 0 "Z" "0"
"144" "143" "LR999924.1" 14300000 14400000 109 10456 21 3639 12 675 1 57 6 1208 1 80 4 907 35 1403 2 8205 0 0 "Z" "0"
"145" "144" "LR999924.1" 14400000 14500000 115 12524 16 3361 11 2119 2 157 1 208 2 139 6 534 34 1523 0 0 0 0 "Z" "0"
"146" "145" "LR999924.1" 14500000 14600000 132 17278 25 4137 8 724 0 0 7 3416 0 0 14 3806 38 1555 2 7037 0 0 "Z" "0"
"147" "146" "LR999924.1" 14600000 14700000 138 14047 30 4818 11 1306 0 0 8 1310 1 109 14 1284 25 1103 1 10923 0 0 "Z" "0"
"148" "147" "LR999924.1" 14700000 14800000 112 16693 17 2750 14 3483 0 0 8 3109 1 56 7 2927 34 1567 5 24697 0 0 "Z" "0"
"149" "148" "LR999924.1" 14800000 14900000 105 11683 19 3988 12 1468 3 343 5 1091 1 84 5 499 29 1310 2 8018 0 0 "Z" "0"
"150" "149" "LR999924.1" 14900000 1.5e+07 75 10026 14 2727 2 842 0 0 3 225 1 141 10 3530 30 1186 2 10957 0 0 "Z" "0"
"151" "150" "LR999924.1" 1.5e+07 15100000 116 15152 15 3196 8 2207 1 1580 5 1700 2 188 16 2099 29 1209 6 25394 0 0 "Z" "0"
"152" "151" "LR999924.1" 15100000 15200000 109 15584 20 3608 10 2691 0 0 7 1215 0 0 11 4015 30 1248 4 20469 0 0 "Z" "0"
"153" "152" "LR999924.1" 15200000 15300000 126 15532 27 5310 6 628 0 0 5 1776 2 86 13 2713 35 1413 6 36336 0 0 "Z" "0"
"154" "153" "LR999924.1" 15300000 15400000 142 17052 8 1541 16 3121 0 0 5 1524 5 496 14 3227 42 1710 5 30267 0 0 "Z" "0"
"155" "154" "LR999924.1" 15400000 15500000 131 22382 28 4661 18 2385 0 0 4 305 5 2744 13 7554 30 1252 5 27711 1 314 "Z" "1"
"156" "155" "LR999924.1" 15500000 15600000 108 12626 18 3009 5 1028 1 555 2 200 0 0 14 2756 31 1338 3 25765 0 0 "Z" "0"
"157" "156" "LR999924.1" 15600000 15700000 122 16616 19 3355 4 300 1 76 9 4077 0 0 20 4478 32 1241 1 1508 0 0 "Z" "0"
"158" "157" "LR999924.1" 15700000 15800000 117 11616 14 2827 8 1061 0 0 9 1039 0 0 11 1930 40 1725 7 44992 0 0 "Z" "0"
"159" "158" "LR999924.1" 15800000 15900000 124 16083 23 3498 5 1655 0 0 4 869 6 3392 12 1451 36 1680 1 7106 0 0 "Z" "0"
"160" "159" "LR999924.1" 15900000 1.6e+07 183 23949 35 6942 10 763 0 0 14 2880 2 1471 21 5896 37 1582 2 2487 0 0 "Z" "0"
"161" "160" "LR999924.1" 1.6e+07 16100000 145 14963 24 4969 12 1103 0 0 7 1456 0 0 12 1435 40 1686 1 764 0 0 "Z" "0"
"162" "161" "LR999924.1" 16100000 16200000 160 16548 27 4634 4 330 0 0 8 2248 5 303 14 1437 33 1443 0 0 0 0 "Z" "0"
"163" "162" "LR999924.1" 16200000 16300000 134 14563 19 3402 13 1346 0 0 7 1793 0 0 11 1905 39 1522 6 43173 0 0 "Z" "0"
"164" "163" "LR999924.1" 16300000 16400000 194 26469 33 6828 14 2290 2 723 8 1427 1 80 24 6735 31 1363 1 9461 0 0 "Z" "0"
"165" "164" "LR999924.1" 16400000 16500000 127 16185 29 5967 4 584 1 315 5 896 2 137 19 3224 20 789 1 15479 0 0 "Z" "0"
"166" "165" "LR999924.1" 16500000 16600000 122 16654 18 2990 12 2496 1 297 1 160 1 49 10 4921 32 1247 1 4413 0 0 "Z" "0"
"167" "166" "LR999924.1" 16600000 16700000 120 18342 23 4095 5 1837 0 0 9 1084 2 138 14 5566 20 747 4 13031 0 0 "Z" "0"
"168" "167" "LR999924.1" 16700000 16800000 98 10182 11 1582 10 1445 0 0 1 189 1 624 11 1968 33 1193 0 0 0 0 "Z" "0"
"169" "168" "LR999924.1" 16800000 16900000 81 11760 12 2517 6 723 0 0 1 414 0 0 12 4352 18 533 1 7402 0 0 "Z" "0"
"170" "169" "LR999924.1" 16900000 1.7e+07 51 6572 3 842 7 2467 0 0 1 737 1 41 5 637 26 1162 5 28169 0 0 "Z" "0"
"171" "170" "LR999924.1" 1.7e+07 17040296 34 3275 0 0 3 515 0 0 1 68 2 141 1 584 14 659 4 12093 0 0 "Z" "0"
"172" "0" "LR999925.1" 1 1e+05 125 20744 8 1099 11 1791 3 1028 3 1277 5 3850 20 5765 36 1409 2 3030 0 0 "Autosome" "0"
"173" "1" "LR999925.1" 100001 2e+05 147 34543 11 1914 7 2029 2 1584 12 10722 9 4670 16 7198 31 1419 0 0 2 9285 "Autosome" "1"
"174" "2" "LR999925.1" 200001 3e+05 182 32161 27 5176 11 880 0 0 15 3891 4 3793 24 10231 32 1358 0 0 1 314 "Autosome" "1"
"175" "3" "LR999925.1" 300001 4e+05 169 28686 39 6329 13 5419 0 0 12 3207 4 413 24 6529 23 805 1 140 0 0 "Autosome" "0"
"176" "4" "LR999925.1" 400001 5e+05 191 21704 40 7128 12 1672 3 229 13 1416 2 131 26 3179 35 1515 1 3480 0 0 "Autosome" "0"
