LR999932.1 4000001 6000000 1066715
LR999932.1 6000001 8000000 1272015
LR999932.1 8000001 10000000 937744
LR999932.1 10000001 12000000 777030
LR999932.1 12000001 14000000 959714
LR999932.1 14000001 15426761 922794
chrom begin end CDS_length
LR999933.1 1 2000000 1010248
LR999933.1 2000001 4000000 624393
LR999933.1 4000001 6000000 841095
LR999933.1 6000001 8000000 1187184
LR999933.1 8000001 10000000 869426
LR999933.1 10000001 12000000 1349776
LR999933.1 12000001 14000000 735693
LR999933.1 14000001 15296561 476282
chrom begin end CDS_length
LR999934.1 1 2000000 1031734
LR999934.1 2000001 4000000 576523
LR999934.1 4000001 6000000 640141
LR999934.1 6000001 8000000 1422289
LR999934.1 8000001 10000000 1582105
LR999934.1 10000001 12000000 1990507
LR999934.1 12000001 14000000 1923057
LR999934.1 14000001 14945938 1079798
chrom begin end CDS_length
LR999935.1 1 2000000 1628190
LR999935.1 2000001 4000000 1317034
LR999935.1 4000001 6000000 540376
LR999935.1 6000001 8000000 1570051
LR999935.1 8000001 10000000 870809
LR999935.1 10000001 12000000 1088912
LR999935.1 12000001 14000000 1107301
LR999935.1 14000001 14868897 122300
chrom begin end CDS_length
LR999936.1 1 2000000 1752151
LR999936.1 2000001 4000000 1479500
LR999936.1 4000001 6000000 2013996
LR999936.1 6000001 8000000 588123
LR999936.1 8000001 10000000 1133586
LR999936.1 10000001 12000000 967508
LR999936.1 12000001 14000000 1347342
LR999936.1 14000001 14774369 113338
chrom begin end CDS_length
LR999937.1 1 2000000 966105
LR999937.1 2000001 4000000 662581
LR999937.1 4000001 6000000 1277357
LR999937.1 6000001 8000000 966995
LR999937.1 8000001 10000000 549673
LR999937.1 10000001 12000000 974931
LR999937.1 12000001 14000000 749712
LR999937.1 14000001 14615999 251418
chrom begin end CDS_length
LR999938.1 1 2000000 566773
LR999938.1 2000001 4000000 1650134
LR999938.1 4000001 6000000 485951
LR999938.1 6000001 8000000 475470
LR999938.1 8000001 10000000 788493
LR999938.1 10000001 12000000 870808
LR999938.1 12000001 14000000 1478545
LR999938.1 14000001 14605406 657063
chrom begin end CDS_length
LR999939.1 1 2000000 888899
LR999939.1 2000001 4000000 400028
LR999939.1 4000001 6000000 671434
LR999939.1 6000001 8000000 945507
LR999939.1 8000001 10000000 757796
LR999939.1 10000001 12000000 1355194
LR999939.1 12000001 13916383 1305004
chrom begin end CDS_length
LR999940.1 1 2000000 614803
LR999940.1 2000001 4000000 719896
LR999940.1 4000001 6000000 576166
LR999940.1 6000001 8000000 296419
LR999940.1 8000001 10000000 359187
LR999940.1 10000001 12000000 482429
LR999940.1 12000001 13819298 595803
chrom begin end CDS_length
LR999941.1 1 2000000 670681
LR999941.1 2000001 4000000 918247
LR999941.1 4000001 6000000 611711
LR999941.1 6000001 8000000 1481944
LR999941.1 8000001 10000000 1197984
LR999941.1 10000001 12000000 884264
LR999941.1 12000001 13774036 793801
chrom begin end CDS_length
LR999942.1 1 2000000 1331651
LR999942.1 2000001 4000000 1386829
LR999942.1 4000001 6000000 1027040
LR999942.1 6000001 8000000 855236
LR999942.1 8000001 10000000 848069
LR999942.1 10000001 12000000 1624894
LR999942.1 12000001 13550656 687887
chrom begin end CDS_length
LR999943.1 1 2000000 1459643
LR999943.1 2000001 4000000 1540172
LR999943.1 4000001 6000000 1300321
LR999943.1 6000001 8000000 1093488
LR999943.1 8000001 10000000 1370318
LR999943.1 10000001 12000000 1074906
LR999943.1 12000001 13236624 335173
chrom begin end CDS_length
LR999944.1 1 2000000 675030
LR999944.1 2000001 4000000 988007
LR999944.1 4000001 6000000 883961
LR999944.1 6000001 8000000 944679
LR999944.1 8000001 10000000 960818
LR999944.1 10000001 12000000 686923
LR999944.1 12000001 12933853 492101
chrom begin end CDS_length
LR999945.1 1 2000000 1892174
LR999945.1 2000001 4000000 1447281
LR999945.1 4000001 6000000 1762181
LR999945.1 6000001 8000000 1284734
LR999945.1 8000001 10000000 1116899
LR999945.1 10000001 12000000 694035
LR999945.1 12000001 12861081 233538
chrom begin end CDS_length
LR999946.1 1 2000000 917025
LR999946.1 2000001 4000000 1071318
LR999946.1 4000001 6000000 1021386
LR999946.1 6000001 8000000 1401716
LR999946.1 8000001 10000000 824790
LR999946.1 10000001 12000000 1097641
LR999946.1 12000001 12594674 542761
chrom begin end CDS_length
LR999947.1 1 2000000 1249494
LR999947.1 2000001 4000000 1552226
LR999947.1 4000001 6000000 1107465
LR999947.1 6000001 8000000 843538
LR999947.1 8000001 10000000 1338670
LR999947.1 10000001 11704087 1404730
chrom begin end CDS_length
LR999948.1 1 2000000 571978
LR999948.1 2000001 4000000 1309348
LR999948.1 4000001 6000000 859879
LR999948.1 6000001 8000000 1040931
LR999948.1 8000001 10000000 968051
LR999948.1 10000001 11326783 800250
chrom begin end CDS_length
LR999949.1 1 2000000 1440358
LR999949.1 2000001 4000000 948242
LR999949.1 4000001 6000000 1253392
LR999949.1 6000001 8000000 1340119
LR999949.1 8000001 10000000 1589188
LR999949.1 10000001 11199261 1047026
chrom begin end CDS_length
LR999950.1 1 2000000 1485311
LR999950.1 2000001 4000000 754428
LR999950.1 4000001 6000000 461425
LR999950.1 6000001 8000000 723304
LR999950.1 8000001 9960137 1094857
chrom begin end CDS_length
LR999951.1 1 2000000 955895
LR999951.1 2000001 4000000 1122597
LR999951.1 4000001 6000000 619682
LR999951.1 6000001 8000000 1182959
LR999951.1 8000001 9839934 934472
chrom begin end CDS_length
LR999952.1 1 2000000 1666891
LR999952.1 2000001 4000000 1012383
LR999952.1 4000001 6000000 1690878
LR999952.1 6000001 8000000 1871905
LR999952.1 8000001 8262369 1344
chrom begin end CDS_length
LR999953.1 1 2000000 2067865
LR999953.1 2000001 4000000 986994
LR999953.1 4000001 6000000 1581977
LR999953.1 6000001 8000000 1710197
LR999953.1 8000001 8178468 28058
chrom begin end CDS_length
LR999954.1 1 2000000 1969685
LR999954.1 2000001 4000000 1998620
LR999954.1 4000001 6000000 943659
LR999954.1 6000001 7379297 1472368
chrom begin end CDS_length
LR999955.1 1 2000000 1998079
LR999955.1 2000001 4000000 1845857
LR999955.1 4000001 6000000 2056346
LR999955.1 6000001 6166334 
