"GO.ID" "Term" "Annotated" "Significant" "Expected" "weight01Fisher" "classicFisher" "p_adj" "GO_class" "genes"
"20" "GO:0005794" "Golgi apparatus" 798 8 3.23 0.01208 "0.01208" 1 "CC" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"21" "GO:0043235" "receptor complex" 122 3 0.49 0.0128 "0.01280" 1 "CC" "Vcard_DToL16758-RA,Vcard_DToL16764-RA,Vcard_DToL16765-RA"
"22" "GO:0030666" "endocytic vesicle membrane" 52 2 0.21 0.01852 "0.01852" 1 "CC" "Vcard_DToL16758-RA,Vcard_DToL16764-RA"
"23" "GO:1990851" "Wnt-Frizzled-LRP5/6 complex" 5 1 0.02 0.02006 "0.02006" 1 "CC" "Vcard_DToL16765-RA"
"24" "GO:0005811" "lipid droplet" 64 2 0.26 0.02732 "0.02732" 1 "CC" "Vcard_DToL02450-RA,Vcard_DToL02453-RA"
"25" "GO:0000220" "vacuolar proton-transporting V-type ATPase, V0 domain" 7 1 0.03 0.02797 "0.02797" 1 "CC" "Vcard_DToL07619-RA"
"26" "GO:1990909" "Wnt signalosome" 10 1 0.04 0.03972 "0.03972" 1 "CC" "Vcard_DToL16765-RA"
"27" "GO:0005769" "early endosome" 212 3 0.86 0.05318 "0.05318" 1 "CC" "Vcard_DToL07619-RA,Vcard_DToL16758-RA,Vcard_DToL16764-RA"
"28" "GO:0005739" "mitochondrion" 1056 8 4.27 0.05454 "0.05454" 1 "CC" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"29" "GO:0030136" "clathrin-coated vesicle" 97 2 0.39 0.05813 "0.05813" 1 "CC" "Vcard_DToL16758-RA,Vcard_DToL16764-RA"
"30" "GO:0016324" "apical plasma membrane" 242 3 0.98 0.0731 "0.07310" 1 "CC" "Vcard_DToL00546-RA,Vcard_DToL07113-RA,Vcard_DToL07619-RA"
"31" "GO:0034663" "endoplasmic reticulum chaperone complex" 19 1 0.08 0.07417 "0.07417" 1 "CC" "Vcard_DToL15663-RA"
"32" "GO:0005640" "nuclear outer membrane" 24 1 0.1 0.09278 "0.09278" 1 "CC" "Vcard_DToL15663-RA"
"33" "GO:0005788" "endoplasmic reticulum lumen" 129 2 0.52 0.09526 "0.09526" 1 "CC" "Vcard_DToL02450-RA,Vcard_DToL02453-RA"
"34" "GO:0070069" "cytochrome complex" 33 1 0.13 0.12537 "0.12537" 1 "CC" "Vcard_DToL15663-RA"
"35" "GO:0045178" "basal part of cell" 226 3 0.91 0.16087 "0.06210" 1 "CC" "Vcard_DToL06374-RA,Vcard_DToL16758-RA,Vcard_DToL16764-RA"
"36" "GO:0016323" "basolateral plasma membrane" 181 2 0.73 0.16559 "0.16559" 1 "CC" "Vcard_DToL16758-RA,Vcard_DToL16764-RA"
"37" "GO:0005604" "basement membrane" 63 1 0.25 0.22604 "0.22604" 1 "CC" "Vcard_DToL06374-RA"
"38" "GO:0098797" "plasma membrane protein complex" 259 3 1.05 0.26248 "0.08570" 1 "CC" "Vcard_DToL16758-RA,Vcard_DToL16764-RA,Vcard_DToL16765-RA"
"39" "GO:0048471" "perinuclear region of cytoplasm" 492 10 1.99 0.41163 "1.5e-05" 1 "CC" "Vcard_DToL16758-RA,Vcard_DToL16764-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"40" "GO:0008021" "synaptic vesicle" 165 1 0.67 0.49109 "0.49109" 1 "CC" "Vcard_DToL07619-RA"
"41" "GO:0016021" "integral component of membrane" 1371 6 5.54 0.50003 "0.48731" 1 "CC" "Vcard_DToL00546-RA,Vcard_DToL07113-RA,Vcard_DToL07619-RA,Vcard_DToL15663-RA,Vcard_DToL16758-RA,Vcard_DToL16764-RA"
"42" "GO:0005887" "integral component of plasma membrane" 715 3 2.89 0.56209 "0.56209" 1 "CC" "Vcard_DToL15663-RA,Vcard_DToL16758-RA,Vcard_DToL16764-RA"
"43" "GO:0009986" "cell surface" 260 1 1.05 0.65732 "0.65732" 1 "CC" "Vcard_DToL06374-RA"
"44" "GO:0032991" "protein-containing complex" 3271 15 13.22 0.71839 "0.32057" 1 "CC" "Vcard_DToL00546-RA,Vcard_DToL07113-RA,Vcard_DToL07619-RA,Vcard_DToL15663-RA,Vcard_DToL16758-RA,Vcard_DToL16764-RA,Vcard_DToL16765-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"45" "GO:0005829" "cytosol" 2816 10 11.38 0.75399 "0.75399" 1 "CC" "Vcard_DToL02450-RA,Vcard_DToL02453-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"46" "GO:0005789" "endoplasmic reticulum membrane" 510 1 2.06 0.88183 "0.88183" 1 "CC" "Vcard_DToL15663-RA"
"47" "GO:0005886" "plasma membrane" 2123 16 8.58 0.90154 "0.00427" 1 "CC" "Vcard_DToL00546-RA,Vcard_DToL06374-RA,Vcard_DToL07113-RA,Vcard_DToL07619-RA,Vcard_DToL15663-RA,Vcard_DToL16758-RA,Vcard_DToL16764-RA,Vcard_DToL16765-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"48" "GO:0005634" "nucleus" 3602 11 14.56 0.92263 "0.92721" 1 "CC" "Vcard_DToL15663-RA,Vcard_DToL16758-RA,Vcard_DToL16764-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"49" "GO:0070013" "intracellular organelle lumen" 3043 10 12.3 0.92371 "0.84645" 1 "CC" "Vcard_DToL02450-RA,Vcard_DToL02453-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"50" "GO:0031982" "vesicle" 1250 18 5.05 1 "1.7e-07" 1 "CC" "Vcard_DToL02728-RA,Vcard_DToL02734-RA,Vcard_DToL02737-RA,Vcard_DToL02738-RA,Vcard_DToL02740-RA,Vcard_DToL02742-RA,Vcard_DToL02744-RA,Vcard_DToL07619-RA,Vcard_DToL16758-RA,Vcard_DToL16764-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
