chrom begin end count_gene length_gene chrom begin end count_gene_ex length_gene_ex
LR999924.1 1 100000 0  LR999924.1 1 100000 0 
LR999924.1 7700001 7800000 0  LR999924.1 7700001 7800000 0 
LR999924.1 7800001 7900000 5 19454 LR999924.1 7800001 7900000 0 
LR999924.1 7900001 8000000 2 11364 LR999924.1 7900001 8000000 0 
LR999924.1 8000001 8100000 2 6034 LR999924.1 8000001 8100000 1 1047
LR999924.1 8100001 8200000 1 836 LR999924.1 8100001 8200000 0 
LR999924.1 8200001 8300000 10 21924 LR999924.1 8200001 8300000 0 
LR999924.1 8300001 8400000 6 42512 LR999924.1 8300001 8400000 0 
LR999924.1 8400001 8500000 9 47728 LR999924.1 8400001 8500000 0 
LR999924.1 8500001 8600000 4 25685 LR999924.1 8500001 8600000 0 
LR999924.1 8600001 8700000 4 17484 LR999924.1 8600001 8700000 0 
LR999924.1 8700001 8800000 3 7462 LR999924.1 8700001 8800000 0 
LR999924.1 8800001 8900000 2 14571 LR999924.1 8800001 8900000 0 
LR999924.1 8900001 9000000 2 607 LR999924.1 8900001 9000000 0 
LR999924.1 9000001 9100000 1 5359 LR999924.1 9000001 9100000 0 
LR999924.1 9100001 9200000 0  LR999924.1 9100001 9200000 0 
LR999924.1 9200001 9300000 2 21684 LR999924.1 9200001 9300000 0 
LR999924.1 9300001 9400000 6 22712 LR999924.1 9300001 9400000 0 
LR999924.1 9400001 9500000 6 24944 LR999924.1 9400001 9500000 0 
LR999924.1 9500001 9600000 0  LR999924.1 9500001 9600000 0 
LR999924.1 9600001 9700000 2 33028 LR999924.1 9600001 9700000 0 
LR999924.1 9700001 9800000 3 22413 LR999924.1 9700001 9800000 0 
LR999924.1 9800001 9900000 1 2947 LR999924.1 9800001 9900000 0 
LR999924.1 9900001 10000000 4 29424 LR999924.1 9900001 10000000 0 
LR999924.1 10000001 10100000 1 1874 LR999924.1 10000001 10100000 0 
LR999924.1 10100001 10200000 0  LR999924.1 10100001 10200000 0 
LR999924.1 10200001 10300000 0  LR999924.1 10200001 10300000 0 
LR999924.1 10300001 10400000 0  LR999924.1 10300001 10400000 0 
LR999924.1 10400001 10500000 4 19500 LR999924.1 10400001 10500000 0 
LR999924.1 10500001 10600000 3 34314 LR999924.1 10500001 10600000 0 
LR999924.1 10600001 10700000 3 32454 LR999924.1 10600001 10700000 0 
LR999924.1 10700001 10800000 4 18992 LR999924.1 10700001 10800000 0 
LR999924.1 10800001 10900000 10 28047 LR999924.1 10800001 10900000 0 
LR999924.1 10900001 11000000 8 21351 LR999924.1 10900001 11000000 0 
LR999924.1 11000001 11100000 5 23588 LR999924.1 11000001 11100000 0 
LR999924.1 11100001 11200000 3 9187 LR999924.1 11100001 11200000 0 
LR999924.1 11200001 11300000 2 3290 LR999924.1 11200001 11300000 0 
LR999924.1 11300001 11400000 4 11632 LR999924.1 11300001 11400000 0 
LR999924.1 11400001 11500000 3 19708 LR999924.1 11400001 11500000 0 
LR999924.1 11500001 11600000 0  LR999924.1 11500001 11600000 0 
LR999924.1 11600001 11700000 1 11125 LR999924.1 11600001 11700000 0 
LR999924.1 11700001 11800000 5 43365 LR999924.1 11700001 11800000 0 
LR999924.1 11800001 11900000 0  LR999924.1 11800001 11900000 0 
LR999924.1 11900001 12000000 3 5314 LR999924.1 11900001 12000000 0 
LR999924.1 12000001 12100000 0  LR999924.1 12000001 12100000 0 
LR999924.1 12100001 12200000 2 4083 LR999924.1 12100001 12200000 0 
LR999924.1 12200001 12300000 1 1506 LR999924.1 12200001 12300000 0 
LR999924.1 12300001 12400000 0  LR999924.1 12300001 12400000 0 
LR999924.1 12400001 12500000 4 37556 LR999924.1 12400001 12500000 0 
LR999924.1 12500001 12600000 7 36505 LR999924.1 12500001 12600000 0 
LR999924.1 12600001 12700000 3 21573 LR999924.1 12600001 12700000 0 
LR999924.1 12700001 12800000 5 38838 LR999924.1 12700001 12800000 0 
LR999924.1 12800001 12900000 4 33462 LR999924.1 12800001 12900000 0 
LR999924.1 12900001 13000000 1 7083 LR999924.1 12900001 13000000 0 
LR999924.1 13000001 13100000 0  LR999924.1 13000001 13100000 0 
LR999924.1 13100001 13200000 0  LR999924.1 13100001 13200000 0 
LR999924.1 13200001 13300000 0  LR999924.1 13200001 13300000 0 
LR999924.1 13300001 13400000 3 9151 LR999924.1 13300001 13400000 0 
LR999924.1 13400001 13500000 1 22823 LR999924.1 13400001 13500000 0 
LR999924.1 13500001 13600000 2 9495 LR999924.1 13500001 13600000 1 2516
LR999924.1 13600001 13700000 0  LR999924.1 13600001 13700000 0 
LR999924.1 13700001 13800000 2 3009 LR999924.1 13700001 13800000 0 
LR999924.1 13800001 13900000 5 19862 LR999924.1 13800001 13900000 2 12483
LR999924.1 13900001 14000000 0  LR999924.1 13900001 14000000 0 
LR999924.1 14000001 14100000 1 3640 LR999924.1 14000001 14100000 0 
LR999924.1 14100001 14200000 1 3245 LR999924.1 14100001 14200000 0 
LR999924.1 14200001 14300000 3 13988 LR999924.1 14200001 14300000 0 
LR999924.1 14300001 14400000 2 8205 LR999924.1 14300001 14400000 0 
LR999924.1 14400001 14500000 0  LR999924.1 14400001 14500000 0 
LR999924.1 14500001 14600000 2 7037 LR999924.1 14500001 14600000 0 
LR999924.1 14600001 14700000 1 10923 LR999924.1 14600001 14700000 0 
LR999924.1 14700001 14800000 5 24697 LR999924.1 14700001 14800000 0 
LR999924.1 14800001 14900000 2 8018 LR999924.1 14800001 14900000 0 
LR999924.1 14900001 15000000 2 10957 LR999924.1 14900001 15000000 0 
LR999924.1 15000001 15100000 6 25394 LR999924.1 15000001 15100000 0 
LR999924.1 15100001 15200000 4 20469 LR999924.1 15100001 15200000 0 
LR999924.1 15200001 15300000 6 36336 LR999924.1 15200001 15300000 0 
LR999924.1 15300001 15400000 5 30267 LR999924.1 15300001 15400000 0 
LR999924.1 15400001 15500000 6 28025 LR999924.1 15400001 15500000 1 314
LR999924.1 15500001 15600000 3 25765 LR999924.1 15500001 15600000 0 
LR999924.1 15600001 15700000 1 1508 LR999924.1 15600001 15700000 0 
LR999924.1 15700001 15800000 7 44992 LR999924.1 15700001 15800000 0 
LR999924.1 15800001 15900000 1 7106 LR999924.1 15800001 15900000 0 
LR999924.1 15900001 16000000 2 2487 LR999924.1 15900001 16000000 0 
LR999924.1 16000001 16100000 1 764 LR999924.1 16000001 16100000 0 
LR999924.1 16100001 16200000 0  LR999924.1 16100001 16200000 0 
LR999924.1 16200001 16300000 6 43173 LR999924.1 16200001 16300000 0 
LR999924.1 16300001 16400000 1 9461 LR999924.1 16300001 16400000 0 
LR999924.1 16400001 16500000 1 15479 LR999924.1 16400001 16500000 0 
LR999924.1 16500001 16600000 1 4413 LR999924.1 16500001 16600000 0 
LR999924.1 16600001 16700000 4 13031 LR999924.1 16600001 16700000 0 
LR999924.1 16700001 16800000 0  LR999924.1 16700001 16800000 0 
LR999924.1 16800001 16900000 1 7402 LR999924.1 16800001 16900000 0 
LR999924.1 16900001 17000000 5 28169 LR999924.1 16900001 17000000 0 
LR999924.1 17000001 17040296 4 12093 LR999924.1 17000001 17040296 0 
