LR999924.1 1 100000 
LR999924.1 5.4e+06 5.5e+06 5801
LR999924.1 5.5e+06 5.6e+06 5033
LR999924.1 5.6e+06 5.7e+06 4016
LR999924.1 5.7e+06 5.8e+06 4838
LR999924.1 5.8e+06 5.9e+06 3585
LR999924.1 5.9e+06 6e+06 2713
LR999924.1 6e+06 6.1e+06 4609
LR999924.1 6.1e+06 6.2e+06 2637
LR999924.1 6.2e+06 6.3e+06 4854
LR999924.1 6.3e+06 6.4e+06 5350
LR999924.1 6.4e+06 6.5e+06 7818
LR999924.1 6.5e+06 6.6e+06 4664
LR999924.1 6.6e+06 6.7e+06 2454
LR999924.1 6.7e+06 6.8e+06 3536
LR999924.1 6.8e+06 6.9e+06 6676
LR999924.1 6.9e+06 7e+06 4287
LR999924.1 7e+06 7.1e+06 7574
LR999924.1 7.1e+06 7.2e+06 1899
LR999924.1 7.2e+06 7.3e+06 6265
LR999924.1 7.3e+06 7.4e+06 4607
LR999924.1 7.4e+06 7.5e+06 6886
LR999924.1 7.5e+06 7.6e+06 5468
LR999924.1 7.6e+06 7.7e+06 6147
LR999924.1 7.7e+06 7.8e+06 6554
LR999924.1 7.8e+06 7.9e+06 5029
LR999924.1 7.9e+06 8e+06 4336
LR999924.1 8e+06 8.1e+06 5482
LR999924.1 8.1e+06 8.2e+06 4444
LR999924.1 8.2e+06 8.3e+06 2654
LR999924.1 8.3e+06 8.4e+06 2768
LR999924.1 8.4e+06 8.5e+06 2744
LR999924.1 8.5e+06 8.6e+06 4086
LR999924.1 8.6e+06 8.7e+06 1592
LR999924.1 8.7e+06 8.8e+06 4005
LR999924.1 8.8e+06 8.9e+06 7933
LR999924.1 8.9e+06 9e+06 5441
LR999924.1 9e+06 9.1e+06 6596
LR999924.1 9.1e+06 9.2e+06 6847
LR999924.1 9.2e+06 9.3e+06 7719
LR999924.1 9.3e+06 9.4e+06 5382
LR999924.1 9.4e+06 9.5e+06 6502
LR999924.1 9.5e+06 9.6e+06 5990
LR999924.1 9.6e+06 9.7e+06 7059
LR999924.1 9.7e+06 9.8e+06 4182
LR999924.1 9.8e+06 9.9e+06 3475
LR999924.1 9.9e+06 1e+07 1261
LR999924.1 1e+07 1.01e+07 6878
LR999924.1 1.01e+07 1.02e+07 7062
LR999924.1 1.02e+07 1.03e+07 4130
LR999924.1 1.03e+07 1.04e+07 3471
LR999924.1 1.04e+07 1.05e+07 3635
LR999924.1 1.05e+07 1.06e+07 1789
LR999924.1 1.06e+07 1.07e+07 2933
LR999924.1 1.07e+07 1.08e+07 1639
LR999924.1 1.08e+07 1.09e+07 1320
LR999924.1 1.09e+07 1.1e+07 4060
LR999924.1 1.1e+07 1.11e+07 3538
LR999924.1 1.11e+07 1.12e+07 4967
LR999924.1 1.12e+07 1.13e+07 5986
LR999924.1 1.13e+07 1.14e+07 4757
LR999924.1 1.14e+07 1.15e+07 6013
LR999924.1 1.15e+07 1.16e+07 5633
LR999924.1 1.16e+07 1.17e+07 3857
LR999924.1 1.17e+07 1.18e+07 4230
LR999924.1 1.18e+07 1.19e+07 3883
LR999924.1 1.19e+07 1.2e+07 1718
LR999924.1 1.2e+07 1.21e+07 3057
LR999924.1 1.21e+07 1.22e+07 3934
LR999924.1 1.22e+07 1.23e+07 6265
LR999924.1 1.23e+07 1.24e+07 8251
LR999924.1 1.24e+07 1.25e+07 3858
LR999924.1 1.25e+07 1.26e+07 4711
LR999924.1 1.26e+07 1.27e+07 2951
LR999924.1 1.27e+07 1.28e+07 2775
LR999924.1 1.28e+07 1.29e+07 4965
LR999924.1 1.29e+07 1.3e+07 7333
LR999924.1 1.3e+07 1.31e+07 6705
LR999924.1 1.31e+07 1.32e+07 5464
LR999924.1 1.32e+07 1.33e+07 4947
LR999924.1 1.33e+07 1.34e+07 3860
LR999924.1 1.34e+07 1.35e+07 6857
LR999924.1 1.35e+07 1.36e+07 5625
LR999924.1 1.36e+07 1.37e+07 3116
LR999924.1 1.37e+07 1.38e+07 2452
LR999924.1 1.38e+07 1.39e+07 4535
LR999924.1 1.39e+07 1.4e+07 6229
LR999924.1 1.4e+07 1.41e+07 2354
LR999924.1 1.41e+07 1.42e+07 4406
LR999924.1 1.42e+07 1.43e+07 4529
LR999924.1 1.43e+07 1.44e+07 4645
LR999924.1 1.44e+07 1.45e+07 4865
LR999924.1 1.45e+07 1.46e+07 6160
LR999924.1 1.46e+07 1.47e+07 8681
LR999924.1 1.47e+07 1.48e+07 4684
LR999924.1 1.48e+07 1.49e+07 4118
LR999924.1 1.49e+07 1.5e+07 3102
LR999924.1 1.5e+07 1.51e+07 5604
LR999924.1 1.51e+07 1.52e+07 4449
LR999924.1 1.52e+07 1.53e+07 6586
LR999924.1 1.53e+07 1.54e+07 3158
LR999924.1 1.54e+07 1.55e+07 5370
LR999924.1 1.55e+07 1.56e+07 3829
LR999924.1 1.56e+07 1.57e+07 4515
LR999924.1 1.57e+07 1.58e+07 4050
LR999924.1 1.58e+07 1.59e+07 7038
LR999924.1 1.59e+07 1.6e+07 7879
LR999924.1 1.6e+07 1.61e+07 8548
LR999924.1 1.61e+07 1.62e+07 7340
LR999924.1 1.62e+07 1.63e+07 5046
LR999924.1 1.63e+07 1.64e+07 7599
LR999924.1 1.64e+07 1.65e+07 7562
LR999924.1 1.65e+07 1.66e+07 4252
LR999924.1 1.66e+07 1.67e+07 6522
LR999924.1 1.67e+07 1.68e+07 2720
LR999924.1 1.68e+07 1.69e+07 2280
LR999924.1 1.69e+07 1.7e+07 954
LR999924.1 1.7e+07 17040296 178
