LR999927.1 1 100000 
LR999927.1 1.13e+07 1.14e+07 5396
LR999927.1 1.14e+07 1.15e+07 6702
LR999927.1 1.15e+07 1.16e+07 5652
LR999927.1 1.16e+07 1.17e+07 6826
LR999927.1 1.17e+07 1.18e+07 6120
LR999927.1 1.18e+07 1.19e+07 9167
LR999927.1 1.19e+07 1.2e+07 8271
LR999927.1 1.2e+07 1.21e+07 7688
LR999927.1 1.21e+07 1.22e+07 6392
LR999927.1 1.22e+07 1.23e+07 9061
LR999927.1 1.23e+07 1.24e+07 8861
LR999927.1 1.24e+07 1.25e+07 4977
LR999927.1 1.25e+07 1.26e+07 6227
LR999927.1 1.26e+07 1.27e+07 8557
LR999927.1 1.27e+07 1.28e+07 8723
LR999927.1 1.28e+07 1.29e+07 9147
LR999927.1 1.29e+07 1.3e+07 7097
LR999927.1 1.3e+07 1.31e+07 7151
LR999927.1 1.31e+07 1.32e+07 8774
LR999927.1 1.32e+07 1.33e+07 7705
LR999927.1 1.33e+07 1.34e+07 9665
LR999927.1 1.34e+07 1.35e+07 9798
LR999927.1 1.35e+07 1.36e+07 8227
LR999927.1 1.36e+07 1.37e+07 8994
LR999927.1 1.37e+07 1.38e+07 8438
LR999927.1 1.38e+07 1.39e+07 11652
LR999927.1 1.39e+07 1.4e+07 7536
LR999927.1 1.4e+07 1.41e+07 8291
LR999927.1 1.41e+07 1.42e+07 7055
LR999927.1 1.42e+07 1.43e+07 8065
LR999927.1 1.43e+07 1.44e+07 10442
LR999927.1 1.44e+07 1.45e+07 9484
LR999927.1 1.45e+07 1.46e+07 9564
LR999927.1 1.46e+07 1.47e+07 11278
LR999927.1 1.47e+07 1.48e+07 9302
LR999927.1 1.48e+07 1.49e+07 14562
LR999927.1 1.49e+07 1.5e+07 9339
LR999927.1 1.5e+07 1.51e+07 8604
LR999927.1 1.51e+07 1.52e+07 12511
LR999927.1 1.52e+07 1.53e+07 7163
LR999927.1 1.53e+07 1.54e+07 7738
LR999927.1 1.54e+07 1.55e+07 9687
LR999927.1 1.55e+07 1.56e+07 8544
LR999927.1 1.56e+07 1.57e+07 4470
LR999927.1 1.57e+07 1.58e+07 5132
LR999927.1 1.58e+07 1.59e+07 6942
LR999927.1 1.59e+07 1.6e+07 3766
LR999927.1 1.6e+07 16090551 1176
