LR999946.1 1 100000 
LR999946.1 4.6e+06 4.7e+06 8271
LR999946.1 4.7e+06 4.8e+06 8551
LR999946.1 4.8e+06 4.9e+06 4240
LR999946.1 4.9e+06 5e+06 4388
LR999946.1 5e+06 5.1e+06 6253
LR999946.1 5.1e+06 5.2e+06 10577
LR999946.1 5.2e+06 5.3e+06 10357
LR999946.1 5.3e+06 5.4e+06 10197
LR999946.1 5.4e+06 5.5e+06 8809
LR999946.1 5.5e+06 5.6e+06 6576
LR999946.1 5.6e+06 5.7e+06 11411
LR999946.1 5.7e+06 5.8e+06 6399
LR999946.1 5.8e+06 5.9e+06 3338
LR999946.1 5.9e+06 6e+06 5084
LR999946.1 6e+06 6.1e+06 6917
LR999946.1 6.1e+06 6.2e+06 9847
LR999946.1 6.2e+06 6.3e+06 9037
LR999946.1 6.3e+06 6.4e+06 9693
LR999946.1 6.4e+06 6.5e+06 5009
LR999946.1 6.5e+06 6.6e+06 3642
LR999946.1 6.6e+06 6.7e+06 8724
LR999946.1 6.7e+06 6.8e+06 11094
LR999946.1 6.8e+06 6.9e+06 9102
LR999946.1 6.9e+06 7e+06 5548
LR999946.1 7e+06 7.1e+06 3761
LR999946.1 7.1e+06 7.2e+06 2816
LR999946.1 7.2e+06 7.3e+06 4289
LR999946.1 7.3e+06 7.4e+06 3630
LR999946.1 7.4e+06 7.5e+06 6075
LR999946.1 7.5e+06 7.6e+06 5156
LR999946.1 7.6e+06 7.7e+06 5996
LR999946.1 7.7e+06 7.8e+06 4849
LR999946.1 7.8e+06 7.9e+06 5639
LR999946.1 7.9e+06 8e+06 9023
LR999946.1 8e+06 8.1e+06 7786
LR999946.1 8.1e+06 8.2e+06 8544
LR999946.1 8.2e+06 8.3e+06 5786
LR999946.1 8.3e+06 8.4e+06 7166
LR999946.1 8.4e+06 8.5e+06 3742
LR999946.1 8.5e+06 8.6e+06 9052
LR999946.1 8.6e+06 8.7e+06 9492
LR999946.1 8.7e+06 8.8e+06 8877
LR999946.1 8.8e+06 8.9e+06 6446
LR999946.1 8.9e+06 9e+06 8716
LR999946.1 9e+06 9.1e+06 6319
LR999946.1 9.1e+06 9.2e+06 13358
LR999946.1 9.2e+06 9.3e+06 11956
LR999946.1 9.3e+06 9.4e+06 8177
LR999946.1 9.4e+06 9.5e+06 13144
LR999946.1 9.5e+06 9.6e+06 8451
LR999946.1 9.6e+06 9.7e+06 8463
LR999946.1 9.7e+06 9.8e+06 5360
LR999946.1 9.8e+06 9.9e+06 1993
LR999946.1 9.9e+06 1e+07 4278
LR999946.1 1e+07 1.01e+07 9301
LR999946.1 1.01e+07 1.02e+07 9478
LR999946.1 1.02e+07 1.03e+07 8120
LR999946.1 1.03e+07 1.04e+07 11943
LR999946.1 1.04e+07 1.05e+07 10038
LR999946.1 1.05e+07 1.06e+07 9614
LR999946.1 1.06e+07 1.07e+07 9273
LR999946.1 1.07e+07 1.08e+07 10665
LR999946.1 1.08e+07 1.09e+07 9508
LR999946.1 1.09e+07 1.1e+07 8838
LR999946.1 1.1e+07 1.11e+07 7494
LR999946.1 1.11e+07 1.12e+07 10069
LR999946.1 1.12e+07 1.13e+07 9847
LR999946.1 1.13e+07 1.14e+07 6907
LR999946.1 1.14e+07 1.15e+07 8505
LR999946.1 1.15e+07 1.16e+07 5962
LR999946.1 1.16e+07 1.17e+07 8039
LR999946.1 1.17e+07 1.18e+07 8000
LR999946.1 1.18e+07 1.19e+07 8242
LR999946.1 1.19e+07 1.2e+07 7601
LR999946.1 1.2e+07 1.21e+07 6990
LR999946.1 1.21e+07 1.22e+07 6676
LR999946.1 1.22e+07 1.23e+07 7153
LR999946.1 1.23e+07 1.24e+07 6557
LR999946.1 1.24e+07 1.25e+07 3838
LR999946.1 1.25e+07 12594674 1872
