map loess loess_sd 1mb 1mb_sd 2mb 2mb_sd no_overlap_1mb no_overlap_1mb_sd no_overlap_2mb no_overlap_2mb_sd map_length chr_length chr_start rate markers marker_density chr_type
19 LR999943.1 3.78425531914894 3.46905183429812 4.41326086956522 3.90664678854319 4.11918367346939 2.79372946430536 4.41326086956522 3.90664678854319 4.11918367346939 2.79372946430536 50.072 13.236624 275115552 3.78283767824787 49 3.70185026030807 autosome
20 LR999944.1 6.01829268292683 10.5976596242847 4.29047619047619 2.98627670322088 4.44697674418605 2.13433443945561 4.29047619047619 2.98627670322088 4.44697674418605 2.13433443945561 49.005 12.933853 288352176 3.7888941524231 43 3.32460868389335 autosome
21 LR999945.1 5.35965517241379 3.37586010639588 6.54983050847458 5.30491947728073 5.4075 2.21842639678807 6.54983050847458 5.30491947728073 5.4075 2.21842639678807 52.283 12.861081 301286029 4.06521038161567 60 4.66523770435782 autosome
22 LR999946.1 4.1256 3.60702271935722 3.51307692307692 2.51105207109903 3.40076923076923 1.78147971779559 3.51307692307692 2.51105207109903 3.40076923076923 1.78147971779559 50.227 12.594674 314147110 3.9879555437481 52 4.12872933432021 autosome
23 LR999947.1 4.53131578947368 3.93813247759586 4.49162162162162 4.07966332591954 3.83975 2.51174113428136 4.49162162162162 4.07966332591954 3.83975 2.51174113428136 38.933 11.704087 326741784 3.32644485639931 40 3.4176095922732 autosome
24 LR999948.1 3.364 2.76557607642291 2.81233333333333 3.07665367178237 3.848125 1.79929993106638 2.81233333333333 3.07665367178237 3.848125 1.79929993106638 41.166 11.326783 338445871 3.63439469088443 32 2.82516227246518 autosome
25 LR999949.1 3.39535714285714 5.19253701079401 3.32035714285714 2.84360032892948 4.21379310344828 2.91467397563372 3.32035714285714 2.84360032892948 4.21379310344828 2.91467397563372 52.413 11.199261 349772654 4.68004094198715 30 2.6787481781164 autosome
26 LR999950.1 5.90408163265306 5.41508614827108 4.85627450980392 3.96421844039115 5.00705882352941 3.0877832139693 4.85627450980392 3.96421844039115 5.00705882352941 3.0877832139693 46.693 9.960137 360971915 4.68798772547004 51 5.12041149634789 autosome
27 LR999951.1 7.24413793103448 8.65708195527197 6.11548387096774 3.34791760025012 6.07290322580645 1.24316583379796 6.11548387096774 3.34791760025012 6.07290322580645 1.24316583379796 26.705 9.839934 370932052 2.71394096749023 31 3.1504276349821 autosome
28 LR999952.1 4.02055555555556 7.99613323626027 4.81 5.03463228272157 3.2475 1.7863248805711 4.81 5.03463228272157 3.2475 1.7863248805711 32.327 8.262369 380771986 3.91255825054533 20 2.42061326479125 autosome
29 LR999953.1 2.52166666666667 7.19706660015446 10.205625 15.5104154119095 7.12736842105263 3.91691608015124 10.205625 15.5104154119095 7.12736842105263 3.91691608015124 43.681 8.178468 389034355 5.34097584046303 20 2.44544577297362 autosome
30 LR999954.1 0.00125 0.00353553390593274 47.96375 53.0916415098863 5.6 6.57799023680908 47.96375 53.0916415098863 5.6 6.57799023680908 20.059 7.379297 397212823 2.71828061670373 10 1.35514263757103 autosome
31 LR999955.1 0 0 3.937 3.99550038585073 5.53083333333333 2.42573871909844 3.937 3.99550038585073 5.53083333333333 2.42573871909844 22.482 6.166334 404592120 3.64592641267891 12 1.94605092750409 autosome
