chrom begin end count_rpt length_rpt count_SINE length_SINE count_DNA length_DNA count_TcM length_TcM count_LINE length_LINE count_LTR length_LTR+nonLTR count_nonLTR length_nonLTR
LR999936.1 2000001 4000000 3788 502838 727 134816 261 45138 15 4081 179 43301 49 100310 396 88456
LR999936.1 4000001 6000000 2603 340038 381 71975 197 33029 12 4525 135 44192 48 61331 211 46676
LR999936.1 6000001 8000000 2703 390332 401 74472 192 35422 11 3541 148 31973 74 116686 266 87109
LR999936.1 8000001 10000000 3374 481417 534 101365 307 52146 26 5422 139 34665 50 112561 320 93879
LR999936.1 10000001 12000000 3670 482468 620 112132 280 41471 8 2851 170 44492 47 99048 358 83157
LR999936.1 12000001 14000000 4019 542057 737 134647 230 29303 10 1711 210 41188 87 139908 464 107867
LR999936.1 14000001 14774369 1536 287559 235 45253 103 20262 9 2977 103 30995 40 108006 192 90887
LR999937.1 1 2000000 4097 607468 738 136175 272 38444 17 4025 201 46822 75 180482 505 151387
LR999937.1 2000001 4000000 4180 612648 746 135587 297 42012 22 4268 280 79541 64 142758 472 118602
LR999937.1 4000001 6000000 2970 353545 484 87468 184 21796 11 4679 154 36913 46 68515 305 58473
LR999937.1 6000001 8000000 2965 419094 404 74665 247 53962 18 5101 180 50312 65 88325 273 66586
LR999937.1 8000001 10000000 3159 473723 459 83221 265 53109 15 3106 182 56683 59 112073 298 85505
LR999937.1 10000001 12000000 2640 350824 410 77867 169 27161 13 2699 130 42798 35 65654 211 57609
LR999937.1 12000001 14000000 3857 526439 667 123113 249 30879 18 5058 229 54182 72 131989 474 107230
LR999937.1 14000001 14615999 1024 160301 142 29508 68 13061 3 386 60 12060 33 55570 126 36231
LR999938.1 1 2000000 3780 538152 715 132438 240 37200 17 3757 193 37317 61 152650 473 130256
LR999938.1 2000001 4000000 3578 485519 686 121898 245 39994 12 3662 168 32351 39 116154 410 102931
LR999938.1 4000001 6000000 3475 484865 577 109185 252 39367 8 1431 215 60088 44 104075 341 85004
LR999938.1 6000001 8000000 2846 420483 426 75331 192 39664 8 3040 184 61365 29 107835 309 98944
LR999938.1 8000001 10000000 1993 262063 242 45810 140 20534 6 2115 98 25602 54 70887 178 52965
LR999938.1 10000001 12000000 2428 308642 336 62423 169 31155 7 2816 134 36333 36 59012 194 54665
LR999938.1 12000001 14000000 3637 493096 638 117297 285 43031 21 3640 173 41275 63 127975 406 94679
LR999938.1 14000001 14605406 1003 125049 158 29314 67 11674 6 2884 42 8124 8 26551 107 25997
LR999939.1 1 2000000 3544 453732 638 115082 240 29675 24 6773 181 34803 43 101780 446 95891
LR999939.1 2000001 4000000 3712 517886 678 118261 240 39751 19 6036 230 52131 45 130489 441 116614
LR999939.1 4000001 6000000 2967 381528 487 93057 199 33007 13 2021 166 44770 27 67478 278 61280
LR999939.1 6000001 8000000 2319 320750 346 60770 184 29761 10 3135 122 35288 42 87086 230 69148
LR999939.1 8000001 10000000 2618 326987 383 69304 180 30901 7 2392 129 28978 44 74943 250 65504
LR999939.1 10000001 12000000 3495 440669 572 109560 244 33461 19 4490 134 21621 62 98801 348 72556
LR999939.1 12000001 13916383 4031 576646 718 134708 260 40903 16 4462 218 51991 62 143051 500 123397
LR999940.1 1 2000000 3752 1431431 58 11422 227 63653 25 5493 456 259725 411 903104 1004 687594
LR999940.1 2000001 4000000 3558 1353948 68 14931 245 68217 34 7972 401 253037 432 852093 917 627108
LR999940.1 4000001 6000000 3360 1277808 87 18105 268 74703 31 5536 351 189412 368 849221 857 628495
LR999940.1 6000001 8000000 3005 1135531 66 12456 278 87327 46 8494 362 195794 395 709631 716 503450
LR999940.1 8000001 10000000 3410 1328476 64 15498 201 54059 34 7717 466 238779 366 886220 990 682868
LR999940.1 10000001 12000000 3844 1364438 84 18773 261 70659 34 9494 489 258727 307 828776 1003 656501
LR999940.1 12000001 13819298 3392 1271744 48 10848 187 39002 37 6688 406 244928 376 801192 832 593837
LR999941.1 1 2000000 3126 366118 563 101303 187 19452 18 2812 143 33811 28 69338 360 61414
LR999941.1 2000001 4000000 3564 476063 636 111260 254 47584 14 3907 202 47321 59 105698 380 87503
LR999941.1 4000001 6000000 2969 387629 513 89418 169 26412 8 1939 163 42230 35 79957 277 66868
LR999941.1 6000001 8000000 2866 394619 379 70218 228 35445 12 2538 139 41627 58 101310 262 80664
LR999941.1 8000001 10000000 2448 292763 356 63240 187 27462 13 3610 132 41348 20 45203 205 42246
LR999941.1 10000001 12000000 3279 418510 554 98330 199 35497 6 1679 164 30741 52 104193 339 89177
LR999941.1 12000001 13774036 3033 405148 556 101390 214 32627 12 1726 148 33328 38 98614 373 87161
LR999942.1 1 2000000 3668 523372 649 117962 236 35310 12 3748 201 58966 95 136139 436 106082
LR999942.1 2000001 4000000 3624 464403 628 116553 258 35860 9 1234 172 38377 32 96603 371 90492
LR999942.1 4000001 6000000 2254 281429 300 54367 155 23803 9 2729 115 28663 26 65181 211 56012
LR999942.1 6000001 8000000 2632 359197 432 78227 195 28176 8 1503 142 45619 53 85620 220 55507
LR999942.1 8000001 10000000 3549 466002 633 115305 248 31821 18 4204 178 38897 60 113659 370 90783
LR999942.1 10000001 12000000 3724 466220 655 118768 284 42837 10 3042 149 26395 31 89689 413 84070
LR999942.1 12000001 13550656 2627 344722 444 76383 180 26588 11 4030 151 39258 45 85497 329 71938
LR999943.1 1 2000000 3916 553415 743 131858 246 33574 12 1787 191 54856 78 149094 512 120018
LR999943.1 2000001 4000000 3674 438875 632 115189 276 34122 16 1852 156 32788 41 75057 355 70453
LR999943.1 4000001 6000000 2936 385136 478 86964 205 28129 6 4020 128 26583 41 98109 279 75123
LR999943.1 6000001 8000000 3228 445091 514 92376 231 37096 13 2446 165 40139 41 108210 306 91017
LR999943.1 8000001 10000000 3019 367558 466 89295 268 39490 27 6492 129 25145 37 63805 266 49307
LR999943.1 10000001 12000000 3778 481614 720 132386 243 29882 19 4096 169 34511 55 100434 398 83389
LR999943.1 12000001 13236624 2097 292002 396 71091 120 13847 10 4156 133 33820 32 71448 236 61157
LR999944.1 1 2000000 4316 651869 805 141921 241 32452 21 7018 253 81113 87 188476 654 152732
LR999944.1 2000001 4000000 4003 582090 728 128967 433 101521 47 11459 158 29720 93 136134 477 92587
LR999944.1 4000001 6000000 3720 442967 623 117344 292 44407 12 6007 148 26588 47 68526 344 56594
LR999944.1 6000001 8000000 3339 575323 505 95503 283 63728 29 7060 198 52886 151 201839 367 115484
LR999944.1 8000001 10000000 3615 470116 671 123018 246 37477 12 2947 188 48774 49 82748 330 74705
LR999944.1 10000001 12000000 3676 589664 545 98782 396 98937 21 5516 198 48888 129 158920 376 100779
LR999944.1 12000001 12933853 1193 150910 131 23467 83 11703 7 2286 42 8192 13 34469 100 31218
LR999945.1 1 2000000 3161 389903 520 95121 209 27256 14 3695 149 31930 44 89341 365 81614
LR999945.1 2000001 4000000 4095 545553 786 141703 265 32207 13 2119 222 50382 70 120668 446 94356
LR999945.1 4000001 6000000 2867 351287 444 79188 246 37268 10 3378 130 33022 41 59618 273 53642
LR999945.1 6000001 8000000 3230 431153 548 100026 248 39519 17 4493 151 31987 41 96196 299 73677
LR999945.1 8000001 10000000 3056 433166 503 96545 216 35517 17 7225 153 47455 53 115537 333 100105
LR999945.1 10000001 12000000 3634 476328 671 121071 264 32820 14 4101 226 51346 40 97248 394 81734
LR999945.1 12000001 12861081 1448 189082 268 49864 75 10728 6 1393 96 17670 19 44334 194 38762
LR999946.1 1 2000000 3581 649987 563 110169 340 73698 58 14199 208 56487 107 252905 514 209867
LR999946.1 2000001 4000000 4515 591745 866 151331 312 39892 9 3247 219 47510 75 140466 553 117143
LR999946.1 4000001 6000000 3341 414634 606 107695 251 37252 13 4300 149 25768 43 81679 315 73321
LR999946.1 6000001 8000000 2855 384569 491 91311 194 34238 9 2321 155 37405 55 84636 274 62545
LR999946.1 8000001 10000000 3113 408122 607 105226 194 29198 8 3530 136 33161 46 105635 357 91928
LR999946.1 10000001 12000000 3680 482392 716 126980 226 27454 8 1374 181 47087 53 118341 500 101304
LR999946.1 12000001 12594674 738 120791 114 21153 39 5928 0  58 12752 11 37009 118 34525
LR999947.1 1 2000000 4162 603067 840 152550 309 50163 29 6231 204 50754 77 163683 552 137186
LR999947.1 2000001 4000000 4435 602909 948 171628 278 38064 17 4990 216 49169 48 121686 494 112205
LR999947.1 4000001 6000000 4094 598129 704 129451 300 45448 23 5548 224 56056 57 135349 426 117218
LR999947.1 6000001 8000000 4200 625846 866 164012 279 38783 18 3963 243 71604 59 143342 446 125913
LR999947.1 8000001 10000000 4283 580724 811 153972 335 49237 19 5882 214 51374 36 122874 481 109877
LR999947.1 10000001 11704087 3288 461209 662 121855 192 23440 5 2108 153 35365 41 127109 447 105312
LR999948.1 1 2000000 4312 675668 846 154996 222 35592 34 5121 278 61599 65 232550 648 205598
LR999948.1 2000001 4000000 4306 626012 806 146861 313 53152 25 6287 235 63403 61 157386 543 131966
LR999948.1 4000001 6000000 4104 562121 736 139433 303 42946 16 4113 209 60331 68 116348 438 88783
LR999948.1 6000001 8000000 3469 452514 545 103164 278 42717 12 3317 188 43586 41 93352 362 83607
LR999948.1 8000001 10000000 4573 584655 963 171477 312 39895 24 4219 196 42290 53 128089 587 116135
LR999948.1 10000001 11326783 2604 371398 525 96030 163 19179 9 2737 148 25825 39 117808 359 103259
LR999949.1 1 2000000 3849 630456 634 113178 255 36420 40 4489 235 56198 50 249235 593 231812
LR999949.1 2000001 4000000 3777 521950 704 130825 247 35722 14 3006 189 42305 70 134943 440 115206
LR999949.1 4000001 6000000 3999 513831 683 122909 351 51006 21 4119 152 33189 64 115071 430 99410
LR999949.1 6000001 8000000 4155 605720 628 117093 467 84299 28 5474 175 46666 76 153171 457 115976
LR999949.1 8000001 10000000 5231 716145 1119 209710 382 47437 32 6121 276 68775 94 147702 620 121228
LR999949.1 10000001 11199261 2681 346357 502 90114 151 17619 7 1206 134 26839 33 91902 393 84303
LR999950.1 1 2000000 3846 555575 721 129529 262 35799 16 4530 193 47597 65 164794 531 147813
LR999950.1 2000001 4000000 3621 482868 694 127378 264 38422 7 2500 145 29627 58 124262 394 95448
LR999950.1 4000001 6000000 3432 445272 714 128658 273 36985 14 4508 148 40173 38 87109 334 74304
LR999950.1 6000001 8000000 3542 422300 636 114502 227 27642 8 1367 177 31750 57 91990 398 75123
LR999950.1 8000001 9960137 4059 557368 768 138200 257 33259 13 2429 224 45812 95 158570 537 120684
LR999951.1 1 2000000 5057 654849 1050 189710 329 39895 24 9208 223 49660 57 134625 649 123576
LR999951.1 2000001 4000000 4103 579604 696 132994 338 44097 4 363 221 54799 101 154364 507 116729
LR999951.1 4000001 6000000 4756 637634 1045 184026 332 44257 20 8183 259 60277 53 129514 525 107409
LR999951.1 6000001 8000000 4786 623185 985 180220 335 50468 25 8108 201 45324 72 127857 557 112645
LR999951.1 8000001 9839934 3675 476920 674 120403 270 36534 23 5469 164 30725 57 120739 435 105816
LR999952.1 1 2000000 4960 750496 910 165746 330 44792 48 6220 273 61283 76 256722 799 222568
LR999952.1 2000001 4000000 5250 651461 1042 185145 373 42620 24 4150 211 47735 61 125480 656 119156
LR999952.1 4000001 6000000 5089 675888 977 178146 365 47844 25 6856 202 47741 61 128059 551 106452
LR999952.1 6000001 8000000 5127 659435 932 168855 415 59097 23 2938 200 36696 82 144019 677 118266
LR999952.1 8000001 8262369 795 115291 22 4649 82 11694 4 987 18 13537 4 20247 48 19760
LR999953.1 1 2000000 5345 698289 1069 192850 468 61362 35 6079 182 30253 51 162807 749 145712
LR999953.1 2000001 4000000 4452 787382 611 112083 576 131625 68 19181 191 65186 181 278824 647 201769
LR999953.1 4000001 6000000 4305 744617 687 128756 466 97092 36 5619 239 87168 149 229673 610 175669
LR999953.1 6000001 8000000 5846 851760 1149 209281 534 107177 49 13148 263 52687 97 207628 845 185168
LR999953.1 8000001 8178468 483 79650 81 16213 29 2385 1 255 30 11976 7 27799 82 27079
LR999954.1 1 2000000 5470 733422 1002 185444 376 45612 24 3684 213 55434 91 178312 776 148663
LR999954.1 2000001 4000000 5601 733887 1173 220426 425 52020 19 3608 246 46742 64 152754 749 135692
LR999954.1 4000001 6000000 6166 790988 1356 249430 423 43634 8 1644 267 44003 69 162089 826 151415
LR999954.1 6000001 7379297 3705 497784 731 134794 282 39154 20 3954 125 32089 48 128821 547 114498
LR999955.1 1 2000000 6349 870302 1315 237488 556 67270 57 9065 217 42063 137 216769 920 182981
LR999955.1 2000001 4000000 5731 800874 957 170716 558 85522 47 11056 226 56337 108 195310 718 158743
LR999955.1 4000001 6000000 6319 837768 1015 186125 475 59911 32 8074 199 43265 102 174806 668 136219
LR999955.1 6000001 6166334 444 84909 15 3572 51 10258 7 1061 10 7308 24 26183 27 12374

