"set" "map" "mkr" "phys" "gen" "vld" "loess"
"vcar" "chrLR999924.1" "42267" 12558500 34.455 TRUE 2.03
"vcar" "chrLR999924.1" "42286" 12764400 34.455 TRUE 2.04
"vcar" "chrLR999924.1" "42295" 12927700 34.455 TRUE 2.03
"vcar" "chrLR999924.1" "42301" 12998600 35.567 TRUE 2.01
"vcar" "chrLR999924.1" "42306" 13121100 35.567 TRUE 1.98
"vcar" "chrLR999924.1" "42319" 13124100 35.567 TRUE 1.91
"vcar" "chrLR999924.1" "42323" 13151700 35.567 TRUE 1.88
"vcar" "chrLR999924.1" "42327" 13157800 35.567 TRUE 2.01
"vcar" "chrLR999924.1" "42333" 13302300 35.567 TRUE 2.26
"vcar" "chrLR999924.1" "42373" 13849100 36.678 TRUE 2.77
"vcar" "chrLR999924.1" "42387" 14250900 37.789 TRUE 2.7
"vcar" "chrLR999924.1" "42402" 14661900 40.012 TRUE 2.23
"vcar" "chrLR999924.1" "42417" 14784600 40.012 TRUE 2.21
"vcar" "chrLR999924.1" "42465" 16014300 41.123 TRUE 1.06
"vcar" "chrLR999924.1" "42476" 16051200 42.234 TRUE 1
"vcar" "chrLR999924.1" "42481" 16210800 42.234 TRUE 0.86
"vcar" "chrLR999924.1" "42496" 16341300 42.234 TRUE 0.73
"vcar" "chrLR999924.1" "42498" 16387000 42.234 TRUE 0.68
"vcar" "chrLR999924.1" "42503" 16497000 42.234 TRUE 0.55
"vcar" "chrLR999924.1" "42505" 16497300 42.234 TRUE 0.55
"vcar" "chrLR999924.1" "42514" 16880600 42.234 TRUE 0.13
"vcar" "chrLR999924.1" "42517" 16942500 42.234 TRUE NA
"vcar" "chrLR999925.1" "19" 642966 0 TRUE NA
"vcar" "chrLR999925.1" "21" 643177 0 TRUE 2.18
"vcar" "chrLR999925.1" "24" 895597 0 TRUE 2.84
"vcar" "chrLR999925.1" "87" 1347740 2.224 TRUE 4.12
"vcar" "chrLR999925.1" "133" 2147280 5.562 TRUE 5.64
"vcar" "chrLR999925.1" "141" 2154670 5.562 TRUE 5.65
"vcar" "chrLR999925.1" "143" 2225780 5.562 TRUE 6.15
"vcar" "chrLR999925.1" "147" 2251370 6.674 TRUE 5.94
"vcar" "chrLR999925.1" "155" 2257970 6.674 TRUE 5.86
"vcar" "chrLR999925.1" "165" 2339600 6.674 TRUE 6.58
"vcar" "chrLR999925.1" "220" 2759580 11.13 TRUE 6.54
"vcar" "chrLR999925.1" "248" 2818320 11.13 TRUE 6.03
"vcar" "chrLR999925.1" "258" 2852830 11.13 TRUE 6.05
"vcar" "chrLR999925.1" "298" 3118530 11.13 TRUE 5.23
"vcar" "chrLR999925.1" "340" 3194020 13.353 TRUE 4.7
"vcar" "chrLR999925.1" "367" 3746600 13.353 TRUE 3.62
"vcar" "chrLR999925.1" "415" 4193480 16.688 TRUE 6.2
"vcar" "chrLR999925.1" "420" 4193800 16.688 TRUE 6.21
"vcar" "chrLR999925.1" "457" 4442980 17.8 TRUE 7.79
"vcar" "chrLR999925.1" "458" 4462430 17.8 TRUE 7.72
"vcar" "chrLR999925.1" "472" 4567010 20.022 TRUE 6.85
"vcar" "chrLR999925.1" "479" 4567320 20.022 TRUE 6.85
"vcar" "chrLR999925.1" "501" 4712350 21.134 TRUE 6.33
"vcar" "chrLR999925.1" "504" 4712700 21.134 TRUE 6.32
"vcar" "chrLR999925.1" "537" 5091900 22.245 TRUE 4.97
"vcar" "chrLR999925.1" "552" 5092300 22.245 TRUE 4.97
"vcar" "chrLR999925.1" "560" 5274690 24.469 TRUE 3.6
"vcar" "chrLR999925.1" "578" 5554310 24.469 TRUE 2.31
"vcar" "chrLR999925.1" "616" 5631660 24.469 TRUE 2.71
"vcar" "chrLR999925.1" "628" 5639480 24.469 TRUE 2.77
"vcar" "chrLR999925.1" "634" 5639710 24.469 TRUE 2.77
"vcar" "chrLR999925.1" "639" 5845690 24.469 TRUE 2.25
"vcar" "chrLR999925.1" "685" 6179580 25.58 TRUE 2.05
"vcar" "chrLR999925.1" "699" 6223140 25.58 TRUE 1.94
"vcar" "chrLR999925.1" "716" 6330620 26.691 TRUE 1.75
"vcar" "chrLR999925.1" "737" 6679650 26.691 TRUE 1.94
"vcar" "chrLR999925.1" "741" 6751890 26.691 TRUE 1.98
"vcar" "chrLR999925.1" "769" 6913060 26.691 TRUE 2.07
"vcar" "chrLR999925.1" "786" 7327320 27.802 TRUE 2.19
"vcar" "chrLR999925.1" "792" 7449020 27.802 TRUE 2.69
"vcar" "chrLR999925.1" "871" 7789750 28.914 TRUE 2.43
"vcar" "chrLR999925.1" "885" 7860180 28.914 TRUE 2.06
"vcar" "chrLR999925.1" "893" 7880970 30.025 TRUE 1.93
"vcar" "chrLR999925.1" "894" 7881170 30.025 TRUE 1.93
"vcar" "chrLR999925.1" "921" 8301850 30.025 TRUE 1.35
"vcar" "chrLR999925.1" "927" 8328990 30.025 TRUE 0.93
"vcar" "chrLR999925.1" "975" 8590960 30.025 TRUE 1.16
"vcar" "chrLR999925.1" "989" 8651060 30.025 TRUE 1.18
"vcar" "chrLR999925.1" "1003" 8912690 30.025 TRUE 1.47
"vcar" "chrLR999925.1" "1008" 9016850 30.025 TRUE 1.66
"vcar" "chrLR999925.1" "1048" 9085580 31.136 TRUE 1.55
"vcar" "chrLR999925.1" "1056" 9093530 31.136 TRUE 1.57
"vcar" "chrLR999925.1" "1061" 9134660 31.136 TRUE 1.84
"vcar" "chrLR999925.1" "1066" 9143560 31.136 TRUE 1.91
"vcar" "chrLR999925.1" "1075" 9358290 31.136 TRUE 3.09
"vcar" "chrLR999925.1" "1105" 9775180 32.248 TRUE 3.37
"vcar" "chrLR999925.1" "1145" 10527200 36.704 TRUE 3.53
"vcar" "chrLR999925.1" "1156" 10549100 36.704 TRUE 3.42
"vcar" "chrLR999925.1" "1179" 10706000 36.704 TRUE 2.43
"vcar" "chrLR999925.1" "1206" 10879100 36.704 TRUE 1.22
"vcar" "chrLR999925.1" "1248" 11156300 36.704 TRUE 0.38
"vcar" "chrLR999925.1" "1277" 11738400 36.704 TRUE 3.03
"vcar" "chrLR999925.1" "1292" 12043400 38.928 TRUE 5.26
"vcar" "chrLR999925.1" "1301" 12104900 38.928 TRUE 5.37
"vcar" "chrLR999925.1" "1330" 12297200 41.151 TRUE 4.95
"vcar" "chrLR999925.1" "1354" 12550000 41.151 TRUE 4.9
"vcar" "chrLR999925.1" "1363" 12780600 43.374 TRUE 4.31
"vcar" "chrLR999925.1" "1370" 12872200 43.374 TRUE 3.93
"vcar" "chrLR999925.1" "1391" 12951200 43.374 TRUE 3.78
"vcar" "chrLR999925.1" "1395" 12951500 43.374 TRUE 3.77
"vcar" "chrLR999925.1" "1409" 13050800 43.374 TRUE 3.74
"vcar" "chrLR999925.1" "1442" 13212500 43.374 TRUE 3.24
"vcar" "chrLR999925.1" "1455" 13274200 44.485 TRUE 2.9
"vcar" "chrLR999925.1" "1464" 13274700 44.485 TRUE 2.9
"vcar" "chrLR999925.1" "1465" 13274900 44.485 TRUE 2.9
"vcar" "chrLR999925.1" "1488" 13425200 45.596 TRUE 2.39
"vcar" "chrLR999925.1" "1505" 13551800 45.596 TRUE 1.67
"vcar" "chrLR999925.1" "1521" 13713500 45.596 TRUE 1.15
"vcar" "chrLR999925.1" "1563" 13952800 45.596 TRUE 1.21
"vcar" "chrLR999925.1" "1575" 14146300 45.596 TRUE 1.25
"vcar" "chrLR999925.1" "1580" 14229100 45.596 TRUE 1.23
"vcar" "chrLR999925.1" "1590" 14634000 46.708 TRUE 0.86
"vcar" "chrLR999925.1" "1610" 14671000 46.708 TRUE 0.78
"vcar" "chrLR999925.1" "1613" 14706300 46.708 TRUE 0.72
"vcar" "chrLR999925.1" "1637" 14965000 46.708 TRUE 0.71
"vcar" "chrLR999925.1" "1658" 14965400 46.708 TRUE 0.71
"vcar" "chrLR999925.1" "1666" 15187800 46.708 TRUE 0.74
"vcar" "chrLR999925.1" "1667" 15188000 46.708 TRUE 0.74
"vcar" "chrLR999925.1" "1677" 15188300 46.708 TRUE 0.74
"vcar" "chrLR999925.1" "1682" 15319800 46.708 TRUE 0.7
"vcar" "chrLR999925.1" "1726" 15927400 46.708 TRUE 0.8
"vcar" "chrLR999925.1" "1753" 16164500 47.819 TRUE 0.89
"vcar" "chrLR999925.1" "1778" 16215200 47.819 TRUE NA
"vcar" "chrLR999926.1" "1841" 376622 1.111 TRUE NA
"vcar" "chrLR999926.1" "1844" 376847 1.111 TRUE 0.33
"vcar" "chrLR999926.1" "1867" 652057 1.111 TRUE 0.93
"vcar" "chrLR999926.1" "1888" 1002180 1.111 TRUE 1.72
"vcar" "chrLR999926.1" "1954" 1759190 3.335 TRUE 3.01
"vcar" "chrLR999926.1" "1966" 1816310 3.335 TRUE 3.4
"vcar" "chrLR999926.1" "1972" 1816550 3.335 TRUE 3.4
"vcar" "chrLR999926.1" "1998" 2056170 4.446 TRUE 3.66
"vcar" "chrLR999926.1" "2002" 2056520 4.446 TRUE 3.67
"vcar" "chrLR999926.1" "2017" 2429350 6.67 TRUE 4.25
"vcar" "chrLR999926.1" "2072" 2977270 8.893 TRUE 2.65
"vcar" "chrLR999926.1" "2096" 3214670 8.893 TRUE 2
"vcar" "chrLR999926.1" "2110" 3276070 8.893 TRUE 1.84
"vcar" "chrLR999926.1" "2128" 3328700 8.893 TRUE 1.83
"vcar" "chrLR999926.1" "2185" 3827720 10.004 TRUE 1.02
"vcar" "chrLR999926.1" "2192" 3933860 10.004 TRUE 0.6
"vcar" "chrLR999926.1" "2199" 3934140 10.004 TRUE 0.6
"vcar" "chrLR999926.1" "2207" 3971970 10.004 TRUE 0.39
"vcar" "chrLR999926.1" "2229" 4277660 10.004 TRUE -0.18
"vcar" "chrLR999926.1" "2234" 4379650 10.004 TRUE 0
"vcar" "chrLR999926.1" "2242" 4396850 10.004 TRUE 0
"vcar" "chrLR999926.1" "2245" 4397050 10.004 TRUE 0
"vcar" "chrLR999926.1" "2257" 4474610 10.004 TRUE 0
"vcar" "chrLR999926.1" "2261" 4474960 10.004 TRUE 0
"vcar" "chrLR999926.1" "2271" 4522470 10.004 TRUE 0
"vcar" "chrLR999926.1" "2292" 4689800 10.004 TRUE 0
"vcar" "chrLR999926.1" "2302" 4690140 10.004 TRUE 0
"vcar" "chrLR999926.1" "2312" 4729370 10.004 TRUE 0
"vcar" "chrLR999926.1" "2326" 4747210 10.004 TRUE 0.23
"vcar" "chrLR999926.1" "2408" 5722190 13.342 TRUE 2.29
"vcar" "chrLR999926.1" "2429" 5767320 13.342 TRUE 2.2
"vcar" "chrLR999926.1" "2447" 5856300 13.342 TRUE 2.12
"vcar" "chrLR999926.1" "2477" 6164210 13.342 TRUE 2.71
"vcar" "chrLR999926.1" "2479" 6164440 13.342 TRUE 2.74
"vcar" "chrLR999926.1" "2480" 6222730 13.342 TRUE 2.92
"vcar" "chrLR999926.1" "2496" 6420490 14.453 TRUE 4.34
"vcar" "chrLR999926.1" "2518" 6695920 17.788 TRUE 4.81
"vcar" "chrLR999926.1" "2527" 7185030 17.788 TRUE 1.31
"vcar" "chrLR999926.1" "2530" 7295380 17.788 TRUE 0.57
"vcar" "chrLR999926.1" "2540" 7299310 17.788 TRUE 0.64
"vcar" "chrLR999926.1" "2562" 7472870 17.788 TRUE -0.85
"vcar" "chrLR999926.1" "2566" 7535840 17.788 TRUE -0.17
"vcar" "chrLR999926.1" "2582" 7569250 17.788 TRUE 0.45
"vcar" "chrLR999926.1" "2588" 7749660 17.788 TRUE 0.12
"vcar" "chrLR999926.1" "2609" 7824570 17.788 TRUE 0.6
"vcar" "chrLR999926.1" "2633" 7824900 17.788 TRUE 0.6
"vcar" "chrLR999926.1" "2677" 8581110 18.9 TRUE 2.99
"vcar" "chrLR999926.1" "2725" 8844740 18.9 TRUE 4
"vcar" "chrLR999926.1" "2736" 8845040 18.9 TRUE 4
"vcar" "chrLR999926.1" "2741" 8959390 21.123 TRUE 4.14
"vcar" "chrLR999926.1" "2753" 9165400 23.347 TRUE 4.65
"vcar" "chrLR999926.1" "2756" 9516630 24.458 TRUE 5.57
"vcar" "chrLR999926.1" "2770" 9814150 24.458 TRUE 6.37
"vcar" "chrLR999926.1" "2798" 9912920 24.458 TRUE 7.63
"vcar" "chrLR999926.1" "2859" 10936400 34.595 TRUE 5.17
"vcar" "chrLR999926.1" "2865" 10970100 35.706 TRUE 4.2
"vcar" "chrLR999926.1" "2891" 11101100 35.706 TRUE 3.12
"vcar" "chrLR999926.1" "2917" 11187600 35.706 TRUE 4.71
"vcar" "chrLR999926.1" "2920" 11188000 35.706 TRUE 4.67
"vcar" "chrLR999926.1" "2929" 11211300 35.706 TRUE 4.66
"vcar" "chrLR999926.1" "2957" 11372000 35.706 TRUE 1.82
"vcar" "chrLR999926.1" "2967" 11383900 35.706 TRUE 1.74
"vcar" "chrLR999926.1" "2975" 11566600 36.818 TRUE 2.74
"vcar" "chrLR999926.1" "2978" 11566900 36.818 TRUE 2.74
"vcar" "chrLR999926.1" "3058" 12537700 39.041 TRUE 3.25
"vcar" "chrLR999926.1" "3067" 12545500 40.153 TRUE 3.24
"vcar" "chrLR999926.1" "3097" 12895400 42.376 TRUE 2.98
"vcar" "chrLR999926.1" "3129" 13404400 42.376 TRUE 2.45
"vcar" "chrLR999926.1" "3146" 13482600 42.376 TRUE 2.38
"vcar" "chrLR999926.1" "3179" 14002800 43.488 TRUE 1.58
"vcar" "chrLR999926.1" "3182" 14003100 43.488 TRUE 1.58
"vcar" "chrLR999926.1" "3197" 14106500 44.599 TRUE 1.4
"vcar" "chrLR999926.1" "3211" 14389500 44.599 TRUE 1.07
"vcar" "chrLR999926.1" "3290" 15115900 44.599 TRUE 0.25
"vcar" "chrLR999926.1" "3307" 15348100 44.599 TRUE 0.14
"vcar" "chrLR999926.1" "3350" 15440800 44.599 TRUE 0.04
"vcar" "chrLR999926.1" "3427" 16051900 44.599 TRUE -0.47
"vcar" "chrLR999926.1" "3442" 16238800 44.599 TRUE -0.6
"vcar" "chrLR999926.1" "3458" 16328600 44.599 TRUE NA
"vcar" "chrLR999927.1" "3516" 496617 0 TRUE NA
"vcar" "chrLR999927.1" "3529" 663834 2.223 TRUE 2.59
"vcar" "chrLR999927.1" "3550" 1429130 2.223 TRUE 2.34
"vcar" "chrLR999927.1" "3617" 2255160 5.558 TRUE 1.86
"vcar" "chrLR999927.1" "3626" 2645980 5.558 TRUE 1.7
"vcar" "chrLR999927.1" "3683" 4853890 8.892 TRUE 1.59
"vcar" "chrLR999927.1" "3703" 5418040 10.003 TRUE 1.65
"vcar" "chrLR999927.1" "3735" 5461090 10.003 TRUE 1.66
"vcar" "chrLR999927.1" "3774" 5984340 10.003 TRUE 1.76
"vcar" "chrLR999927.1" "3781" 6062580 11.114 TRUE 1.79
"vcar" "chrLR999927.1" "3789" 6066350 11.114 TRUE 1.79
"vcar" "chrLR999927.1" "3825" 6279800 11.114 TRUE 1.87
"vcar" "chrLR999927.1" "3838" 6392530 11.114 TRUE 1.93
"vcar" "chrLR999927.1" "3861" 6419520 11.114 TRUE 1.95
"vcar" "chrLR999927.1" "3876" 6510820 12.226 TRUE 2.06
"vcar" "chrLR999927.1" "3908" 7032930 13.337 TRUE 2.25
"vcar" "chrLR999927.1" "3944" 7263460 13.337 TRUE 2.06
"vcar" "chrLR999927.1" "3947" 7263700 13.337 TRUE 2.06
"vcar" "chrLR999927.1" "3967" 7477800 13.337 TRUE 1.4
"vcar" "chrLR999927.1" "4052" 8250700 15.561 TRUE 4.1
"vcar" "chrLR999927.1" "4055" 8349690 15.561 TRUE 5.53
"vcar" "chrLR999927.1" "4067" 8361950 15.561 TRUE 4.59
"vcar" "chrLR999927.1" "4101" 8491130 15.561 TRUE 5.09
"vcar" "chrLR999927.1" "4110" 8632650 17.784 TRUE 4.24
"vcar" "chrLR999927.1" "4121" 8695360 17.784 TRUE 3.4
"vcar" "chrLR999927.1" "4126" 8727650 17.784 TRUE 3.18
"vcar" "chrLR999927.1" "4136" 8727990 17.784 TRUE 3.18
"vcar" "chrLR999927.1" "4143" 8737540 17.784 TRUE 2.94
"vcar" "chrLR999927.1" "4147" 8737910 17.784 TRUE 2.93
"vcar" "chrLR999927.1" "4158" 8738150 17.784 TRUE 2.93
"vcar" "chrLR999927.1" "4191" 8933400 17.784 TRUE 0.56
"vcar" "chrLR999927.1" "4211" 9120230 17.784 TRUE -0.43
"vcar" "chrLR999927.1" "4221" 9143260 17.784 TRUE 0.9
"vcar" "chrLR999927.1" "4241" 9172720 17.784 TRUE 1.33
"vcar" "chrLR999927.1" "4275" 9402720 17.784 TRUE 2.75
"vcar" "chrLR999927.1" "4279" 9574360 18.896 TRUE 1.55
"vcar" "chrLR999927.1" "4284" 9594310 18.896 TRUE 1.46
"vcar" "chrLR999927.1" "4288" 9594700 18.896 TRUE 1.45
"vcar" "chrLR999927.1" "4299" 9685880 18.896 TRUE 1
"vcar" "chrLR999927.1" "4310" 9739910 18.896 TRUE 0.82
"vcar" "chrLR999927.1" "4329" 9786550 18.896 TRUE 0.72
"vcar" "chrLR999927.1" "4359" 9845880 18.896 TRUE -0.62
"vcar" "chrLR999927.1" "4366" 9962380 18.896 TRUE 1.26
"vcar" "chrLR999927.1" "4383" 10068200 18.896 TRUE 1.66
"vcar" "chrLR999927.1" "4395" 10074300 18.896 TRUE 1.91
"vcar" "chrLR999927.1" "4396" 10074600 18.896 TRUE 1.93
"vcar" "chrLR999927.1" "4415" 10079700 18.896 TRUE 2.01
"vcar" "chrLR999927.1" "4430" 10318900 20.007 TRUE 4.2
"vcar" "chrLR999927.1" "4491" 10617000 21.118 TRUE 1.86
"vcar" "chrLR999927.1" "4504" 10686800 21.118 TRUE 1.26
"vcar" "chrLR999927.1" "4524" 10789300 21.118 TRUE 1.39
"vcar" "chrLR999927.1" "4541" 10796300 21.118 TRUE 1.44
"vcar" "chrLR999927.1" "4542" 10888300 21.118 TRUE 1.25
"vcar" "chrLR999927.1" "4545" 10888500 21.118 TRUE 1.26
"vcar" "chrLR999927.1" "4552" 11066500 21.118 TRUE 0.64
"vcar" "chrLR999927.1" "4585" 11645900 22.229 TRUE 7.12
"vcar" "chrLR999927.1" "4602" 11810900 22.229 TRUE 11.33
"vcar" "chrLR999927.1" "4605" 11819000 22.229 TRUE 11.96
"vcar" "chrLR999927.1" "4620" 11840500 22.229 TRUE 13.28
"vcar" "chrLR999927.1" "4646" 11982400 28.908 TRUE 9.65
"vcar" "chrLR999927.1" "4652" 11982800 28.908 TRUE 9.68
"vcar" "chrLR999927.1" "4656" 12007900 28.908 TRUE 10.52
"vcar" "chrLR999927.1" "4665" 12047900 28.908 TRUE 8.96
"vcar" "chrLR999927.1" "4672" 12062400 28.908 TRUE 12.3
"vcar" "chrLR999927.1" "4680" 12189100 28.908 TRUE 9.15
"vcar" "chrLR999927.1" "4694" 12338700 30.019 TRUE 2.96
"vcar" "chrLR999927.1" "4707" 12654000 30.019 TRUE -1.05
"vcar" "chrLR999927.1" "4752" 12907500 30.019 TRUE 4.61
"vcar" "chrLR999927.1" "4785" 13340100 33.353 TRUE 8.11
"vcar" "chrLR999927.1" "4793" 13373100 33.353 TRUE 8.18
"vcar" "chrLR999927.1" "4802" 13409500 34.465 TRUE 8.24
"vcar" "chrLR999927.1" "4820" 13456900 34.465 TRUE 9.77
"vcar" "chrLR999927.1" "4836" 13513100 34.465 TRUE 11.24
"vcar" "chrLR999927.1" "4859" 13975700 42.248 TRUE 8.46
"vcar" "chrLR999927.1" "4862" 14183700 42.248 TRUE 6.14
"vcar" "chrLR999927.1" "4885" 14316700 43.359 TRUE 5.48
"vcar" "chrLR999927.1" "4919" 14434800 43.359 TRUE 1.94
"vcar" "chrLR999927.1" "4943" 14462400 43.359 TRUE 1.46
"vcar" "chrLR999927.1" "4979" 14685400 43.359 TRUE 2.47
"vcar" "chrLR999927.1" "4987" 14853000 44.471 TRUE 2.17
"vcar" "chrLR999927.1" "5035" 15210700 44.471 TRUE 3.35
"vcar" "chrLR999927.1" "5041" 15263600 44.471 TRUE 3.39
"vcar" "chrLR999927.1" "5047" 15272900 44.471 TRUE 3.4
"vcar" "chrLR999927.1" "5097" 15375400 46.694 TRUE 3.79
"vcar" "chrLR999927.1" "5119" 15598600 46.694 TRUE 4.54
"vcar" "chrLR999927.1" "5124" 15598800 46.694 TRUE NA
"vcar" "chrLR999928.1" "5183" 155970 11.116 TRUE NA
"vcar" "chrLR999928.1" "5242" 371041 12.228 TRUE 0.13
"vcar" "chrLR999928.1" "5264" 657694 12.228 TRUE 0.45
"vcar" "chrLR999928.1" "5267" 657985 12.228 TRUE 0.45
"vcar" "chrLR999928.1" "5299" 824682 12.228 TRUE 0.72
"vcar" "chrLR999928.1" "5393" 1335120 12.228 TRUE 1.47
"vcar" "chrLR999928.1" "5400" 1412610 12.228 TRUE 1.91
"vcar" "chrLR999928.1" "5406" 1434170 12.228 TRUE 2.05
