"mkr" "set" "map" "phys" "gen" "vld" "slidingwindow.3" "slidingwindow" "slidingwindow.2" "slidingwindow.4" "vld.1" "loess" "chr_length" "chr_start" "genome_pos" "rel_pos" "chr_type"
"34" 41652 "vcar" "LR999924.1" 4960900 11.114 TRUE 7.61 12.82 12.82 7.61 TRUE 10.1 17040296 0 4960900 29.1127571962365 "Z"
"35" 41657 "vcar" "LR999924.1" 5288440 18.896 TRUE 7 12.79 12.79 7 TRUE 7.2 17040296 0 5288440 31.034906905373 "Z"
"36" 41664 "vcar" "LR999924.1" 5290550 18.896 TRUE 7 12.79 12.79 7 TRUE 7.14 17040296 0 5290550 31.0472893193874 "Z"
"37" 41683 "vcar" "LR999924.1" 5710880 21.12 TRUE 6.42 2.97 2.97 6.42 TRUE 5.13 17040296 0 5710880 33.5139718230247 "Z"
"38" 41705 "vcar" "LR999924.1" 5869330 21.12 TRUE 3.28 0 0 3.28 TRUE 4.11 17040296 0 5869330 34.4438265626372 "Z"
"39" 41709 "vcar" "LR999924.1" 5944140 21.12 TRUE 3.28 0 0 3.28 TRUE 3.57 17040296 0 5944140 34.8828447580958 "Z"
"40" 41714 "vcar" "LR999924.1" 6151050 21.12 TRUE 1.95 0 0 1.95 TRUE 1.92 17040296 0 6151050 36.0970842290533 "Z"
"41" 41732 "vcar" "LR999924.1" 6257050 21.12 TRUE 1.95 0 0 1.95 TRUE 0.31 17040296 0 6257050 36.7191391511039 "Z"
"42" 41742 "vcar" "LR999924.1" 6261790 21.12 TRUE 1.95 0 0 1.95 TRUE 0.3 17040296 0 6261790 36.7469555693164 "Z"
"43" 41753 "vcar" "LR999924.1" 6378380 21.12 TRUE 1.59 0 0 1.59 TRUE 1.56 17040296 0 6378380 37.4311572991455 "Z"
"44" 41771 "vcar" "LR999924.1" 6765790 21.12 TRUE 1.73 4.03 4.03 1.73 TRUE 1.92 17040296 0 6765790 39.7046506703874 "Z"
"45" 41793 "vcar" "LR999924.1" 6777300 21.12 TRUE 1.73 4.03 4.03 1.73 TRUE 1.92 17040296 0 6777300 39.7721964454139 "Z"
"46" 41799 "vcar" "LR999924.1" 6777560 21.12 TRUE 1.73 4.03 4.03 1.73 TRUE 1.92 17040296 0 6777560 39.7737222405057 "Z"
"47" 41820 "vcar" "LR999924.1" 6958460 23.342 TRUE 2.09 3.85 3.85 2.09 TRUE 2 17040296 0 6958460 40.8353235178544 "Z"
"48" 41822 "vcar" "LR999924.1" 6976100 23.342 TRUE 2.09 3.09 3.09 2.09 TRUE 2.26 17040296 0 6976100 40.9388428463919 "Z"
"49" 41831 "vcar" "LR999924.1" 7077880 23.342 TRUE 2.09 2.43 2.43 2.09 TRUE 2.67 17040296 0 7077880 41.5361329404137 "Z"
"50" 41838 "vcar" "LR999924.1" 7129110 23.342 TRUE 2.09 2.43 2.43 2.09 TRUE 2.16 17040296 0 7129110 41.8367732579293 "Z"
"51" 41857 "vcar" "LR999924.1" 7438950 23.342 TRUE 2.36 1.16 1.16 2.36 TRUE 2.27 17040296 0 7438950 43.6550515319687 "Z"
"52" 41870 "vcar" "LR999924.1" 7471340 23.342 TRUE 2.26 1.29 1.29 2.26 TRUE 2.26 17040296 0 7471340 43.8451303897538 "Z"
"53" 41874 "vcar" "LR999924.1" 7539520 23.342 TRUE 2.45 1.52 1.52 2.45 TRUE 2.2 17040296 0 7539520 44.2452408103709 "Z"
"54" 41880 "vcar" "LR999924.1" 7539850 23.342 TRUE 2.45 1.52 1.52 2.45 TRUE 2.2 17040296 0 7539850 44.247177396449 "Z"
"55" 41894 "vcar" "LR999924.1" 7792640 24.454 TRUE 2.01 2.75 2.75 2.01 TRUE 1.62 17040296 0 7792640 45.7306610166866 "Z"
"56" 41899 "vcar" "LR999924.1" 7885210 24.454 TRUE 2.03 2.75 2.75 2.03 TRUE 2.02 17040296 0 7885210 46.2739027538019 "Z"
"57" 41904 "vcar" "LR999924.1" 7938760 24.454 TRUE 2.16 2.75 2.75 2.16 TRUE 2.4 17040296 0 7938760 46.5881578582907 "Z"
"58" 41923 "vcar" "LR999924.1" 8462210 25.565 TRUE 2.76 2.8 2.8 2.76 TRUE 2.89 17040296 0 8462210 49.6599941691154 "Z"
"59" 41924 "vcar" "LR999924.1" 8496780 25.565 TRUE 2.78 2.8 2.8 2.78 TRUE 2.8 17040296 0 8496780 49.8628662319011 "Z"
"60" 41968 "vcar" "LR999924.1" 8522110 26.676 TRUE 2.78 3.04 3.04 2.78 TRUE 2.73 17040296 0 8522110 50.0115138845006 "Z"
"61" 41973 "vcar" "LR999924.1" 8522390 26.676 TRUE 2.78 3.04 3.04 2.78 TRUE 2.73 17040296 0 8522390 50.0131570484456 "Z"
"62" 41989 "vcar" "LR999924.1" 8825030 26.676 TRUE 2.88 2.55 2.55 2.88 TRUE 2.78 17040296 0 8825030 51.7891825353269 "Z"
"63" 41994 "vcar" "LR999924.1" 8877480 26.676 TRUE 2.88 2.55 2.55 2.88 TRUE 2.79 17040296 0 8877480 52.0969823528887 "Z"
"64" 42000 "vcar" "LR999924.1" 8930760 27.788 TRUE 2.93 2.84 2.84 2.93 TRUE 2.82 17040296 0 8930760 52.4096529778591 "Z"
"65" 42013 "vcar" "LR999924.1" 9016510 27.788 TRUE 2.8 2.36 2.36 2.8 TRUE 2.86 17040296 0 9016510 52.9128719360274 "Z"
"66" 42019 "vcar" "LR999924.1" 9080240 27.788 TRUE 2.8 2.96 2.96 2.8 TRUE 2.95 17040296 0 9080240 53.2868677868037 "Z"
"67" 42021 "vcar" "LR999924.1" 9080570 27.788 TRUE 2.8 2.96 2.96 2.8 TRUE 2.95 17040296 0 9080570 53.2888043728818 "Z"
"68" 42027 "vcar" "LR999924.1" 9212200 27.788 TRUE 2.53 2.96 2.96 2.53 TRUE 2.98 17040296 0 9212200 54.0612674803302 "Z"
"69" 42030 "vcar" "LR999924.1" 9307610 27.788 TRUE 2.44 3.21 3.21 2.44 TRUE 2.84 17040296 0 9307610 54.6211755946023 "Z"
"70" 42035 "vcar" "LR999924.1" 9405930 28.899 TRUE 2.53 2.82 2.82 2.53 TRUE 3.17 17040296 0 9405930 55.1981608770176 "Z"
"71" 42037 "vcar" "LR999924.1" 9406210 28.899 TRUE 2.53 2.82 2.82 2.53 TRUE 3.17 17040296 0 9406210 55.1998040409627 "Z"
"72" 42038 "vcar" "LR999924.1" 9526010 28.899 TRUE 2.46 2.78 2.78 2.46 TRUE 2.54 17040296 0 9526010 55.9028434717331 "Z"
"73" 42056 "vcar" "LR999924.1" 9730840 30.01 TRUE 2.29 1.99 1.99 2.29 TRUE 2.24 17040296 0 9730840 57.1048765819561 "Z"
"74" 42066 "vcar" "LR999924.1" 9955420 30.01 TRUE 2.03 1.88 1.88 2.03 TRUE 1.93 17040296 0 9955420 58.4228114347309 "Z"
"75" 42078 "vcar" "LR999924.1" 9993580 30.01 TRUE 2.03 1.88 1.88 2.03 TRUE 1.88 17040296 0 9993580 58.6467512066692 "Z"
"76" 42085 "vcar" "LR999924.1" 10204500 30.01 TRUE 1.95 1.46 1.46 1.95 TRUE 1.62 17040296 0 10204500 59.8845231326968 "Z"
"77" 42087 "vcar" "LR999924.1" 10204800 30.01 TRUE 1.95 1.46 1.46 1.95 TRUE 1.62 17040296 0 10204800 59.886283665495 "Z"
"78" 42088 "vcar" "LR999924.1" 10253400 30.01 TRUE 1.83 1.71 1.71 1.83 TRUE 1.31 17040296 0 10253400 60.1714899788126 "Z"
"79" 42094 "vcar" "LR999924.1" 10307800 31.121 TRUE 1.61 1.71 1.71 1.61 TRUE 1.56 17040296 0 10307800 60.4907332595631 "Z"
"80" 42106 "vcar" "LR999924.1" 10349800 31.121 TRUE 1.61 1.71 1.71 1.61 TRUE 1.48 17040296 0 10349800 60.737207851319 "Z"
"81" 42114 "vcar" "LR999924.1" 10690400 31.121 TRUE 1.37 1.4 1.4 1.37 TRUE 1.23 17040296 0 10690400 62.7359994216063 "Z"
"82" 42116 "vcar" "LR999924.1" 10728600 31.121 TRUE 1.37 0.82 0.82 1.37 TRUE 1.24 17040296 0 10728600 62.960173931251 "Z"
"83" 42124 "vcar" "LR999924.1" 10948200 31.121 TRUE 1.47 0 0 1.47 TRUE 1.49 17040296 0 10948200 64.2488839395748 "Z"
"84" 42169 "vcar" "LR999924.1" 11458000 32.233 TRUE 1.62 NA NA 1.62 TRUE 1.63 17040296 0 11458000 67.2406160080787 "Z"
"85" 42215 "vcar" "LR999924.1" 12107600 33.344 TRUE 1.98 2.74 2.74 1.98 TRUE 1.95 17040296 0 12107600 71.0527563605703 "Z"
"86" 42219 "vcar" "LR999924.1" 12107900 33.344 TRUE 1.98 2.74 2.74 1.98 TRUE 1.95 17040296 0 12107900 71.0545168933685 "Z"
"87" 42222 "vcar" "LR999924.1" 12161600 33.344 TRUE 2.06 2.74 2.74 2.06 TRUE 2.01 17040296 0 12161600 71.3696522642564 "Z"
"88" 42223 "vcar" "LR999924.1" 12168400 33.344 TRUE 2.06 2.74 2.74 2.06 TRUE 2.02 17040296 0 12168400 71.4095576743503 "Z"
"89" 42226 "vcar" "LR999924.1" 12174800 33.344 TRUE 2.06 2.74 2.74 2.06 TRUE 2.02 17040296 0 12174800 71.4471157073797 "Z"
"90" 42246 "vcar" "LR999924.1" 12536700 34.455 TRUE 2.08 2.1 2.1 2.08 TRUE 2.03 17040296 0 12536700 73.5709051063432 "Z"
"91" 42247 "vcar" "LR999924.1" 12537000 34.455 TRUE 2.08 2.1 2.1 2.08 TRUE 2.03 17040296 0 12537000 73.5726656391415 "Z"
"92" 42251 "vcar" "LR999924.1" 12543000 34.455 TRUE 2.08 2.1 2.1 2.08 TRUE 2.09 17040296 0 12543000 73.6078762951066 "Z"
"93" 42267 "vcar" "LR999924.1" 12558500 34.455 TRUE 2.08 2.1 2.1 2.08 TRUE 2.03 17040296 0 12558500 73.6988371563499 "Z"
"94" 42286 "vcar" "LR999924.1" 12764400 34.455 TRUE 2.08 1.9 1.9 2.08 TRUE 2.04 17040296 0 12764400 74.9071495002199 "Z"
"95" 42295 "vcar" "LR999924.1" 12927700 34.455 TRUE 2.01 1.79 1.79 2.01 TRUE 2.03 17040296 0 12927700 75.8654661867376 "Z"
"96" 42301 "vcar" "LR999924.1" 12998600 35.567 TRUE 2.01 1.79 1.79 2.01 TRUE 2.01 17040296 0 12998600 76.2815387713922 "Z"
"97" 42306 "vcar" "LR999924.1" 13121100 35.567 TRUE 1.99 2.57 2.57 1.99 TRUE 1.98 17040296 0 13121100 77.000422997347 "Z"
"98" 42319 "vcar" "LR999924.1" 13124100 35.567 TRUE 1.99 2.57 2.57 1.99 TRUE 1.91 17040296 0 13124100 77.0180283253296 "Z"
"99" 42323 "vcar" "LR999924.1" 13151700 35.567 TRUE 1.99 2.57 2.57 1.99 TRUE 1.88 17040296 0 13151700 77.1799973427692 "Z"
"100" 42327 "vcar" "LR999924.1" 13157800 35.567 TRUE 1.99 2.57 2.57 1.99 TRUE 2.01 17040296 0 13157800 77.2157948430004 "Z"
"101" 42333 "vcar" "LR999924.1" 13302300 35.567 TRUE 1.91 2.36 2.36 1.91 TRUE 2.26 17040296 0 13302300 78.0637848074939 "Z"
"102" 42373 "vcar" "LR999924.1" 13849100 36.678 TRUE 2.67 2.77 2.77 2.67 TRUE 2.77 17040296 0 13849100 81.2726492544496 "Z"
"103" 42387 "vcar" "LR999924.1" 14250900 37.789 TRUE 3.2 4.11 4.11 3.2 TRUE 2.7 17040296 0 14250900 83.6305895155812 "Z"
"104" 42402 "vcar" "LR999924.1" 14661900 40.012 TRUE 3.87 4.48 4.48 3.87 TRUE 2.23 17040296 0 14661900 86.0425194491927 "Z"
"105" 42417 "vcar" "LR999924.1" 14784600 40.012 TRUE 3.87 0 0 3.87 TRUE 2.21 17040296 0 14784600 86.7625773636796 "Z"
"106" 42465 "vcar" "LR999924.1" 16014300 41.123 TRUE 0.54 1.27 1.27 0.54 TRUE 1.06 17040296 0 16014300 93.9790013037332 "Z"
"107" 42476 "vcar" "LR999924.1" 16051200 42.234 TRUE 0.54 1.27 1.27 0.54 TRUE 1 17040296 0 16051200 94.1955468379188 "Z"
"108" 42481 "vcar" "LR999924.1" 16210800 42.234 TRUE 0.54 1.27 1.27 0.54 TRUE 0.86 17040296 0 16210800 95.1321502865913 "Z"
"109" 42496 "vcar" "LR999924.1" 16341300 42.234 TRUE 0.54 1.27 1.27 0.54 TRUE 0.73 17040296 0 16341300 95.8979820538329 "Z"
"110" 42498 "vcar" "LR999924.1" 16387000 42.234 TRUE 0.54 0.7 0.7 0.54 TRUE 0.68 17040296 0 16387000 96.166169883434 "Z"
"111" 42503 "vcar" "LR999924.1" 16497000 42.234 TRUE 0.54 0.54 0.54 0.54 TRUE 0.55 17040296 0 16497000 96.811698576128 "Z"
"112" 42505 "vcar" "LR999924.1" 16497300 42.234 TRUE 0.54 0.54 0.54 0.54 TRUE 0.55 17040296 0 16497300 96.8134591089263 "Z"
"113" 42514 "vcar" "LR999924.1" 16880600 42.234 TRUE 0.54 0 0 0.54 TRUE 0.13 17040296 0 16880600 99.0628331808321 "Z"
"114" 42517 "vcar" "LR999924.1" 16942500 42.234 TRUE 0.54 0 0 0.54 TRUE NA 17040296 0 16942500 99.426089781539 "Z"
"115" 19 "vcar" "LR999925.1" 642966 0 TRUE 3.12 0 0 3.12 TRUE NA 16607008 17040296 17683262 3.87165466530756 "Autosome"
"116" 21 "vcar" "LR999925.1" 643177 0 TRUE 3.12 0 0 3.12 TRUE 2.18 16607008 17040296 17683473 3.87292521325937 "Autosome"
"117" 24 "vcar" "LR999925.1" 895597 0 TRUE 3.12 3.12 3.12 3.12 TRUE 2.84 16607008 17040296 17935893 5.39288594309101 "Autosome"
"118" 87 "vcar" "LR999925.1" 1347740 2.224 TRUE 4.07 4.92 4.92 4.07 TRUE 4.12 16607008 17040296 18388036 8.11548955717972 "Autosome"
"119" 133 "vcar" "LR999925.1" 2147280 5.562 TRUE 6.1 6.93 6.93 6.1 TRUE 5.64 16607008 17040296 19187576 12.9299630613775 "Autosome"
"120" 141 "vcar" "LR999925.1" 2154670 5.562 TRUE 6.1 6.93 6.93 6.1 TRUE 5.65 16607008 17040296 19194966 12.974462347462 "Autosome"
"121" 143 "vcar" "LR999925.1" 2225780 5.562 TRUE 6.32 6.93 6.93 6.32 TRUE 6.15 16607008 17040296 19266076 13.4026550718829 "Autosome"
"122" 147 "vcar" "LR999925.1" 2251370 6.674 TRUE 6.32 6.93 6.93 6.32 TRUE 5.94 16607008 17040296 19291666 13.5567466457534 "Autosome"
"123" 155 "vcar" "LR999925.1" 2257970 6.674 TRUE 6.32 6.93 6.93 6.32 TRUE 5.86 16607008 17040296 19298266 13.5964889039615 "Autosome"
"124" 165 "vcar" "LR999925.1" 2339600 6.674 TRUE 6.32 8.82 8.82 6.32 TRUE 6.58 16607008 17040296 19379896 14.0880283793444 "Autosome"
"125" 220 "vcar" "LR999925.1" 2759580 11.13 TRUE 5.76 6.59 6.59 5.76 TRUE 6.54 16607008 17040296 19799876 16.6169607433199 "Autosome"
"126" 248 "vcar" "LR999925.1" 2818320 11.13 TRUE 5.76 6.59 6.59 5.76 TRUE 6.03 16607008 17040296 19858616 16.970666841372 "Autosome"
"127" 258 "vcar" "LR999925.1" 2852830 11.13 TRUE 5.76 3.61 3.61 5.76 TRUE 6.05 16607008 17040296 19893126 17.1784706793662 "Autosome"
"128" 298 "vcar" "LR999925.1" 3118530 11.13 TRUE 5.76 3.61 3.61 5.76 TRUE 5.23 16607008 17040296 20158826 18.778397649956 "Autosome"
"129" 340 "vcar" "LR999925.1" 3194020 13.353 TRUE 5.11 3.61 3.61 5.11 TRUE 4.7 16607008 17040296 20234316 19.2329647820968 "Autosome"
"130" 367 "vcar" "LR999925.1" 3746600 13.353 TRUE 4.95 7.46 7.46 4.95 TRUE 3.62 16607008 17040296 20786896 22.5603552427987 "Autosome"
"131" 415 "vcar" "LR999925.1" 4193480 16.688 TRUE 5.53 7.55 7.55 5.53 TRUE 6.2 16607008 17040296 21233776 25.2512674167436 "Autosome"
"132" 420 "vcar" "LR999925.1" 4193800 16.688 TRUE 5.53 7.55 7.55 5.53 TRUE 6.21 16607008 17040296 21234096 25.2531943141112 "Autosome"
"133" 457 "vcar" "LR999925.1" 4442980 17.8 TRUE 6.97 8.86 8.86 6.97 TRUE 7.79 16607008 17040296 21483276 26.7536452080953 "Autosome"
"134" 458 "vcar" "LR999925.1" 4462430 17.8 TRUE 6.97 8.86 8.86 6.97 TRUE 7.72 16607008 17040296 21502726 26.8707644387237 "Autosome"
"135" 472 "vcar" "LR999925.1" 4567010 20.022 TRUE 6.44 8.86 8.86 6.44 TRUE 6.85 16607008 17040296 21607306 27.5004985846939 "Autosome"
"136" 479 "vcar" "LR999925.1" 4567320 20.022 TRUE 6.44 8.86 8.86 6.44 TRUE 6.85 16607008 17040296 21607616 27.5023652665188 "Autosome"
"137" 501 "vcar" "LR999925.1" 4712350 21.134 TRUE 5.69 6.14 6.14 5.69 TRUE 6.33 16607008 17040296 21752646 28.3756712828705 "Autosome"
"138" 504 "vcar" "LR999925.1" 4712700 21.134 TRUE 5.69 6.14 6.14 5.69 TRUE 6.32 16607008 17040296 21752996 28.3777788268663 "Autosome"
"139" 537 "vcar" "LR999925.1" 5091900 22.245 TRUE 5.05 4.35 4.35 5.05 TRUE 4.97 16607008 17040296 22132196 30.66115220755 "Autosome"
"140" 552 "vcar" "LR999925.1" 5092300 22.245 TRUE 5.05 4.35 4.35 5.05 TRUE 4.97 16607008 17040296 22132596 30.6635608292596 "Autosome"
"141" 560 "vcar" "LR999925.1" 5274690 24.469 TRUE 4.05 3.66 3.66 4.05 TRUE 3.6 16607008 17040296 22314986 31.7618321132861 "Autosome"
"142" 578 "vcar" "LR999925.1" 5554310 24.469 TRUE 3.4 3.03 3.03 3.4 TRUE 2.31 16607008 17040296 22594606 33.4455791193694 "Autosome"
"143" 616 "vcar" "LR999925.1" 5631660 24.469 TRUE 3.09 0 0 3.09 TRUE 2.71 16607008 17040296 22671956 33.9113463424598 "Autosome"
"144" 628 "vcar" "LR999925.1" 5639480 24.469 TRUE 3.09 0 0 3.09 TRUE 2.77 16607008 17040296 22679776 33.9584348968821 "Autosome"
"145" 634 "vcar" "LR999925.1" 5639710 24.469 TRUE 3.09 0 0 3.09 TRUE 2.77 16607008 17040296 22680006 33.9598198543651 "Autosome"
"146" 639 "vcar" "LR999925.1" 5845690 24.469 TRUE 2.47 2.46 2.46 2.47 TRUE 2.25 16607008 17040296 22885986 35.2001396037143 "Autosome"
"147" 685 "vcar" "LR999925.1" 6179580 25.58 TRUE 1.83 4.1 4.1 1.83 TRUE 2.05 16607008 17040296 23219876 37.210676360245 "Autosome"
"148" 699 "vcar" "LR999925.1" 6223140 25.58 TRUE 1.83 2.82 2.82 1.83 TRUE 1.94 16607008 17040296 23263436 37.4729752644185 "Autosome"
"149" 716 "vcar" "LR999925.1" 6330620 26.691 TRUE 1.98 2.43 2.43 1.98 TRUE 1.75 16607008 17040296 23370916 38.1201719177831 "Autosome"
"150" 737 "vcar" "LR999925.1" 6679650 26.691 TRUE 1.88 1.17 1.17 1.88 TRUE 1.94 16607008 17040296 23719946 40.2218750060216 "Autosome"
"151" 741 "vcar" "LR999925.1" 6751890 26.691 TRUE 1.88 0 0 1.88 TRUE 1.98 16607008 17040296 23792186 40.656872086772 "Autosome"
"152" 769 "vcar" "LR999925.1" 6913060 26.691 TRUE 2.21 1.8 1.8 2.21 TRUE 2.07 16607008 17040296 23953356 41.6273659891053 "Autosome"
"153" 786 "vcar" "LR999925.1" 7327320 27.802 TRUE 2.13 2.48 2.48 2.13 TRUE 2.19 16607008 17040296 24367616 44.1218550626338 "Autosome"
"154" 792 "vcar" "LR999925.1" 7449020 27.802 TRUE 2.34 3.64 3.64 2.34 TRUE 2.69 16607008 17040296 24489316 44.8546782177741 "Autosome"
"155" 871 "vcar" "LR999925.1" 7789750 28.914 TRUE 2 3.64 3.64 2 TRUE 2.43 16607008 17040296 24830046 46.9064024055387 "Autosome"
"156" 885 "vcar" "LR999925.1" 7860180 28.914 TRUE 2 2.31 2.31 2 TRUE 2.06 16607008 17040296 24900476 47.3305004730533 "Autosome"
"157" 893 "vcar" "LR999925.1" 7880970 30.025 TRUE 2 2.31 2.31 2 TRUE 1.93 16607008 17040296 24921266 47.4556885864088 "Autosome"
"158" 894 "vcar" "LR999925.1" 7881170 30.025 TRUE 2 2.31 2.31 2 TRUE 1.93 16607008 17040296 24921466 47.4568928972636 "Autosome"
"159" 921 "vcar" "LR999925.1" 8301850 30.025 TRUE 1.48 0.56 0.56 1.48 TRUE 1.35 16607008 17040296 25342146 49.9900403492309 "Autosome"
"160" 927 "vcar" "LR999925.1" 8328990 30.025 TRUE 1.36 0.56 0.56 1.36 TRUE 0.93 16607008 17040296 25369286 50.153465332226 "Autosome"
"161" 975 "vcar" "LR999925.1" 8590960 30.025 TRUE 1.12 0.71 0.71 1.12 TRUE 1.16 16607008 17040296 25631256 51.7309319053739 "Autosome"
"162" 989 "vcar" "LR999925.1" 8651060 30.025 TRUE 1.12 1.3 1.3 1.12 TRUE 1.18 16607008 17040296 25691356 52.0928273172386 "Autosome"
"163" 1003 "vcar" "LR999925.1" 8912690 30.025 TRUE 1.52 1.9 1.9 1.52 TRUE 1.47 16607008 17040296 25952986 53.6682465619334 "Autosome"
"164" 1008 "vcar" "LR999925.1" 9016850 30.025 TRUE 1.52 1.9 1.9 1.52 TRUE 1.66 16607008 17040296 26057146 54.2954516551085 "Autosome"
"165" 1048 "vcar" "LR999925.1" 9085580 31.136 TRUE 1.52 1.9 1.9 1.52 TRUE 1.55 16607008 17040296 26125876 54.7093130803574 "Autosome"
"166" 1056 "vcar" "LR999925.1" 9093530 31.136 TRUE 1.52 2.15 2.15 1.52 TRUE 1.57 16607008 17040296 26133826 54.7571844368353 "Autosome"
"167" 1061 "vcar" "LR999925.1" 9134660 31.136 TRUE 1.52 2.15 2.15 1.52 TRUE 1.84 16607008 17040296 26174956 55.0048509641231 "Autosome"
"168" 1066 "vcar" "LR999925.1" 9143560 31.136 TRUE 1.52 2.15 2.15 1.52 TRUE 1.91 16607008 17040296 26183856 55.0584427971613 "Autosome"
