41987 0 0 LR999924.1	8672229
41773 30 31 LR999924.1	6765813*
41781 30 31 LR999924.1	6765956*
41772 30 31 LR999924.1	6765800*
41794 30 31 LR999924.1	6777305*
41787 30 31 LR999924.1	6765991
41782 30 31 LR999924.1	6765959*
41756 30 31 LR999924.1	6378436
41714 30 31 LR999924.1	6151050*
41786 30 31 LR999924.1	6765981*
41716 30 31 LR999924.1	6151231*
41688 30 31 LR999924.1	5711128*
41774 30 31 LR999924.1	6765815*
41793 30 31 LR999924.1	6777296*
41785 30 31 LR999924.1	6765971*
41771 30 31 LR999924.1	6765791*
41707 30 31 LR999924.1	5869403*
41742 30 31 LR999924.1	6261788
41798 30 31 LR999924.1	6777358*
41705 30 31 LR999924.1	5869331*
41708 30 31 LR999924.1	5869443*
41709 30 31 LR999924.1	5944142
41715 30 31 LR999924.1	6151229*
41784 30 31 LR999924.1	6765969*
41776 30 31 LR999924.1	6765826*
41683 30 31 LR999924.1	5710877*
41795 30 31 LR999924.1	6777309*
41780 30 31 LR999924.1	6765937*
41684 30 31 LR999924.1	5710951*
41799 30 31 LR999924.1	6777555
41796 30 31 LR999924.1	6777316*
41689 30 31 LR999924.1	5711130*
41691 30 31 LR999924.1	5711189
41736 30 31 LR999924.1	6257278*
41755 30 31 LR999924.1	6378417*
41797 30 31 LR999924.1	6777330*
41740 30 31 LR999924.1	6257359
41775 30 31 LR999924.1	6765820*
41753 30 31 LR999924.1	6378381*
41739 30 31 LR999924.1	6257335*
41783 30 31 LR999924.1	6765965*
41665 33 33 LR999924.1	5290606*
41658 33 33 LR999924.1	5288565*
41657 33 33 LR999924.1	5288440*
41660 33 33 LR999924.1	5288654
41666 33 33 LR999924.1	5290648
41659 33 33 LR999924.1	5288566*
41664 33 33 LR999924.1	5290549*
41654 37 37 LR999924.1	4960913*
41653 37 37 LR999924.1	4960910*
41496 39 39 LR999924.1	3516890
41515 39 40 LR999924.1	3695555*
41605 39 40 LR999924.1	4678317*
41513 39 40 LR999924.1	3695380*
41651 39 40 LR999924.1	4740500
41535 39 41 LR999924.1	4062578
41619 39 40 LR999924.1	4702506*
41609 39 40 LR999924.1	4678579
41608 39 40 LR999924.1	4678530*
41602 39 40 LR999924.1	4678297*
41601 39 40 LR999924.1	4678293*
41617 39 40 LR999924.1	4702483*
41555 39 40 LR999924.1	4133548*
41584 39 40 LR999924.1	4412986
41477 39 40 LR999924.1	3376835*
41622 39 40 LR999924.1	4710674
41551 39 40 LR999924.1	4133320*
41510 39 40 LR999924.1	3517337*
41614 39 40 LR999924.1	4702335*
41607 39 40 LR999924.1	4678339*
41553 39 40 LR999924.1	4133329
41634 39 40 LR999924.1	4711009*
41606 39 40 LR999924.1	4678319*
41618 39 40 LR999924.1	4702484*
41464 39 40 LR999924.1	3149371*
41603 39 40 LR999924.1	4678309*
41616 39 40 LR999924.1	4702375*
41604 39 40 LR999924.1	4678315*
41465 39 40 LR999924.1	3149386*
41459 39 40 LR999924.1	3066453
41506 39 40 LR999924.1	3517285
41613 39 40 LR999924.1	4702332*
41517 39 40 LR999924.1	3695609*
41635 39 40 LR999924.1	4711013*
41500 39 40 LR999924.1	3516967*
41467 39 40 LR999924.1	3149452
41556 39 40 LR999924.1	4133620
41516 39 40 LR999924.1	3695571*
41633 39 40 LR999924.1	4710997*
41642 41 41 LR999924.1	4740195
41652 41 42 LR999924.1	4960898*
41349 42 46 LR999924.1	1432197*
41346 42 46 LR999924.1	1432138*
41347 42 46 LR999924.1	1432154*
41345 42 46 LR999924.1	1432093*
41348 42 46 LR999924.1	1432186*
41366 47 47 LR999924.1	1759636
41447 47 47 LR999924.1	2684109*
41449 47 47 LR999924.1	2684189
41384 47 47 LR999924.1	2038988*
41364 47 47 LR999924.1	1759558*
41435 47 47 LR999924.1	2544418*
41377 47 47 LR999924.1	1957634
41430 47 47 LR999924.1	2449557
41434 47 47 LR999924.1	2544264*
41363 47 47 LR999924.1	1759540*
41386 47 47 LR999924.1	2039103
41439 47 47 LR999924.1	2568454*
41436 47 47 LR999924.1	2544496
41383 47 47 LR999924.1	2038946*
41381 47 47 LR999924.1	2038858*
41385 47 47 LR999924.1	2039012*
41382 47 47 LR999924.1	2038877*
41446 47 47 LR999924.1	2683879*
41365 47 47 LR999924.1	1759601*
41441 47 47 LR999924.1	2643147
41338 48 48 LR999924.1	1413655*
41357 48 48 LR999924.1	1535895 51
41339 48 48 LR999924.1	1413677
41335 48 48 LR999924.1	1413499*
41246 49 49 LR999924.1	942878
41242 49 49 LR999924.1	860316*
41258 49 49 LR999924.1	943321*
41203 49 49 LR999924.1	406387*
41199 49 49 LR999924.1	377201
41206 49 49 LR999924.1	406682
41259 49 49 LR999924.1	943339
41243 49 49 LR999924.1	860327*
41202 49 49 LR999924.1	406369*
41256 49 49 LR999924.1	943232*
41241 49 49 LR999924.1	860304*
41205 50 50 LR999924.1	406648*
41264 50 50 LR999924.1	1025855* 53
41266 50 50 LR999924.1	1025858* 53
41236 50 50 LR999924.1	860172*
41265 50 50 LR999924.1	1025857* 53
41237 50 50 LR999924.1	860177
41263 50 50 LR999924.1	1025845*
41230 49 50 LR999924.1	702834
41267 50 50 LR999924.1	1026042 53
41232 42 48 LR999924.1	702948 53
41350 42 48 LR999924.1	1432298 53
41312 51 53 LR999924.1	1368716
41356 48 48 LR999924.1	1535701* 53
41304 51 53 LR999924.1	1356024
41344 42 48 LR999924.1	1432090* 53
41422 53 53 LR999924.1	2394148*
41343 53 55 LR999924.1	1432079*
41276 55 56 LR999924.1	1080483
41401 56 58 LR999924.1	2183815
41317 58 62 LR999924.1	1368725
41252 62 71 LR999924.1	943107
41250 62 71 LR999924.1	942945
41251 62 71 LR999924.1	942991
41492 75 76 LR999924.1	3401382
41554 75 75 LR999924.1	4133357*
41732 76 76 LR999924.1	6257050
41735 76 76 LR999924.1	6257108*
41741 76 76 LR999924.1	6257360*
41733 76 76 LR999924.1	6257054
41734 76 76 LR999924.1	6257056
41921 77 79 LR999924.1	8451461
42288 77 79 LR999924.1	12764467
42289 77 79 LR999924.1	12764480*
42354 81 81 LR999924.1	13719979
41145 81 91 LR999940.1	12249227
42353 81 91 LR999924.1	13719740
41177 81 91 LR999940.1	13809338
40825 81 91 LR999940.1	350778
41132 81 91 LR999940.1	11807823
41143 81 91 LR999940.1	12249177*
41133 81 91 LR999940.1	12167066
42355 98 98 LR999924.1	13720020
