orthogroup gr01 gr02	sp01 sp02	spM01 spM02	spT01 spT02	spV01 spV02	spMs01 spMs02	spVs01 spVs02
OG0004732 -12.3761412860363 -12.376141284683	-12.3539553692026 -12.3520838346802	-12.3168874655358 -12.3167697486672	-12.3521363614231 -12.3520838346802	-12.3240001727546 -12.3167646931983	-12.3580053859969 -12.3167589922996	-12.316800745589 -12.3167590202914
OG0004733 -10.1789168128866 -10.1789152865638	-10.1548425983947 -10.1548589310547	-10.1252112627339 -10.1247898279319	-9.93995275565415 -9.93995160840255	-9.93186450800547 -10.0845282016644	-10.2671623772657 -10.1244663817505	-10.10168854758 -10.101647422531
OG0004734 -10.1789161115826 -10.1789152866731	-10.1548634374692 -10.1548589501099	-10.124960380771 -10.1247898279384	-9.94346334712124 -9.93995160840255	-9.93553982678412 -10.0845282016907	-10.1275869194654 -10.124466383327	-10.101654943211 -10.1016474225936
OG0004735 -10.1789159598954 -10.1789152509175	-10.1550762317814 -10.1548589500989	-10.124814654548 -10.1248251520986	-10.1548587890408 -10.1548589500989	-10.2507697084296 -10.1260381216375	-10.1244648714744 -10.1244663838695	-10.124477986253 -10.1244646878421
OG0004736 -11.2775286729905 -11.2775287887336	-11.2534707734714 -11.2534970277653	-11.2230765765354 -11.2262781089308	-11.2535052325227 -11.2534970277653	-11.2242701491744 -11.2236620330069	-11.2328451451368 -11.2230768762193	-11.2437227683896 -11.2231960782185
OG0004737 -10.1789158813816 -10.1789152505352	-10.1548565632073 -10.1548588929276	-10.149855962569 -10.1248251520825	-10.1547375379428 -10.1548588929276	-10.1245371138092 -10.1260381216267	-10.1244647573305 -10.1244663799327	-10.1241583435799 -10.1244646873759
OG0004738 -11.9706762429109 -11.9706719510207	-11.946618541905 -11.9466185758436	-11.9205099855872 -11.9291975903964	-11.7317123773937 -11.7317122892098	-11.7327897948727 -11.7287914889113	-11.9162864703357 -11.9162242244929	-11.8952133481947 -11.893407848511
OG0004739 -10.5843823288082 -10.5843815370154	-8.93430717760377 -10.5603232207883	-10.7025698981115 -10.5318701831932	-6.69335932592429 -9.49592346133707	-9.49760941952264 -9.49592413335725	-10.5302985182892 -10.5299275028374	-10.0191981195184 -10.0193265696055
OG0004740 -6.84873272746116 -10.1789152508241	-10.1548628787909 -10.1548589354265	-10.2007564743602 -10.1248251520929	-8.89168806359652 -10.1548589354265	-8.56776704026132 -10.1260381216335	-10.124464806463 -10.1244663825792	-10.1244645228973 -10.1244646876834
OG0004741 -10.87206393904 -10.8720639499237	-10.633099802086 -10.6330993403016	-10.624859846747 -10.6263738108716	-10.1665478486457 -10.8480092161199	-10.625182793879 -10.6259728956166	-11.3130600956894 -10.7955189215393	-10.794795154282 -10.7947966368598
OG0004742 -10.8721402038138 -10.8720639499274	-10.8480074593825 -10.8480092161305	-10.8176212060571 -10.8177618637728	-10.6562618459745 -10.6330993403023	-10.6235732138223 -10.6263208998778	-10.8176419644137 -10.8176118647434	-10.7975437169928 -10.794796636992
OG0004743 -11.2775287974335 -11.2775280662881	-9.98191982454686 -9.98270636541559	-10.2275818700218 -9.91817588519611	-11.2508017382522 -11.2534970303584	-10.2343381877661 -9.91878117397298	-10.6113771278448 -10.6179569490019	-10.6113045500836 -10.6113044548374
OG0004744 -10.1790449896343 -10.1789152865638	-9.93995277131163 -9.93995160840255	-10.3385111409267 -9.9319548816031	-10.1548588915235 -10.1548589310179	-9.93201899367185 -9.93890001919367	-10.1016774777691 -10.1019548088692	-10.1016481519433 -10.101647422531
OG0004745 -13.4576232936519 -13.457617941068	-12.3495354832374 -12.3494740097298	-11.107764010996 -10.8233180195385	-12.3824429638053 -12.3824644589017	-11.4726385748298 -11.4657793883395	-10.9909232609825 -10.990974952973	-13.3319200008328 -13.3318319056269
OG0004746 -10.1788565331538 -10.1789152505352	-10.1548590176837 -10.1548588929276	-10.1257881000594 -10.1248251520825	-10.1548537057764 -10.1548588929276	-10.1228891901077 -10.1260381216267	-10.1245211875833 -10.1244663799327	-10.0959143664989 -10.1244646873759
OG0004747 -10.178916423727 -10.1789152508241	-10.1548589658492 -10.1548589354265	-8.37818296057529 -10.1248251520929	-10.1548589934853 -10.1548589354265	-10.2272798629156 -10.1260381216335	-10.124465001218 -10.1244663825792	-10.1144449681677 -10.1244646876834
OG0004748 -10.8720635546633 -10.8720639477508	-10.8480060285392 -10.848009215972	-9.51296545912103 -9.51274870769789	-10.8480061911397 -10.848009215972	-10.8188040554264 -10.9228295804989	-10.205762787756 -9.54544448607732	-10.8176113965311 -10.8176118262342
OG0004749 -10.1789162568012 -10.1789152508241	-10.1625881787962 -10.1548589354265	-10.1259824613482 -10.1248251520929	-10.1548594394513 -10.1548589354265	-10.1598350160405 -10.1260381216335	-10.1244649188011 -10.1244663825792	-10.12449351567 -10.1244646876834
OG0004750 -10.6185804729541 -10.584381358602	-10.5603237003784 -10.5603232207735	-10.0419540885138 -10.5299301134072	-10.5565352942358 -10.5603232207735	-10.5492183680143 -10.533412785363	-10.5298732196784 -10.5299275027951	-10.5292755489219 -10.5299300244626
OG0004751 -10.5843749128942 -10.5843813593701	-10.5603252124198 -10.5603232207907	-10.5376103369435 -10.5299301166624	-10.5609305444349 -10.5603232207907	-10.5426056917271 -10.5334128208712	-10.5299598706994 -10.5299275027953	-10.5299297403589 -10.5299300245958
OG0004752 -10.1789457633628 -10.1789152865797	-9.94006350215243 -9.93995160840255	-10.0406415844366 -9.93195488209721	-10.1549402701946 -10.1548589354374	-12.5023152224655 -9.93890024600741	-10.1038976030763 -10.1019548088892	-10.1016473251006 -10.1016474225399
OG0004753 -10.5843787312262 -10.5843815370154	-13.0798207028452 -10.5603232207883	-10.5358142535832 -10.5318701831932	-9.49592199185596 -9.49592346133707	-9.49592423803286 -9.49592413335725	-10.5293062390993 -10.5299275028374	-10.01917471881 -10.0193265696055
OG0004754 -11.9706760452469 -11.9706761834102	-11.9466184634686 -11.9466184150168	-11.9427552514872 -11.9135346068438	-11.9466184110579 -11.9466184150168	-11.9238887556413 -11.9136076245668	-11.9135468101947 -11.9135355736339	-11.9135347722937 -11.9135356619963
OG0004755 -10.1789077728492 -10.1789152509334	-10.1548579180734 -10.1548589544817	-10.1247520260399 -10.1248251520994	-10.1548684590318 -10.1548589544817	-10.1255893923908 -10.126038121638	-10.1243766718791 -10.1244663841558	-10.1244820773835 -10.12446468787
OG0004756 -10.8727735192093 -10.8720639575243	-10.6147968806674 -10.6330993402924	-10.9550531291294 -10.6263737668008	-9.57647924515944 -9.5786406307365	-7.85712675831347 -9.43743783890329	-10.8204360773021 -10.7955209630528	-10.8176117939237 -10.8178538014165
OG0004757 -13.7101168505135 -13.7341644673893	-12.8156572050451 -12.8156573180036	-11.6884237088496 -11.7346007764288	-13.364653498469 -13.3646776564595	-12.4838014425146 -12.4951009546785	-11.733666901842 -11.7336773652309	-13.184160452833 -13.1841636170893
OG0004758 -10.5846690837736 -10.584381358602	-10.5603239789289 -10.5603232207735	-10.5396603311736 -10.5299301134072	-10.5603241259618 -10.5603232207735	-10.6224050335327 -10.533412785363	-9.7444841250619 -10.5299275027951	-10.5299292722177 -10.5299300244626
OG0004759 -10.178914632999 -10.1789152865638	-10.154858729237 -10.1548589310547	-10.1247059376891 -10.1247898279319	-9.93995270748325 -9.93995160840255	-9.93298865395425 -10.0845282016644	-10.1244772793741 -10.1244663817505	-10.1016352235835 -10.101647422531
OG0004760 -10.1789167553102 -10.1789152508241	-10.154858879371 -10.1548589354265	-10.1579553336809 -10.1248251520929	-10.1548590394326 -10.1548589354265	-10.1252763486485 -10.1260381216335	-10.1244644256529 -10.1244663825792	-10.1244651859925 -10.1244646876834
OG0004761 -10.1789116614883 -10.1789152508241	-10.1548518312444 -10.1548589354265	-10.1541443297478 -10.1248251520929	-10.1548632752038 -10.1548589354265	-10.1245574550607 -10.1260381216335	-10.1244820885272 -10.1244663825792	-10.1243768258746 -10.1244646876834
OG0004762 -10.1784125297409 -10.1789152509175	-10.1559675134728 -10.1548589501112	-10.2420869815233 -10.1248251520986	-10.1583729291096 -10.1548589501112	-10.1579640574428 -10.1260381216375	-10.1248942436018 -10.1244663838698	-10.1244636329569 -10.1244646878421
OG0004763 -10.1825005038961 -10.1789152865638	-10.1550596924743 -10.1548589310547	-10.2657755776609 -10.1247898279319	-9.93995326316912 -9.93995160840255	-9.93177335565351 -10.0845282016644	-10.1223921561645 -10.1244663817505	-10.1019448106067 -10.101647422531
OG0004764 -10.1789163412835 -10.1789152865638	-10.1548585442194 -10.1548589310179	-10.5737438891302 -10.1247898279319	-9.93995360380547 -9.93995160840255	-9.93195282317164 -10.0845282016644	-10.1244644428255 -10.1244663817497	-10.1017345818832 -10.101647422531
OG0004765 -10.5843808874824 -10.584381358602	-10.5828610416959 -10.5603232207735	-10.5324530920706 -10.5299301134072	-10.5602697717779 -10.5603232207735	-10.5372897633986 -10.533412785363	-10.5299281109023 -10.5299275027951	-10.5299296220044 -10.5299300244626
OG0004766 -11.2775290473587 -11.2775280662547	-9.98206782574086 -9.9827063652377	-9.91897520596628 -9.91817588517719	-11.2534710914246 -11.2534970302965	-10.1407937870919 -9.91878117397128	-10.6154600924752 -10.6179569486868	-10.6472765717293 -10.6113044547049
OG0004767 -10.5843806401682 -10.584381358602	-10.5603242248028 -10.5603232207735	-10.5307567338313 -10.5299301134072	-10.5603244554493 -10.5603232207735	-10.6730347813914 -10.533412785363	-10.7872283935106 -10.5299275027951	-10.5301580357581 -10.5299300244626
OG0004768 -10.1789167178195 -10.1789152509175	-10.154859616446 -10.1548589500989	-10.1737903421117 -10.1248251520986	-8.32117179025978 -10.1548589500989	-10.4580244497242 -10.1260381216375	-10.1244051337752 -10.1244663838695	-10.1244693639375 -10.1244646878421
OG0004769 -10.1789757078658 -10.1789152509175	-8.58447856790765 -10.1548589500989	-10.1245826929686 -10.1248251520986	-10.1549424326864 -10.1548589500989	-10.124721201039 -10.1260381216375	-10.1244680356584 -10.1244663838695	-10.1244648585811 -10.1244646878421
OG0004770 -10.1789112597611 -10.1789152866731	-10.1548583022768 -10.1548589501099	-10.3176364952505 -10.1247898279384	-9.95192461277437 -9.93995160840255	-10.2579614408762 -10.0845282016907	-10.1244645681744 -10.124466383327	-10.1016478999247 -10.1016474225936
OG0004771 -10.178916760778 -10.1789152509175	-10.154908019923 -10.1548589500989	-11.0246187517894 -10.1248251520986	-10.1549092532446 -10.1548589500989	-10.5652320409236 -10.1260381216375	-10.1250363848552 -10.1244663838695	-10.1244656275707 -10.1244646878421
OG0004772 -11.9706761554697 -11.9706761834622	-11.946817894613 -11.9466184150179	-11.9140079883516 -11.9135363138769	-11.9469454277754 -11.9466184150179	-11.9164371371238 -11.9136076245747	-11.9135355053831 -11.9135355736371	-11.913535455795 -11.9135356620214
OG0004773 -7.05616646018628 -7.05616648245138	-7.02468582308534 -6.96083011419451	-6.80573996214964 -6.80202556672285	-6.95502165396686 -6.96083011419451	-6.82233038892232 -6.83723729531714	-6.78917128194909 -6.80650935946817	-6.83409584098961 -6.82462572614425
OG0004774 -10.1788487728347 -10.1789152508082	-10.1725117544774 -10.1548589310438	-6.68358597323141 -10.1862233383017	-10.1548564492947 -10.1548589310438	-10.1244767068808 -10.1260381216331	-10.1014043495952 -10.1011482146831	-10.1244645429839 -10.1244646876555
OG0004775 -11.2775252530873 -11.2775287887396	-11.2534702775701 -11.2534970277775	-11.030373962018 -11.0309801617993	-11.2534711408869 -11.2534970277775	-11.2231675743445 -11.223662033023	-11.1934023155092 -11.1998948678093	-11.2230930490021 -11.2231960787048
OG0004776 -10.5843818454272 -10.584381358602	-10.560649958943 -10.5603232207735	-10.5386752795289 -10.5299301134072	-10.5603242534832 -10.5603232207735	-10.5307206877546 -10.533412785363	-10.5297467452781 -10.5299275027951	-10.5258600907647 -10.5299300244626
OG0004777 -10.1788577925953 -10.1789152509175	-10.1549934335453 -10.1548589501112	-10.2537341587139 -10.1248251520986	-10.1548597816423 -10.1548589501112	-10.1753687739454 -10.1260381216375	-9.80439928781622 -10.1244663838698	-9.49727714645683 -10.1244646878421
OG0004778 -10.5843821405189 -10.5843815370154	-10.5808183904257 -10.5603232207883	-11.043344709151 -10.5318701831932	-9.49592268909074 -9.49592346133707	-9.60420598805843 -9.49592413335725	-10.5296844119456 -10.5299275028374	-10.0191722687957 -10.0193265696055
OG0004779 -10.1789173120787 -10.1789152508082	-10.1548591502647 -10.1548589310438	-6.29812558088012 -10.1862233383017	-10.1548556894383 -10.1548589310438	-10.139002700578 -10.1260381216331	-10.1008140555029 -10.1011482146831	-10.124464542759 -10.1244646876555
OG0004780 -10.5843586103735 -10.5843813593701	-10.5603240306053 -10.5603232207907	-10.6299050338336 -10.5299301166624	-10.5604414357178 -10.5603232207907	-10.5533881019036 -10.5334128208712	-10.5299510873412 -10.5299275027953	-10.5299296666262 -10.5299300245958
OG0004781 -10.5870865161715 -10.5843813593701	-10.560438307737 -10.5603232207907	-10.5584315918174 -10.5299301166624	-10.5603250021048 -10.5603232207907	-10.5315852988034 -10.5334128208712	-10.5299307848896 -10.5299275027953	-10.5303069559929 -10.5299300245958
OG0004782 -11.2775224450917 -11.2775287883834	-11.2590470290782 -11.2534970271721	-11.2960805933129 -11.2262781088869	-10.8267937209984 -11.2534970271721	-11.2319612013138 -11.2236620323586	-11.2230768665139 -11.2230768689973	-10.8845462978573 -11.2231960631514
OG0004783 -10.5843547782981 -10.584381358602	-10.5603233060279 -10.5603232207735	-10.5710313424483 -10.5299301134072	-10.5473477229366 -10.5603232207735	-10.8145330360665 -10.533412785363	-10.5299263320704 -10.5299275027951	-10.5299296446788 -10.5299300244626
OG0004784 -10.1789290973984 -10.1789152866731	-10.1549227032174 -10.1548589501099	-10.1246483297678 -10.1247898279384	-9.94055554888914 -9.93995160840255	-9.9349119090624 -10.0845282016907	-10.1244644949962 -10.124466383327	-10.101687677335 -10.1016474225936
OG0004785 -10.5843570381824 -10.5843813593701	-10.5603253305631 -10.5603232207907	-10.7569309565906 -10.5299301166624	-10.5603507886896 -10.5603232207907	-10.5308484529999 -10.5334128208712	-10.5299214864394 -10.5299275027953	-10.5299306348722 -10.5299300245958
OG0004786 -10.1791198566004 -10.1789152866731	-10.154862998796 -10.1548589501099	-10.1443773474603 -10.1247898279384	-9.93991829076845 -9.93995160840255	-10.059048128383 -10.0845282016907	-10.1244645828949 -10.124466383327	-10.1016447352407 -10.1016474225936
OG0004787 -10.1789148444199 -10.1789152509175	-10.1548596913875 -10.1548589500989	-10.1258746981376 -10.1248251520986	-10.1566900295723 -10.1548589500989	-10.1269689779737 -10.1260381216375	-10.1244646429727 -10.1244663838695	-10.123777449655 -10.1244646878421
OG0004788 -10.1789165419086 -10.1789151614432	-9.93995179037032 -9.93995160840243	-10.0857694043812 -9.93195488897408	-9.93997661082296 -9.93995160840243	-9.63584197253779 -9.61390806896178	-10.1145850265819 -10.1019543421942	-9.61318714872188 -9.61370222133566
OG0004789 -6.8210131601112 -10.1789152509175	-10.1548589833662 -10.1548589500989	-10.1831390776975 -10.1248251520986	-10.1549916542792 -10.1548589500989	-10.1248314059063 -10.1260381216375	-10.1244753745687 -10.1244663838695	-10.1244639932352 -10.1244646878421
OG0004790 -10.178905112016 -10.1789152509175	-10.1548589416227 -10.1548589500989	-10.1253490278942 -10.1248251520986	-10.1548608131463 -10.1548589500989	-10.1247528004692 -10.1260381216375	-10.1244635763342 -10.1244663838695	-10.1245932969017 -10.1244646878421
OG0004791 -9.61712196549847 -10.1789152865797	-10.1549932706131 -10.1548589354374	-10.1370360166447 -10.1247898279326	-9.93995144217329 -9.93995160840255	-9.93791626118224 -10.0845282016679	-12.0772903947183 -10.1244663820368	-10.1016484936442 -10.1016474225399
OG0004792 -11.2775283122528 -11.2775280662058	-9.98191643005001 -9.98270636507106	-9.92521364765323 -9.91817588516613	-11.2539244247148 -11.2534970302113	-9.93886812710509 -9.91878117397053	-10.611828537708 -10.617956948407	-10.6147048242175 -10.611304454605
OG0004793 -11.4535167640933 -11.5652109012268	-10.2696111671531 -10.26946391115	-10.2053080092651 -10.2160424386385	-10.2699600735758 -10.26946391115	-8.91989158461194 -8.80163439477415	-9.52221758105884 -10.8989968705729	-8.80075216460835 -8.80080583370373
OG0004794 -11.2663950684747 -11.2775280662486	-9.98191334928862 -9.9827063651992	-10.417035481965 -9.91817588517417	-11.2534713531479 -11.2534970302844	-9.92152349049338 -9.91878117397108	-10.6113091736771 -10.6179569486138	-10.6113055698276 -10.6113044546776
OG0004795 -10.5843816629873 -10.584381358602	-10.6130113498093 -10.5603232207735	-10.5307078983236 -10.5299301134072	-10.5603239046856 -10.5603232207735	-10.5370031820246 -10.533412785363	-10.5299298453963 -10.5299275027951	-10.5299298553082 -10.5299300244626
OG0004796 -10.1789167724375 -10.1789152865638	-10.1548598229038 -10.1548589310547	-10.1686259203815 -10.1247898279319	-9.93995271150901 -9.93995160840255	-9.93219376124929 -10.0845282016644	-10.1244651189079 -10.1244663817505	-10.1016810040465 -10.101647422531
OG0004797 -11.2775278379403 -11.2775287886951	-11.2534713340989 -11.2534970276913	-11.6238100340882 -11.2262781089245	-11.2534711470214 -11.2534970276913	-11.2527459687219 -11.2236620329103	-11.2230834631737 -11.2230768751988	-11.2230768784851 -11.2231960761444
OG0004798 -10.1789164664029 -10.1789152509175	-10.1548591938584 -10.1548589500989	-10.1253986414893 -10.1248251520986	-10.1548589179798 -10.1548589500989	-10.1529127253759 -10.1260381216375	-10.1244646516976 -10.1244663838695	-10.1235242552742 -10.1244646878421
OG0004799 -10.1789111925522 -10.1789152508241	-10.154859058093 -10.1548589354265	-10.1611990313574 -10.1248251520929	-10.1548604221352 -10.1548589354265	-10.1367186491684 -10.1260381216335	-10.1244657162782 -10.1244663825792	-10.1246749581299 -10.1244646876834
OG0004800 -10.1788882316831 -10.1789152505352	-10.1658086922157 -10.1548588929276	-10.141026319972 -10.1248251520825	-10.1548583638608 -10.1548588929276	-10.2509439430579 -10.1260381216267	-10.1244510891126 -10.1244663799327	-9.20828938298674 -10.1244646873759
OG0004801 -10.5843877617684 -10.5843815370154	-9.49592237337908 -9.49592346133707	-9.64662972674306 -9.4959633024438	-10.5603248324391 -10.5603232207883	-9.80465282420561 -9.49836451863837	-10.0471328839905 -10.0207025279127	-10.0741294476666 -10.0193265696055
OG0004802 -13.2501151811853 -13.2501169189967	-12.1887091934922 -12.0494853837949	-10.5925355988876 -10.5928385242175	-12.8440758152827 -12.8440796795126	-11.8143302150052 -11.8150559868703	-10.5930885477007 -10.5935638849321	-13.2003924168735 -13.2003848598474
OG0004803 -10.1789167460012 -10.1789152509334	-10.1548589487546 -10.1548589544817	-10.1678963254174 -10.1248251520994	-8.29764126889206 -10.1548589544817	-10.2751447859776 -10.126038121638	-10.1244830711602 -10.1244663841558	-10.1259179055886 -10.12446468787
OG0004804 -10.5843436935103 -10.584381358602	-10.5603240850315 -10.5603232207735	-10.5315662113945 -10.5299301134072	-10.5603116085723 -10.5603232207735	-10.5356245823286 -10.533412785363	-10.5299295073992 -10.5299275027951	-10.5299299687896 -10.5299300244626
OG0004805 -10.5841998842627 -10.5843813587269	-10.5603240187315 -10.5603232207754	-10.5300779702946 -10.5299301140001	-10.5603226667476 -10.5603232207754	-10.5304094113501 -10.5334127934296	-10.5299301646506 -10.5299275027951	-10.5300396369314 -10.5299300244808
OG0004806 -10.872064086754 -10.8720639499261	-10.6330971186808 -10.633099340302	-10.316166810055 -10.3070546068443	-10.8480170705963 -10.8480092161267	-10.6249434104397 -10.6259728956167	-10.4545163677224 -10.3305367877298	-10.7967129700332 -10.7947966369215
OG0004807 -10.1789162196208 -10.1789152865797	-10.0456150571706 -9.93995160840255	-7.20123210149387 -9.93195488209721	-10.1555053756418 -10.1548589354374	-9.93176781567918 -9.93890024600741	-10.101648397951 -10.1019548088892	-10.1019937273057 -10.1016474225399
OG0004808 -10.8719502970155 -10.8720639477535	-10.8574859075006 -10.8480092159795	-10.6708323814552 -10.6249002172755	-10.8480310866068 -10.8480092159795	-10.8193362455505 -10.9228295805028	-10.7946406368456 -10.7941923026678	-10.8176063502234 -10.8176118306442
OG0004809 -5.47817845973953 -10.1789152505352	-10.2326968637525 -10.1548588929276	-10.1271827665555 -10.1248251520825	-10.1548227580481 -10.1548588929276	-10.1246472921033 -10.1260381216267	-10.1244676582851 -10.1244663799327	-10.1244635399824 -10.1244646873759
OG0004810 -10.1789166653833 -10.1789152509175	-10.1548949553719 -10.1548589500989	-10.1289875216008 -10.1248251520986	-10.2785764890759 -10.1548589500989	-10.1436388911669 -10.1260381216375	-10.1244907332651 -10.1244663838695	-10.124513386276 -10.1244646878421
OG0004811 -10.17891416208 -10.1789152505352	-10.1549942714126 -10.1548588929276	-6.98738758147949 -10.1248251520825	-10.154858947733 -10.1548588929276	-10.1298226779843 -10.1260381216267	-10.1244914090091 -10.1244663799327	-10.1244643679421 -10.1244646873759
OG0004812 -10.1789166622351 -10.1789152865638	-10.2780556243489 -10.1548589310547	-10.3286987336962 -10.1247898279319	-9.9399516928291 -9.93995160840255	-9.93883955622189 -10.0845282016644	-10.124464746701 -10.1244663817505	-10.1016479975781 -10.101647422531
OG0004813 -10.8720632493617 -10.8720639477548	-10.8501442676251 -10.8480092159833	-10.8189419095344 -10.8177618738773	-10.8480063507789 -10.8480092159833	-10.8220445957213 -10.9228295805045	-11.0919879719904 -10.8176118646967	-10.817611827418 -10.8176118342155
OG0004814 -10.1789148114961 -10.1789152509334	-10.1548593674631 -10.1548589544817	-10.1244864437327 -10.1248251520994	-10.1549888440049 -10.1548589544817	-10.1341591087561 -10.126038121638	-10.1244653654921 -10.1244663841558	-10.1245153436232 -10.12446468787
OG0004815 -10.1788715008885 -10.1789152508241	-10.1548580562023 -10.1548589354265	-10.063273145919 -10.1862233540113	-10.1548762916928 -10.1548589354265	-10.2051257955464 -10.1260381216335	-10.1029509145012 -10.1011482147519	-10.1245635693264 -10.1244646876834
OG0004816 -10.1789162932523 -10.1789152865638	-10.154847441879 -10.1548589310547	-7.72321151508651 -10.1862214811367	-9.93991878548627 -9.93995160840255	-9.93248242119742 -10.0845282016644	-10.1138647245952 -10.1011485389372	-10.10170878184 -10.101647422531
OG0004817 -10.1789166968625 -10.1789152865797	-10.1548578815127 -10.1548589354374	-10.1263615010089 -10.1247898279326	-9.93995270812423 -9.93995160840255	-9.94016508262703 -10.0845282016679	-10.1244646267035 -10.1244663820368	-10.1016500190102 -10.1016474225399
OG0004818 -10.5843818467298 -10.5843813593701	-10.560337348638 -10.5603232207907	-10.5300343788858 -10.5299301166624	-10.5603241886809 -10.5603232207907	-10.5308705330437 -10.5334128208712	-10.5299422366431 -10.5299275027953	-10.5299304019266 -10.5299300245958
OG0004819 -10.1789167487535 -10.1789152508083	-10.1548589902001 -10.154858931056	-10.2604184372539 -10.1248251520922	-10.1710890323032 -10.154858931056	-10.4427029700782 -10.1260381216331	-10.1245898220207 -10.1244663822932	-10.1244646312535 -10.1244646876555
OG0004820 -10.1789102086205 -10.1789152508241	-10.1549724574112 -10.1548589354265	-10.2235989286433 -10.1248251520929	-10.1548494314026 -10.1548589354265	-10.135360969797 -10.1260381216335	-10.1244839778615 -10.1244663825792	-10.1244842041788 -10.1244646876834
OG0004821 -10.1789147965745 -10.1789152865638	-10.1548589880619 -10.1548589310547	-7.85756075708789 -10.1247898279319	-9.9399529070288 -9.93995160840255	-9.95643946380446 -10.0845282016644	-10.1244676107554 -10.1244663817505	-10.1547548115669 -10.101647422531
OG0004822 -10.5843813624784 -10.5843813593701	-10.56032282541 -10.5603232207907	-10.6121591438278 -10.5299301166624	-10.5607142105261 -10.5603232207907	-10.5301384741334 -10.5334128208712	-10.5299297556579 -10.5299275027953	-10.5295603272806 -10.5299300245958
OG0004823 -6.71765513247389 -10.1789152508241	-10.1548694389073 -10.1548589354265	-10.1244939879791 -10.1248251520929	-10.1548585019987 -10.1548589354265	-10.1259634827618 -10.1260381216335	-10.1245066240749 -10.1244663825792	-10.1244652099229 -10.1244646876834
OG0004824 -10.1789109784914 -10.1789152865638	-10.4584234020817 -9.93995160840255	-9.61392971248999 -9.61394697918051	-10.1551306747508 -10.1548589310547	-9.93506553892129 -9.9389000192203	-9.61372387748319 -9.61392705964369	-10.1016449890192 -10.101647422531
OG0004825 -10.8720639114861 -10.8720639477508	-10.8484326696747 -10.848009215972	-9.51518481361697 -9.51274870769415	-10.8480061643361 -10.848009215972	-10.824211879558 -10.9228295804989	-9.60556161295792 -9.54544448607732	-10.8176406738882 -10.8176118262342
OG0004826 -10.8720630996209 -10.8720639455732	-9.57703159762464 -9.57863959449756	-9.51269364721623 -9.55003735178237	-10.8480063422561 -10.8480092158136	-9.95178782482934 -9.51528953797222	-10.2234148197502 -10.2060494327405	-10.2049122503907 -10.205840339322
OG0004827 -9.80134261673245 -9.80134270875349	-9.55758210322181 -9.54574272130535	-9.21453945115745 -9.20961300088141	-7.89041160917025 -7.83532842347459	-7.70913653929089 -7.71933328898029	-9.24415844574489 -9.22365647033629	-8.41611565771611 -8.38781041987768
OG0004828 -10.1789134989779 -10.1789152865638	-10.1548600863669 -10.1548589310547	-10.041341764196 -10.1247898279319	-9.9399535153024 -9.93995160840255	-9.93416736222502 -10.0845282016644	-8.06850295948154 -10.1244663817505	-10.101646715619 -10.101647422531
OG0004829 -10.1789126341541 -10.1789152508241	-10.1548589436118 -10.1548589354265	-10.1255869933726 -10.1248251520929	-10.1548589683023 -10.1548589354265	-10.126537059065 -10.1260381216335	-10.1244691068179 -10.1244663825792	-9.36081243613106 -10.1244646876834
OG0004830 -10.5843818801662 -10.584381358602	-10.5602991043648 -10.5603232207735	-10.5744078590785 -10.5299301134072	-10.5603235322283 -10.5603232207735	-10.5299797968749 -10.533412785363	-10.5299295631581 -10.5299275027951	-10.5296728419844 -10.5299300244626
OG0004831 -10.8720563976408 -10.8720639477453	-10.8480060480798 -10.8480092159592	-10.8619823151209 -10.8177618732629	-10.8480053197435 -10.8480092159592	-10.8435467389373 -10.922829580494	-10.8176117006953 -10.8176118601181	-10.8176082577482 -10.8176118206036
OG0004832 -10.1789163918157 -10.1789152509334	-11.513489423743 -10.1548589544817	-10.1247973244007 -10.1248251520994	-10.1548574663811 -10.1548589544817	-10.1978986778316 -10.126038121638	-10.1255479345485 -10.1244663841558	-10.1244647427197 -10.12446468787
OG0004833 -10.1788313340271 -10.1789152509175	-10.1548594011701 -10.1548589500989	-10.1270867605893 -10.1248251520986	-10.154858906383 -10.1548589500989	-10.1291760078157 -10.1260381216375	-10.1253160134578 -10.1244663838695	-10.1243999520681 -10.1244646878421
OG0004834 -10.5843783640807 -10.584381358602	-10.5603240782085 -10.5603232207735	-10.6999740993121 -10.5299301134072	-10.5603235259737 -10.5603232207735	-10.7363088989739 -10.533412785363	-10.3307490006713 -10.5299275027951	-10.5294737753272 -10.5299300244626
OG0004835 -10.1789121619541 -10.1789152508241	-10.2605348764851 -10.1548589354265	-10.2358696520149 -10.1248251520929	-10.1548593139538 -10.1548589354265	-10.125228121556 -10.1260381216335	-10.1244638082364 -10.1244663825792	-10.1244647676209 -10.1244646876834
OG0004836 -10.1789978847328 -10.1789152866731	-10.15485889798 -10.1548589501099	-10.1262157597801 -10.1247898279384	-9.94086825225411 -9.93995160840255	-9.93183990750442 -10.0845282016907	-10.1469639888799 -10.124466383327	-10.1016483391745 -10.1016474225936
OG0004837 -10.1788502961341 -10.1789152509334	-10.1548599693421 -10.1548589544817	-10.3429390144617 -10.1248251520994	-10.1548620390503 -10.1548589544817	-10.1264136147722 -10.126038121638	-10.124464052387 -10.1244663841558	-10.1244610144754 -10.12446468787
