"mkr" "set" "map" "phys" "gen" "vld" "slidingwindow-3" "slidingwindow" "slidingwindow-2" "slidingwindow-4" "vld" "loess"
"41446" "vcar" "chrLR999924.1" 2683880 3.334 TRUE 5.74 11.42 11.42 5.74 TRUE 5.56
"41447" "vcar" "chrLR999924.1" 2684110 3.334 TRUE 5.74 11.42 11.42 5.74 TRUE 5.56
"41459" "vcar" "chrLR999924.1" 3066450 10.002 TRUE 7.46 9.67 9.67 7.46 TRUE 8.14
"41464" "vcar" "chrLR999924.1" 3149370 11.114 TRUE 6.24 9.47 9.47 6.24 TRUE 6.1
"41477" "vcar" "chrLR999924.1" 3376830 11.114 TRUE 6.55 1.24 1.24 6.55 TRUE 6.95
"41496" "vcar" "chrLR999924.1" 3516890 11.114 TRUE 5.27 1.24 1.24 5.27 TRUE 5.87
"41506" "vcar" "chrLR999924.1" 3517290 11.114 TRUE 5.27 1.24 1.24 5.27 TRUE 5.87
"41513" "vcar" "chrLR999924.1" 3695380 11.114 TRUE 0.29 0 0 0.29 TRUE 2.74
"41551" "vcar" "chrLR999924.1" 4133320 11.114 TRUE 0 0 0 0 TRUE -2.52
"41584" "vcar" "chrLR999924.1" 4412990 11.114 TRUE 2.83 0 0 2.83 TRUE -0.58
"41601" "vcar" "chrLR999924.1" 4678290 11.114 TRUE 4.48 0 0 4.48 TRUE 5.06
"41613" "vcar" "chrLR999924.1" 4702330 11.114 TRUE 7.26 0 0 7.26 TRUE 7.38
"41622" "vcar" "chrLR999924.1" 4710670 11.114 TRUE 7.26 0 0 7.26 TRUE 7.52
"41633" "vcar" "chrLR999924.1" 4711000 11.114 TRUE 7.95 0 0 7.95 TRUE 7.52
"41651" "vcar" "chrLR999924.1" 4740500 11.114 TRUE 7.95 0 0 7.95 TRUE 5.3
"41652" "vcar" "chrLR999924.1" 4960900 11.114 TRUE 7.61 12.82 12.82 7.61 TRUE 10.1
"41657" "vcar" "chrLR999924.1" 5288440 18.896 TRUE 7 12.79 12.79 7 TRUE 7.2
"41664" "vcar" "chrLR999924.1" 5290550 18.896 TRUE 7 12.79 12.79 7 TRUE 7.14
"41683" "vcar" "chrLR999924.1" 5710880 21.12 TRUE 6.42 2.97 2.97 6.42 TRUE 5.13
"41705" "vcar" "chrLR999924.1" 5869330 21.12 TRUE 3.28 0 0 3.28 TRUE 4.11
"41709" "vcar" "chrLR999924.1" 5944140 21.12 TRUE 3.28 0 0 3.28 TRUE 3.57
"41714" "vcar" "chrLR999924.1" 6151050 21.12 TRUE 1.95 0 0 1.95 TRUE 1.92
"41732" "vcar" "chrLR999924.1" 6257050 21.12 TRUE 1.95 0 0 1.95 TRUE 0.31
"41742" "vcar" "chrLR999924.1" 6261790 21.12 TRUE 1.95 0 0 1.95 TRUE 0.3
"41753" "vcar" "chrLR999924.1" 6378380 21.12 TRUE 1.59 0 0 1.59 TRUE 1.56
"41771" "vcar" "chrLR999924.1" 6765790 21.12 TRUE 1.73 4.03 4.03 1.73 TRUE 1.92
"41793" "vcar" "chrLR999924.1" 6777300 21.12 TRUE 1.73 4.03 4.03 1.73 TRUE 1.92
"41799" "vcar" "chrLR999924.1" 6777560 21.12 TRUE 1.73 4.03 4.03 1.73 TRUE 1.92
"41820" "vcar" "chrLR999924.1" 6958460 23.342 TRUE 2.09 3.85 3.85 2.09 TRUE 2
"41822" "vcar" "chrLR999924.1" 6976100 23.342 TRUE 2.09 3.09 3.09 2.09 TRUE 2.26
"41831" "vcar" "chrLR999924.1" 7077880 23.342 TRUE 2.09 2.43 2.43 2.09 TRUE 2.67
"41838" "vcar" "chrLR999924.1" 7129110 23.342 TRUE 2.09 2.43 2.43 2.09 TRUE 2.16
"41857" "vcar" "chrLR999924.1" 7438950 23.342 TRUE 2.36 1.16 1.16 2.36 TRUE 2.27
"41870" "vcar" "chrLR999924.1" 7471340 23.342 TRUE 2.26 1.29 1.29 2.26 TRUE 2.26
"41874" "vcar" "chrLR999924.1" 7539520 23.342 TRUE 2.45 1.52 1.52 2.45 TRUE 2.2
"41880" "vcar" "chrLR999924.1" 7539850 23.342 TRUE 2.45 1.52 1.52 2.45 TRUE 2.2
"41894" "vcar" "chrLR999924.1" 7792640 24.454 TRUE 2.01 2.75 2.75 2.01 TRUE 1.62
"41899" "vcar" "chrLR999924.1" 7885210 24.454 TRUE 2.03 2.75 2.75 2.03 TRUE 2.02
"41904" "vcar" "chrLR999924.1" 7938760 24.454 TRUE 2.16 2.75 2.75 2.16 TRUE 2.4
"41923" "vcar" "chrLR999924.1" 8462210 25.565 TRUE 2.76 2.8 2.8 2.76 TRUE 2.89
"41924" "vcar" "chrLR999924.1" 8496780 25.565 TRUE 2.78 2.8 2.8 2.78 TRUE 2.8
"41968" "vcar" "chrLR999924.1" 8522110 26.676 TRUE 2.78 3.04 3.04 2.78 TRUE 2.73
"41973" "vcar" "chrLR999924.1" 8522390 26.676 TRUE 2.78 3.04 3.04 2.78 TRUE 2.73
"41989" "vcar" "chrLR999924.1" 8825030 26.676 TRUE 2.88 2.55 2.55 2.88 TRUE 2.78
"41994" "vcar" "chrLR999924.1" 8877480 26.676 TRUE 2.88 2.55 2.55 2.88 TRUE 2.79
"42000" "vcar" "chrLR999924.1" 8930760 27.788 TRUE 2.93 2.84 2.84 2.93 TRUE 2.82
"42013" "vcar" "chrLR999924.1" 9016510 27.788 TRUE 2.8 2.36 2.36 2.8 TRUE 2.86
"42019" "vcar" "chrLR999924.1" 9080240 27.788 TRUE 2.8 2.96 2.96 2.8 TRUE 2.95
"42021" "vcar" "chrLR999924.1" 9080570 27.788 TRUE 2.8 2.96 2.96 2.8 TRUE 2.95
"42027" "vcar" "chrLR999924.1" 9212200 27.788 TRUE 2.53 2.96 2.96 2.53 TRUE 2.98
"42030" "vcar" "chrLR999924.1" 9307610 27.788 TRUE 2.44 3.21 3.21 2.44 TRUE 2.84
"42035" "vcar" "chrLR999924.1" 9405930 28.899 TRUE 2.53 2.82 2.82 2.53 TRUE 3.17
"42037" "vcar" "chrLR999924.1" 9406210 28.899 TRUE 2.53 2.82 2.82 2.53 TRUE 3.17
"42038" "vcar" "chrLR999924.1" 9526010 28.899 TRUE 2.46 2.78 2.78 2.46 TRUE 2.54
"42056" "vcar" "chrLR999924.1" 9730840 30.01 TRUE 2.29 1.99 1.99 2.29 TRUE 2.24
"42066" "vcar" "chrLR999924.1" 9955420 30.01 TRUE 2.03 1.88 1.88 2.03 TRUE 1.93
"42078" "vcar" "chrLR999924.1" 9993580 30.01 TRUE 2.03 1.88 1.88 2.03 TRUE 1.88
"42085" "vcar" "chrLR999924.1" 10204500 30.01 TRUE 1.95 1.46 1.46 1.95 TRUE 1.62
"42087" "vcar" "chrLR999924.1" 10204800 30.01 TRUE 1.95 1.46 1.46 1.95 TRUE 1.62
"42088" "vcar" "chrLR999924.1" 10253400 30.01 TRUE 1.83 1.71 1.71 1.83 TRUE 1.31
"42094" "vcar" "chrLR999924.1" 10307800 31.121 TRUE 1.61 1.71 1.71 1.61 TRUE 1.56
"42106" "vcar" "chrLR999924.1" 10349800 31.121 TRUE 1.61 1.71 1.71 1.61 TRUE 1.48
"42114" "vcar" "chrLR999924.1" 10690400 31.121 TRUE 1.37 1.4 1.4 1.37 TRUE 1.23
"42116" "vcar" "chrLR999924.1" 10728600 31.121 TRUE 1.37 0.82 0.82 1.37 TRUE 1.24
"42124" "vcar" "chrLR999924.1" 10948200 31.121 TRUE 1.47 0 0 1.47 TRUE 1.49
"42169" "vcar" "chrLR999924.1" 11458000 32.233 TRUE 1.62 NA NA 1.62 TRUE 1.63
"42215" "vcar" "chrLR999924.1" 12107600 33.344 TRUE 1.98 2.74 2.74 1.98 TRUE 1.95
"42219" "vcar" "chrLR999924.1" 12107900 33.344 TRUE 1.98 2.74 2.74 1.98 TRUE 1.95
"42222" "vcar" "chrLR999924.1" 12161600 33.344 TRUE 2.06 2.74 2.74 2.06 TRUE 2.01
"42223" "vcar" "chrLR999924.1" 12168400 33.344 TRUE 2.06 2.74 2.74 2.06 TRUE 2.02
"42226" "vcar" "chrLR999924.1" 12174800 33.344 TRUE 2.06 2.74 2.74 2.06 TRUE 2.02
"42246" "vcar" "chrLR999924.1" 12536700 34.455 TRUE 2.08 2.1 2.1 2.08 TRUE 2.03
"42247" "vcar" "chrLR999924.1" 12537000 34.455 TRUE 2.08 2.1 2.1 2.08 TRUE 2.03
"42251" "vcar" "chrLR999924.1" 12543000 34.455 TRUE 2.08 2.1 2.1 2.08 TRUE 2.09
"42267" "vcar" "chrLR999924.1" 12558500 34.455 TRUE 2.08 2.1 2.1 2.08 TRUE 2.03
"42286" "vcar" "chrLR999924.1" 12764400 34.455 TRUE 2.08 1.9 1.9 2.08 TRUE 2.04
"42295" "vcar" "chrLR999924.1" 12927700 34.455 TRUE 2.01 1.79 1.79 2.01 TRUE 2.03
"42301" "vcar" "chrLR999924.1" 12998600 35.567 TRUE 2.01 1.79 1.79 2.01 TRUE 2.01
"42306" "vcar" "chrLR999924.1" 13121100 35.567 TRUE 1.99 2.57 2.57 1.99 TRUE 1.98
"42319" "vcar" "chrLR999924.1" 13124100 35.567 TRUE 1.99 2.57 2.57 1.99 TRUE 1.91
"42323" "vcar" "chrLR999924.1" 13151700 35.567 TRUE 1.99 2.57 2.57 1.99 TRUE 1.88
"42327" "vcar" "chrLR999924.1" 13157800 35.567 TRUE 1.99 2.57 2.57 1.99 TRUE 2.01
"42333" "vcar" "chrLR999924.1" 13302300 35.567 TRUE 1.91 2.36 2.36 1.91 TRUE 2.26
"42373" "vcar" "chrLR999924.1" 13849100 36.678 TRUE 2.67 2.77 2.77 2.67 TRUE 2.77
"42387" "vcar" "chrLR999924.1" 14250900 37.789 TRUE 3.2 4.11 4.11 3.2 TRUE 2.7
"42402" "vcar" "chrLR999924.1" 14661900 40.012 TRUE 3.87 4.48 4.48 3.87 TRUE 2.23
"42417" "vcar" "chrLR999924.1" 14784600 40.012 TRUE 3.87 0 0 3.87 TRUE 2.21
"42465" "vcar" "chrLR999924.1" 16014300 41.123 TRUE 0.54 1.27 1.27 0.54 TRUE 1.06
"42476" "vcar" "chrLR999924.1" 16051200 42.234 TRUE 0.54 1.27 1.27 0.54 TRUE 1
"42481" "vcar" "chrLR999924.1" 16210800 42.234 TRUE 0.54 1.27 1.27 0.54 TRUE 0.86
"42496" "vcar" "chrLR999924.1" 16341300 42.234 TRUE 0.54 1.27 1.27 0.54 TRUE 0.73
"42498" "vcar" "chrLR999924.1" 16387000 42.234 TRUE 0.54 0.7 0.7 0.54 TRUE 0.68
"42503" "vcar" "chrLR999924.1" 16497000 42.234 TRUE 0.54 0.54 0.54 0.54 TRUE 0.55
"42505" "vcar" "chrLR999924.1" 16497300 42.234 TRUE 0.54 0.54 0.54 0.54 TRUE 0.55
"42514" "vcar" "chrLR999924.1" 16880600 42.234 TRUE 0.54 0 0 0.54 TRUE 0.13
"42517" "vcar" "chrLR999924.1" 16942500 42.234 TRUE 0.54 0 0 0.54 TRUE NA
"19" "vcar" "chrLR999925.1" 642966 0 TRUE 3.12 0 0 3.12 TRUE NA
"21" "vcar" "chrLR999925.1" 643177 0 TRUE 3.12 0 0 3.12 TRUE 2.18
"24" "vcar" "chrLR999925.1" 895597 0 TRUE 3.12 3.12 3.12 3.12 TRUE 2.84
"87" "vcar" "chrLR999925.1" 1347740 2.224 TRUE 4.07 4.92 4.92 4.07 TRUE 4.12
"133" "vcar" "chrLR999925.1" 2147280 5.562 TRUE 6.1 6.93 6.93 6.1 TRUE 5.64
"141" "vcar" "chrLR999925.1" 2154670 5.562 TRUE 6.1 6.93 6.93 6.1 TRUE 5.65
"143" "vcar" "chrLR999925.1" 2225780 5.562 TRUE 6.32 6.93 6.93 6.32 TRUE 6.15
"147" "vcar" "chrLR999925.1" 2251370 6.674 TRUE 6.32 6.93 6.93 6.32 TRUE 5.94
"155" "vcar" "chrLR999925.1" 2257970 6.674 TRUE 6.32 6.93 6.93 6.32 TRUE 5.86
"165" "vcar" "chrLR999925.1" 2339600 6.674 TRUE 6.32 8.82 8.82 6.32 TRUE 6.58
"220" "vcar" "chrLR999925.1" 2759580 11.13 TRUE 5.76 6.59 6.59 5.76 TRUE 6.54
"248" "vcar" "chrLR999925.1" 2818320 11.13 TRUE 5.76 6.59 6.59 5.76 TRUE 6.03
"258" "vcar" "chrLR999925.1" 2852830 11.13 TRUE 5.76 3.61 3.61 5.76 TRUE 6.05
"298" "vcar" "chrLR999925.1" 3118530 11.13 TRUE 5.76 3.61 3.61 5.76 TRUE 5.23
"340" "vcar" "chrLR999925.1" 3194020 13.353 TRUE 5.11 3.61 3.61 5.11 TRUE 4.7
"367" "vcar" "chrLR999925.1" 3746600 13.353 TRUE 4.95 7.46 7.46 4.95 TRUE 3.62
"415" "vcar" "chrLR999925.1" 4193480 16.688 TRUE 5.53 7.55 7.55 5.53 TRUE 6.2
"420" "vcar" "chrLR999925.1" 4193800 16.688 TRUE 5.53 7.55 7.55 5.53 TRUE 6.21
"457" "vcar" "chrLR999925.1" 4442980 17.8 TRUE 6.97 8.86 8.86 6.97 TRUE 7.79
"458" "vcar" "chrLR999925.1" 4462430 17.8 TRUE 6.97 8.86 8.86 6.97 TRUE 7.72
"472" "vcar" "chrLR999925.1" 4567010 20.022 TRUE 6.44 8.86 8.86 6.44 TRUE 6.85
"479" "vcar" "chrLR999925.1" 4567320 20.022 TRUE 6.44 8.86 8.86 6.44 TRUE 6.85
"501" "vcar" "chrLR999925.1" 4712350 21.134 TRUE 5.69 6.14 6.14 5.69 TRUE 6.33
"504" "vcar" "chrLR999925.1" 4712700 21.134 TRUE 5.69 6.14 6.14 5.69 TRUE 6.32
"537" "vcar" "chrLR999925.1" 5091900 22.245 TRUE 5.05 4.35 4.35 5.05 TRUE 4.97
"552" "vcar" "chrLR999925.1" 5092300 22.245 TRUE 5.05 4.35 4.35 5.05 TRUE 4.97
"560" "vcar" "chrLR999925.1" 5274690 24.469 TRUE 4.05 3.66 3.66 4.05 TRUE 3.6
"578" "vcar" "chrLR999925.1" 5554310 24.469 TRUE 3.4 3.03 3.03 3.4 TRUE 2.31
"616" "vcar" "chrLR999925.1" 5631660 24.469 TRUE 3.09 0 0 3.09 TRUE 2.71
"628" "vcar" "chrLR999925.1" 5639480 24.469 TRUE 3.09 0 0 3.09 TRUE 2.77
"634" "vcar" "chrLR999925.1" 5639710 24.469 TRUE 3.09 0 0 3.09 TRUE 2.77
"639" "vcar" "chrLR999925.1" 5845690 24.469 TRUE 2.47 2.46 2.46 2.47 TRUE 2.25
"685" "vcar" "chrLR999925.1" 6179580 25.58 TRUE 1.83 4.1 4.1 1.83 TRUE 2.05
"699" "vcar" "chrLR999925.1" 6223140 25.58 TRUE 1.83 2.82 2.82 1.83 TRUE 1.94
"716" "vcar" "chrLR999925.1" 6330620 26.691 TRUE 1.98 2.43 2.43 1.98 TRUE 1.75
"737" "vcar" "chrLR999925.1" 6679650 26.691 TRUE 1.88 1.17 1.17 1.88 TRUE 1.94
"741" "vcar" "chrLR999925.1" 6751890 26.691 TRUE 1.88 0 0 1.88 TRUE 1.98
"769" "vcar" "chrLR999925.1" 6913060 26.691 TRUE 2.21 1.8 1.8 2.21 TRUE 2.07
"786" "vcar" "chrLR999925.1" 7327320 27.802 TRUE 2.13 2.48 2.48 2.13 TRUE 2.19
"792" "vcar" "chrLR999925.1" 7449020 27.802 TRUE 2.34 3.64 3.64 2.34 TRUE 2.69
"871" "vcar" "chrLR999925.1" 7789750 28.914 TRUE 2 3.64 3.64 2 TRUE 2.43
"885" "vcar" "chrLR999925.1" 7860180 28.914 TRUE 2 2.31 2.31 2 TRUE 2.06
"893" "vcar" "chrLR999925.1" 7880970 30.025 TRUE 2 2.31 2.31 2 TRUE 1.93
"894" "vcar" "chrLR999925.1" 7881170 30.025 TRUE 2 2.31 2.31 2 TRUE 1.93
"921" "vcar" "chrLR999925.1" 8301850 30.025 TRUE 1.48 0.56 0.56 1.48 TRUE 1.35
"927" "vcar" "chrLR999925.1" 8328990 30.025 TRUE 1.36 0.56 0.56 1.36 TRUE 0.93
"975" "vcar" "chrLR999925.1" 8590960 30.025 TRUE 1.12 0.71 0.71 1.12 TRUE 1.16
"989" "vcar" "chrLR999925.1" 8651060 30.025 TRUE 1.12 1.3 1.3 1.12 TRUE 1.18
"1003" "vcar" "chrLR999925.1" 8912690 30.025 TRUE 1.52 1.9 1.9 1.52 TRUE 1.47
"1008" "vcar" "chrLR999925.1" 9016850 30.025 TRUE 1.52 1.9 1.9 1.52 TRUE 1.66
"1048" "vcar" "chrLR999925.1" 9085580 31.136 TRUE 1.52 1.9 1.9 1.52 TRUE 1.55
"1056" "vcar" "chrLR999925.1" 9093530 31.136 TRUE 1.52 2.15 2.15 1.52 TRUE 1.57
"1061" "vcar" "chrLR999925.1" 9134660 31.136 TRUE 1.52 2.15 2.15 1.52 TRUE 1.84
"1066" "vcar" "chrLR999925.1" 9143560 31.136 TRUE 1.52 2.15 2.15 1.52 TRUE 1.91
"1075" "vcar" "chrLR999925.1" 9358290 31.136 TRUE 1.99 2.29 2.29 1.99 TRUE 3.09
"1105" "vcar" "chrLR999925.1" 9775180 32.248 TRUE 3.86 2.67 2.67 3.86 TRUE 3.37
"1145" "vcar" "chrLR999925.1" 10527200 36.704 TRUE 3.38 0 0 3.38 TRUE 3.53
"1156" "vcar" "chrLR999925.1" 10549100 36.704 TRUE 3.38 0 0 3.38 TRUE 3.42
"1179" "vcar" "chrLR999925.1" 10706000 36.704 TRUE 3.38 0 0 3.38 TRUE 2.43
"1206" "vcar" "chrLR999925.1" 10879100 36.704 TRUE 0 0 0 0 TRUE 1.22
"1248" "vcar" "chrLR999925.1" 11156300 36.704 TRUE 1.26 0 0 1.26 TRUE 0.38
"1277" "vcar" "chrLR999925.1" 11738400 36.704 TRUE 2.9 6.46 6.46 2.9 TRUE 3.03
"1292" "vcar" "chrLR999925.1" 12043400 38.928 TRUE 4.41 7.71 7.71 4.41 TRUE 5.26
"1301" "vcar" "chrLR999925.1" 12104900 38.928 TRUE 4.33 5.87 5.87 4.33 TRUE 5.37
"1330" "vcar" "chrLR999925.1" 12297200 41.151 TRUE 4.64 5.74 5.74 4.64 TRUE 4.95
"1354" "vcar" "chrLR999925.1" 12550000 41.151 TRUE 4.68 4.97 4.97 4.68 TRUE 4.9
"1363" "vcar" "chrLR999925.1" 12780600 43.374 TRUE 4.12 3.37 3.37 4.12 TRUE 4.31
"1370" "vcar" "chrLR999925.1" 12872200 43.374 TRUE 4.12 3.5 3.5 4.12 TRUE 3.93
"1391" "vcar" "chrLR999925.1" 12951200 43.374 TRUE 4.12 3.86 3.86 4.12 TRUE 3.78
"1395" "vcar" "chrLR999925.1" 12951500 43.374 TRUE 4.12 3.86 3.86 4.12 TRUE 3.77
"1409" "vcar" "chrLR999925.1" 13050800 43.374 TRUE 3.58 3.09 3.09 3.58 TRUE 3.74
"1442" "vcar" "chrLR999925.1" 13212500 43.374 TRUE 2.75 3.29 3.29 2.75 TRUE 3.24
"1455" "vcar" "chrLR999925.1" 13274200 44.485 TRUE 2.49 3.09 3.09 2.49 TRUE 2.9
"1464" "vcar" "chrLR999925.1" 13274700 44.485 TRUE 2.49 3.09 3.09 2.49 TRUE 2.9
"1465" "vcar" "chrLR999925.1" 13274900 44.485 TRUE 2.49 3.09 3.09 2.49 TRUE 2.9
"1488" "vcar" "chrLR999925.1" 13425200 45.596 TRUE 2.34 3.59 3.59 2.34 TRUE 2.39
"1505" "vcar" "chrLR999925.1" 13551800 45.596 TRUE 1.97 2.43 2.43 1.97 TRUE 1.67
"1521" "vcar" "chrLR999925.1" 13713500 45.596 TRUE 1.82 1.29 1.29 1.82 TRUE 1.15
"1563" "vcar" "chrLR999925.1" 13952800 45.596 TRUE 1.67 0 0 1.67 TRUE 1.21
"1575" "vcar" "chrLR999925.1" 14146300 45.596 TRUE 1.4 1.18 1.18 1.4 TRUE 1.25
"1580" "vcar" "chrLR999925.1" 14229100 45.596 TRUE 1.09 1.82 1.82 1.09 TRUE 1.23
"1590" "vcar" "chrLR999925.1" 14634000 46.708 TRUE 0.91 1.52 1.52 0.91 TRUE 0.86
"1610" "vcar" "chrLR999925.1" 14671000 46.708 TRUE 0.91 1.41 1.41 0.91 TRUE 0.78
"1613" "vcar" "chrLR999925.1" 14706300 46.708 TRUE 0.91 0.82 0.82 0.91 TRUE 0.72
"1637" "vcar" "chrLR999925.1" 14965000 46.708 TRUE 0.62 0 0 0.62 TRUE 0.71
"1658" "vcar" "chrLR999925.1" 14965400 46.708 TRUE 0.62 0 0 0.62 TRUE 0.71
"1666" "vcar" "chrLR999925.1" 15187800 46.708 TRUE 0.66 0 0 0.66 TRUE 0.74
"1667" "vcar" "chrLR999925.1" 15188000 46.708 TRUE 0.66 0 0 0.66 TRUE 0.74
"1677" "vcar" "chrLR999925.1" 15188300 46.708 TRUE 0.66 0 0 0.66 TRUE 0.74
"1682" "vcar" "chrLR999925.1" 15319800 46.708 TRUE 0.6 0 0 0.6 TRUE 0.7
"1726" "vcar" "chrLR999925.1" 15927400 46.708 TRUE 0.81 4.12 4.12 0.81 TRUE 0.8
"1753" "vcar" "chrLR999925.1" 16164500 47.819 TRUE 0.94 4.12 4.12 0.94 TRUE 0.89
"1778" "vcar" "chrLR999925.1" 16215200 47.819 TRUE 1.24 4.12 4.12 1.24 TRUE NA
"1841" "vcar" "chrLR999926.1" 376622 1.111 TRUE 0 0 0 0 TRUE NA
"1844" "vcar" "chrLR999926.1" 376847 1.111 TRUE 0 0 0 0 TRUE 0.33
"1867" "vcar" "chrLR999926.1" 652057 1.111 TRUE 0 0 0 0 TRUE 0.93
"1888" "vcar" "chrLR999926.1" 1002180 1.111 TRUE 1.68 0 0 1.68 TRUE 1.72
"1954" "vcar" "chrLR999926.1" 1759190 3.335 TRUE 3.72 4.18 4.18 3.72 TRUE 3.01
"1966" "vcar" "chrLR999926.1" 1816310 3.335 TRUE 3.72 4.18 4.18 3.72 TRUE 3.4
"1972" "vcar" "chrLR999926.1" 1816550 3.335 TRUE 3.72 4.18 4.18 3.72 TRUE 3.4
"1998" "vcar" "chrLR999926.1" 2056170 4.446 TRUE 4.81 5.13 5.13 4.81 TRUE 3.66
"2002" "vcar" "chrLR999926.1" 2056520 4.446 TRUE 4.81 5.13 5.13 4.81 TRUE 3.67
"2017" "vcar" "chrLR999926.1" 2429350 6.67 TRUE 3.86 5.96 5.96 3.86 TRUE 4.25
"2072" "vcar" "chrLR999926.1" 2977270 8.893 TRUE 2.8 0 0 2.8 TRUE 2.65
"2096" "vcar" "chrLR999926.1" 3214670 8.893 TRUE 1.95 0 0 1.95 TRUE 2
"2110" "vcar" "chrLR999926.1" 3276070 8.893 TRUE 1.95 0 0 1.95 TRUE 1.84
"2128" "vcar" "chrLR999926.1" 3328700 8.893 TRUE 1.74 1.44 1.44 1.74 TRUE 1.83
"2185" "vcar" "chrLR999926.1" 3827720 10.004 TRUE 0.71 1.28 1.28 0.71 TRUE 1.02
"2192" "vcar" "chrLR999926.1" 3933860 10.004 TRUE 0.71 0 0 0.71 TRUE 0.6
"2199" "vcar" "chrLR999926.1" 3934140 10.004 TRUE 0.71 0 0 0.71 TRUE 0.6
"2207" "vcar" "chrLR999926.1" 3971970 10.004 TRUE 0.71 0 0 0.71 TRUE 0.39
"2229" "vcar" "chrLR999926.1" 4277660 10.004 TRUE 0.46 0 0 0.46 TRUE -0.18
"2234" "vcar" "chrLR999926.1" 4379650 10.004 TRUE 0 0 0 0 TRUE 0
"2242" "vcar" "chrLR999926.1" 4396850 10.004 TRUE 0 0 0 0 TRUE 0
"2245" "vcar" "chrLR999926.1" 4397050 10.004 TRUE 0 0 0 0 TRUE 0
"2257" "vcar" "chrLR999926.1" 4474610 10.004 TRUE 0 0 0 0 TRUE 0
"2261" "vcar" "chrLR999926.1" 4474960 10.004 TRUE 0 0 0 0 TRUE 0
"2271" "vcar" "chrLR999926.1" 4522470 10.004 TRUE 0 0 0 0 TRUE 0
"2292" "vcar" "chrLR999926.1" 4689800 10.004 TRUE 0 0 0 0 TRUE 0
"2302" "vcar" "chrLR999926.1" 4690140 10.004 TRUE 0 0 0 0 TRUE 0
"2312" "vcar" "chrLR999926.1" 4729370 10.004 TRUE 1.37 0 0 1.37 TRUE 0
"2326" "vcar" "chrLR999926.1" 4747210 10.004 TRUE 1.37 0 0 1.37 TRUE 0.23
"2408" "vcar" "chrLR999926.1" 5722190 13.342 TRUE 3.05 0 0 3.05 TRUE 2.29
"2429" "vcar" "chrLR999926.1" 5767320 13.342 TRUE 3.62 0 0 3.62 TRUE 2.2
"2447" "vcar" "chrLR999926.1" 5856300 13.342 TRUE 3.62 0 0 3.62 TRUE 2.12
"2477" "vcar" "chrLR999926.1" 6164210 13.342 TRUE 3.62 1 1 3.62 TRUE 2.71
"2479" "vcar" "chrLR999926.1" 6164440 13.342 TRUE 3.62 1 1 3.62 TRUE 2.74
"2480" "vcar" "chrLR999926.1" 6222730 13.342 TRUE 3.58 4.22 4.22 3.58 TRUE 2.92
"2496" "vcar" "chrLR999926.1" 6420490 14.453 TRUE 3.37 8.19 8.19 3.37 TRUE 4.34
"2518" "vcar" "chrLR999926.1" 6695920 17.788 TRUE 2.99 4.82 4.82 2.99 TRUE 4.81
"2527" "vcar" "chrLR999926.1" 7185030 17.788 TRUE 2.31 0 0 2.31 TRUE 1.31
"2530" "vcar" "chrLR999926.1" 7295380 17.788 TRUE 1.53 0 0 1.53 TRUE 0.57
"2540" "vcar" "chrLR999926.1" 7299310 17.788 TRUE 1.53 0 0 1.53 TRUE 0.64
