chrom	begin	end	length_gene	length_rpt	length_LINE	length_SINE	length_DNA	length_LTR
LR999925.1	12100001	12200000	584	29152	9840	9334	1441	809
LR999925.1	12200001	12300000	0	37204	14557	9922	3364	451
LR999925.1	12300001	12400000	5190	28526	12154	8289	1594	742
LR999925.1	12400001	12500000	0	29555	8587	8892	3732	149
LR999925.1	12500001	12600000	0	29572	10885	7667	971	263
LR999925.1	12600001	12700000	372	41135	17912	9861	4208	435
LR999925.1	12700001	12800000	3197	26060	7082	6956	2808	636
LR999925.1	12800001	12900000	14029	24715	3990	4321	1092	7184
LR999925.1	12900001	13000000	12300	21182	6951	3369	2388	3027
LR999925.1	13000001	13100000	19179	19424	6022	3618	2354	437
LR999925.1	13100001	13200000	880	41700	18239	9944	2000	2781
LR999925.1	13200001	13300000	1141	36872	12342	10759	3313	727
LR999925.1	13300001	13400000	2875	38082	10872	9044	5744	780
LR999925.1	13400001	13500000	1133	49322	22631	6738	2424	4307
LR999925.1	13500001	13600000	559	31384	10366	8173	3666	1967
LR999925.1	13600001	13700000	1529	34502	15981	9106	1738	471
LR999925.1	13700001	13800000	1372	38034	18328	10490	1954	422
LR999925.1	13800001	13900000	352	33547	14039	10637	579	367
LR999925.1	13900001	14000000	640	44913	13818	8179	1332	1031
LR999925.1	14000001	14100000	6603	35080	12107	6222	2926	7590
LR999925.1	14100001	14200000	5810	40685	13941	10427	1328	1642
LR999925.1	14200001	14300000	1719	36159	14364	9519	1904	569
LR999925.1	14300001	14400000	5451	19831	7714	5980	1630	195
LR999925.1	14400001	14500000	6152	28116	7069	6557	1912	5180
LR999925.1	14500001	14600000	5288	33931	12055	6654	1263	1111
LR999925.1	14600001	14700000	5320	31256	10094	6704	2897	1615
LR999925.1	14700001	14800000	1078	33104	7208	6418	4976	7510
LR999925.1	14800001	14900000	10860	23015	13354	2703	1346	509
LR999925.1	14900001	15000000	21866	15136	3519	2330	1062	521
LR999925.1	15000001	15100000	14131	29359	8428	7005	3731	3484
LR999925.1	15100001	15200000	6379	25643	10901	4372	1106	3284
LR999925.1	15200001	15300000	1143	32054	11983	7423	3648	396
LR999925.1	15300001	15400000	1198	35334	14357	7182	2690	395
LR999925.1	15400001	15500000	8641	27509	11022	7095	1636	916
LR999925.1	15500001	15600000	5980	38545	10814	6262	1092	8603
LR999925.1	15600001	15700000	8278	31271	14215	5146	2127	1045
LR999925.1	15700001	15800000	6403	29582	7688	7126	1908	5055
LR999925.1	15800001	15900000	0	32192	7581	8059	4077	5572
LR999925.1	15900001	16000000	3184	31010	13513	6089	3150	1656
LR999925.1	16000001	16100000	4945	37971	18104	8024	2159	415
LR999925.1	16100001	16200000	0	31198	13602	7947	1482	441
LR999925.1	16200001	16300000	0	26615	8667	8091	979	0
LR999925.1	16300001	16400000	0	26978	12848	5475	985	125
LR999925.1	16400001	16500000	0	23561	12830	4549	559	938
LR999925.1	16500001	16600000	9112	37786	23845	1218	2631	1546
LR999925.1	16600001	16607008	0	6190	6190		0	0
LR999926.1	1	100000	0	29943	12719	2139	2749	946
LR999926.1	100001	200000	0	30896	12024	4017	2335	5902
LR999926.1	200001	300000	13742	15778	6823	1549	1141	0
LR999926.1	300001	400000	10258	23699	12402	2706	2254	65
LR999926.1	400001	500000	6269	6691	2831	1263	488	0
LR999926.1	500001	600000	945	12818	3104	4402	908	550
LR999926.1	600001	700000	3100	34188	12065	6136	4213	4503
LR999926.1	700001	800000	19909	23255	7202	5939	2096	1122
LR999926.1	800001	900000	757	35178	19783	4941	2347	1085
LR999926.1	900001	1000000	1251	33594	17904	7220	1739	352
LR999926.1	1000001	1100000	1654	22379	7965	6120	1114	872
LR999926.1	1100001	1200000	13345	24353	8697	3261	1387	4102
LR999926.1	1200001	1300000	21169	21779	6217	2644	645	8015
LR999926.1	1300001	1400000	10596	25836	10681	4731	1529	810
LR999926.1	1400001	1500000	7650	27688	11934	4904	1484	878
LR999926.1	1500001	1600000	9049	26539	10945	6072	2424	558
LR999926.1	1600001	1700000	766	36985	15052	8134	2602	1036
LR999926.1	1700001	1800000	6918	39013	13195	9664	2718	6697
LR999926.1	1800001	1900000	2099	16521	4313	5652	731	574
LR999926.1	1900001	2000000	2663	36920	8029	6921	3562	5270
LR999926.1	2000001	2100000	1952	36132	10616	7850	5857	372
LR999926.1	2100001	2200000	0	54198	19444	13864	2031	6412
LR999926.1	2200001	2300000	2265	55313	25458	11471	2380	6069
LR999926.1	2300001	2400000	800	45461	27078	7724	3606	2183
LR999926.1	2400001	2500000	1715	44661	18702	12991	3494	1207
LR999926.1	2500001	2600000	1077	37900	16182	6600	3643	802
LR999926.1	2600001	2700000	9159	26149	8130	7333	2546	515
LR999926.1	2700001	2800000	1454	44364	16989	10066	6588	1659
LR999926.1	2800001	2900000	0	52101	20695	9867	3400	1279
LR999926.1	2900001	3000000	658	52900	19408	12437	2446	1085
LR999926.1	3000001	3100000	0	54416	16273	10129	2779	4769
LR999926.1	3100001	3200000	7575	39317	14798	6240	3265	1471
LR999926.1	3200001	3300000	2636	24832	7249	4972	2389	439
LR999926.1	3300001	3400000	2324	33997	12250	6569	2831	698
LR999926.1	3400001	3500000	5485	24537	10660	6441	1573	525
LR999926.1	3500001	3600000	15826	24386	8660	3167	4250	1727
LR999926.1	3600001	3700000	5174	19589	8119	4438	95	143
LR999926.1	3700001	3800000	7351	14803	4588	3757	2282	634
LR999926.1	3800001	3900000	247	32349	14306	8358	1184	912
LR999926.1	3900001	4000000	0	33262	13694	7482	2235	2388
LR999926.1	4000001	4100000	9818	22875	8797	5832	2959	365
LR999926.1	4100001	4200000	7396	24235	9936	4594	1639	398
LR999926.1	4200001	4300000	962	34689	10392	5241	903	8476
LR999926.1	4300001	4400000	6338	18749	8206	3035	1800	348
LR999926.1	4400001	4500000	5768	8130	2609	2260	244	454
LR999926.1	4500001	4600000	0	8603	2292	1528	247	360
LR999926.1	4600001	4700000	17656	24091	13248	3926	1210	1289
LR999926.1	4700001	4800000	12752	14240	3939	2658	1475	62
LR999926.1	4800001	4900000	622	13742	4027	3783	613	44
LR999926.1	4900001	5000000	16986	18767	5544	3362	2439	482
LR999926.1	5000001	5100000	11079	27342	9560	6041	3645	263
LR999926.1	5100001	5200000	3011	34566	8818	7878	2653	5173
LR999926.1	5200001	5300000	899	25618	9170	7091	980	594
LR999926.1	5300001	5400000	10317	24530	5100	3826	6608	97
LR999926.1	5400001	5500000	3389	29470	11364	7387	1472	755
LR999926.1	5500001	5600000	1900	35690	10892	8777	2828	2751
LR999926.1	5600001	5700000	14947	18507	4138	2514	614	389
LR999926.1	5700001	5800000	1663	30560	10702	5628	2463	1590
LR999926.1	5800001	5900000	1024	33884	12869	6797	4571	2708
LR999926.1	5900001	6000000	0	35695	17924	8720	1301	606
LR999926.1	6000001	6100000	7138	22494	9727	6507	1296	383
LR999926.1	6100001	6200000	852	25359	8408	7901	796	891
LR999926.1	6200001	6300000	0	37481	7202	4062	2598	8125
LR999926.1	6300001	6400000	4795	14983	3456	3724	1547	207
LR999926.1	6400001	6500000	10858	28174	6170	3838	2334	10237
LR999926.1	6500001	6600000	7821	30725	11052	6469	1484	254
LR999926.1	6600001	6700000	0	55480	24430	5491	1976	1503
LR999926.1	6700001	6800000	4168	27276	13434	5762	704	776
LR999926.1	6800001	6900000	0	42474	18651	5402	1346	1535
LR999926.1	6900001	7000000	9519	28751	11676	5188	2226	1604
LR999926.1	7000001	7100000	8713	16611	5368	5049	2345	169
LR999926.1	7100001	7200000	9910	25744	8728	4741	2127	5480
LR999926.1	7200001	7300000	1400	18717	5805	6636	2083	426
LR999926.1	7300001	7400000	7362	31656	11699	6181	3810	312
LR999926.1	7400001	7500000	5751	17780	7982	3215	874	422
LR999926.1	7500001	7600000	7339	47776	10260	3197	7912	10852
LR999926.1	7600001	7700000	0	58924	20649	2040	13796	11732
LR999926.1	7700001	7800000	4768	35505	13745	9008	2328	1001
LR999926.1	7800001	7900000	4592	29200	10987	6147	2731	1056
LR999926.1	7900001	8000000	21931	19000	4867	2999	2596	876
LR999926.1	8000001	8100000	9868	25605	7346	7212	1698	566
LR999926.1	8100001	8200000	2208	29181	12648	8287	1506	660
LR999926.1	8200001	8300000	4880	35314	12341	8868	2388	246
LR999926.1	8300001	8400000	6240	24678	8368	4994	2222	312
LR999926.1	8400001	8500000	15596	31167	8672	6347	4782	2463
LR999926.1	8500001	8600000	2090	32992	15625	5932	3468	0
LR999926.1	8600001	8700000	7346	30021	11676	7614	1690	656
LR999926.1	8700001	8800000	4342	21383	6747	5336	1209	0
LR999926.1	8800001	8900000	7238	33200	11687	6006	3090	960
LR999926.1	8900001	9000000	0	34506	12905	9583	2374	60
LR999926.1	9000001	9100000	1343	29426	10407	6352	1892	165
LR999926.1	9100001	9200000	3090	19043	8050	3421	971	673
LR999926.1	9200001	9300000	9893	21055	7433	1618	4369	243
LR999926.1	9300001	9400000	25601	20683	7541	3244	923	97
LR999926.1	9400001	9500000	24430	15660	8135	2063	1358	150
LR999926.1	9500001	9600000	19820	17948	6045	1934	304	186
LR999926.1	9600001	9700000	15022	21383	8286	5310	2228	0
LR999926.1	9700001	9800000	8385	17493	4456	3646	3585	361
LR999926.1	9800001	9900000	877	29245	12641	8374	1425	142
